county,candidate,votes
Autauga,BARACK OBAMA / JOE BIDEN (D),6363
Autauga,MITT ROMNEY /PAUL RYAN (R),17379
Autauga,"VIRGIL H. GOODE, JR. / JAMES CLYMER (I)",31
Autauga,GARY JOHNSON / JIM GRAY (I),137
Autauga,JILL STEIN / CHERI HONKALA (I),22
Autauga,WRITE-IN,41
Baldwin,BARACK OBAMA / JOE BIDEN (D),18424
Baldwin,MITT ROMNEY /PAUL RYAN (R),66016
Baldwin,"VIRGIL H. GOODE, JR. / JAMES CLYMER (I)",122
Baldwin,GARY JOHNSON / JIM GRAY (I),607
Baldwin,JILL STEIN / CHERI HONKALA (I),169
Baldwin,WRITE-IN,153
Barbour,BARACK OBAMA / JOE BIDEN (D),5912
Barbour,MITT ROMNEY /PAUL RYAN (R),5550
Barbour,"VIRGIL H. GOODE, JR. / JAMES CLYMER (I)",9
Barbour,GARY JOHNSON / JIM GRAY (I),32
Barbour,JILL STEIN / CHERI HONKALA (I),6
Barbour,WRITE-IN,8
Bibb,BARACK OBAMA / JOE BIDEN (D),2202
Bibb,MITT ROMNEY /PAUL RYAN (R),6132
Bibb,"VIRGIL H. GOODE, JR. / JAMES CLYMER (I)",13
Bibb,GARY JOHNSON / JIM GRAY (I),38
Bibb,JILL STEIN / CHERI HONKALA (I),9
Bibb,WRITE-IN,26
Blount,BARACK OBAMA / JOE BIDEN (D),2970
Blount,MITT ROMNEY /PAUL RYAN (R),20757
Blount,"VIRGIL H. GOODE, JR. / JAMES CLYMER (I)",59
Blount,GARY JOHNSON / JIM GRAY (I),170
Blount,JILL STEIN / CHERI HONKALA (I),50
Blount,WRITE-IN,54
Bullock,BARACK OBAMA / JOE BIDEN (D),4061
Bullock,MITT ROMNEY /PAUL RYAN (R),1251
Bullock,"VIRGIL H. GOODE, JR. / JAMES CLYMER (I)",4
Bullock,GARY JOHNSON / JIM GRAY (I),3
Bullock,JILL STEIN / CHERI HONKALA (I),3
Butler,BARACK OBAMA / JOE BIDEN (D),4374
Butler,MITT ROMNEY /PAUL RYAN (R),5087
Butler,"VIRGIL H. GOODE, JR. / JAMES CLYMER (I)",9
Butler,GARY JOHNSON / JIM GRAY (I),20
Butler,JILL STEIN / CHERI HONKALA (I),6
Butler,WRITE-IN,6
Calhoun,BARACK OBAMA / JOE BIDEN (D),15511
Calhoun,MITT ROMNEY /PAUL RYAN (R),30278
Calhoun,"VIRGIL H. GOODE, JR. / JAMES CLYMER (I)",85
Calhoun,GARY JOHNSON / JIM GRAY (I),291
Calhoun,JILL STEIN / CHERI HONKALA (I),92
Calhoun,WRITE-IN,107
Chambers,BARACK OBAMA / JOE BIDEN (D),6871
Chambers,MITT ROMNEY /PAUL RYAN (R),7626
Chambers,"VIRGIL H. GOODE, JR. / JAMES CLYMER (I)",21
Chambers,GARY JOHNSON / JIM GRAY (I),78
Chambers,JILL STEIN / CHERI HONKALA (I),15
Chambers,WRITE-IN,18
Cherokee,BARACK OBAMA / JOE BIDEN (D),2132
Cherokee,MITT ROMNEY /PAUL RYAN (R),7506
Cherokee,"VIRGIL H. GOODE, JR. / JAMES CLYMER (I)",36
Cherokee,GARY JOHNSON / JIM GRAY (I),79
Cherokee,JILL STEIN / CHERI HONKALA (I),26
Cherokee,WRITE-IN,13
Chilton,BARACK OBAMA / JOE BIDEN (D),3397
Chilton,MITT ROMNEY /PAUL RYAN (R),13932
Chilton,"VIRGIL H. GOODE, JR. / JAMES CLYMER (I)",29
Chilton,GARY JOHNSON / JIM GRAY (I),66
Chilton,JILL STEIN / CHERI HONKALA (I),38
Chilton,WRITE-IN,23
Choctaw,BARACK OBAMA / JOE BIDEN (D),3786
Choctaw,MITT ROMNEY /PAUL RYAN (R),4152
Choctaw,"VIRGIL H. GOODE, JR. / JAMES CLYMER (I)",4
Choctaw,GARY JOHNSON / JIM GRAY (I),19
Choctaw,JILL STEIN / CHERI HONKALA (I),7
Choctaw,WRITE-IN,8
Clarke,BARACK OBAMA / JOE BIDEN (D),6334
Clarke,MITT ROMNEY /PAUL RYAN (R),7470
Clarke,"VIRGIL H. GOODE, JR. / JAMES CLYMER (I)",11
Clarke,GARY JOHNSON / JIM GRAY (I),22
Clarke,JILL STEIN / CHERI HONKALA (I),14
Clarke,WRITE-IN,9
Clay,BARACK OBAMA / JOE BIDEN (D),1777
Clay,MITT ROMNEY /PAUL RYAN (R),4817
Clay,"VIRGIL H. GOODE, JR. / JAMES CLYMER (I)",10
Clay,GARY JOHNSON / JIM GRAY (I),42
Clay,JILL STEIN / CHERI HONKALA (I),16
Clay,WRITE-IN,17
Cleburne,BARACK OBAMA / JOE BIDEN (D),971
Cleburne,MITT ROMNEY /PAUL RYAN (R),5272
Cleburne,"VIRGIL H. GOODE, JR. / JAMES CLYMER (I)",14
Cleburne,GARY JOHNSON / JIM GRAY (I),37
Cleburne,JILL STEIN / CHERI HONKALA (I),11
Cleburne,WRITE-IN,14
Coffee,BARACK OBAMA / JOE BIDEN (D),4925
Coffee,MITT ROMNEY /PAUL RYAN (R),14666
Coffee,"VIRGIL H. GOODE, JR. / JAMES CLYMER (I)",35
Coffee,GARY JOHNSON / JIM GRAY (I),111
Coffee,JILL STEIN / CHERI HONKALA (I),33
Coffee,WRITE-IN,51
Colbert,BARACK OBAMA / JOE BIDEN (D),9166
Colbert,MITT ROMNEY /PAUL RYAN (R),13936
Colbert,"VIRGIL H. GOODE, JR. / JAMES CLYMER (I)",46
Colbert,GARY JOHNSON / JIM GRAY (I),201
Colbert,JILL STEIN / CHERI HONKALA (I),36
Colbert,WRITE-IN,59
Conecuh,BARACK OBAMA / JOE BIDEN (D),3555
Conecuh,MITT ROMNEY /PAUL RYAN (R),3439
Conecuh,"VIRGIL H. GOODE, JR. / JAMES CLYMER (I)",4
Conecuh,GARY JOHNSON / JIM GRAY (I),15
Conecuh,JILL STEIN / CHERI HONKALA (I),9
Conecuh,WRITE-IN,3
Coosa,BARACK OBAMA / JOE BIDEN (D),2191
Coosa,MITT ROMNEY /PAUL RYAN (R),3049
Coosa,"VIRGIL H. GOODE, JR. / JAMES CLYMER (I)",2
Coosa,GARY JOHNSON / JIM GRAY (I),19
Coosa,JILL STEIN / CHERI HONKALA (I),8
Coosa,WRITE-IN,13
Covington,BARACK OBAMA / JOE BIDEN (D),3158
Covington,MITT ROMNEY /PAUL RYAN (R),12153
Covington,"VIRGIL H. GOODE, JR. / JAMES CLYMER (I)",26
Covington,GARY JOHNSON / JIM GRAY (I),66
Covington,JILL STEIN / CHERI HONKALA (I),20
Covington,WRITE-IN,16
Crenshaw,BARACK OBAMA / JOE BIDEN (D),2050
Crenshaw,MITT ROMNEY /PAUL RYAN (R),4331
Crenshaw,"VIRGIL H. GOODE, JR. / JAMES CLYMER (I)",8
Crenshaw,GARY JOHNSON / JIM GRAY (I),21
Crenshaw,JILL STEIN / CHERI HONKALA (I),8
Crenshaw,WRITE-IN,6
Cullman,BARACK OBAMA / JOE BIDEN (D),5052
Cullman,MITT ROMNEY /PAUL RYAN (R),28999
Cullman,"VIRGIL H. GOODE, JR. / JAMES CLYMER (I)",94
Cullman,GARY JOHNSON / JIM GRAY (I),223
Cullman,JILL STEIN / CHERI HONKALA (I),89
Cullman,WRITE-IN,98
Dale,BARACK OBAMA / JOE BIDEN (D),5286
Dale,MITT ROMNEY /PAUL RYAN (R),13108
Dale,"VIRGIL H. GOODE, JR. / JAMES CLYMER (I)",35
Dale,GARY JOHNSON / JIM GRAY (I),101
Dale,JILL STEIN / CHERI HONKALA (I),27
Dale,WRITE-IN,44
Dallas,BARACK OBAMA / JOE BIDEN (D),14612
Dallas,MITT ROMNEY /PAUL RYAN (R),6288
Dallas,"VIRGIL H. GOODE, JR. / JAMES CLYMER (I)",9
Dallas,GARY JOHNSON / JIM GRAY (I),34
Dallas,JILL STEIN / CHERI HONKALA (I),10
Dallas,WRITE-IN,11
DeKalb,BARACK OBAMA / JOE BIDEN (D),5239
DeKalb,MITT ROMNEY /PAUL RYAN (R),18331
DeKalb,"VIRGIL H. GOODE, JR. / JAMES CLYMER (I)",69
DeKalb,GARY JOHNSON / JIM GRAY (I),161
DeKalb,JILL STEIN / CHERI HONKALA (I),63
DeKalb,WRITE-IN,87
Elmore,BARACK OBAMA / JOE BIDEN (D),8954
Elmore,MITT ROMNEY /PAUL RYAN (R),26253
Elmore,"VIRGIL H. GOODE, JR. / JAMES CLYMER (I)",53
