county,candidate,votes
Arkansas,Gary Johnson / James P. Gray,92
Ashley,Gary Johnson / James P. Gray,105
Baxter,Gary Johnson / James P. Gray,293
Benton,Gary Johnson / James P. Gray,1402
Boone,Gary Johnson / James P. Gray,263
Bradley,Gary Johnson / James P. Gray,32
Calhoun,Gary Johnson / James P. Gray,33
Carroll,Gary Johnson / James P. Gray,222
Chicot,Gary Johnson / James P. Gray,25
Clark,Gary Johnson / James P. Gray,141
Clay,Gary Johnson / James P. Gray,99
Cleburne,Gary Johnson / James P. Gray,196
Cleveland,Gary Johnson / James P. Gray,52
Columbia,Gary Johnson / James P. Gray,64
Conway,Gary Johnson / James P. Gray,105
Craighead,Gary Johnson / James P. Gray,497
Crawford,Gary Johnson / James P. Gray,347
Crittenden,Gary Johnson / James P. Gray,146
Cross,Gary Johnson / James P. Gray,82
Dallas,Gary Johnson / James P. Gray,44
Desha,Gary Johnson / James P. Gray,39
Drew,Gary Johnson / James P. Gray,65
Faulkner,Gary Johnson / James P. Gray,698
Franklin,Gary Johnson / James P. Gray,93
Fulton,Gary Johnson / James P. Gray,66
Garland,Gary Johnson / James P. Gray,513
Grant,Gary Johnson / James P. Gray,108
Greene,Gary Johnson / James P. Gray,431
Hempstead,Gary Johnson / James P. Gray,76
Hot Spring,Gary Johnson / James P. Gray,155
Howard,Gary Johnson / James P. Gray,48
Independence,Gary Johnson / James P. Gray,210
Izard,Gary Johnson / James P. Gray,99
Jackson,Gary Johnson / James P. Gray,96
Jefferson,Gary Johnson / James P. Gray,194
Johnson,Gary Johnson / James P. Gray,128
Lafayette,Gary Johnson / James P. Gray,19
Lawrence,Gary Johnson / James P. Gray,121
Lee,Gary Johnson / James P. Gray,27
Lincoln,Gary Johnson / James P. Gray,53
Little River,Gary Johnson / James P. Gray,54
Logan,Gary Johnson / James P. Gray,140
Lonoke,Gary Johnson / James P. Gray,372
Madison,Gary Johnson / James P. Gray,120
Marion,Gary Johnson / James P. Gray,149
Miller,Gary Johnson / James P. Gray,96
Mississippi,Gary Johnson / James P. Gray,141
Monroe,Gary Johnson / James P. Gray,26
Montgomery,Gary Johnson / James P. Gray,51
Nevada,Gary Johnson / James P. Gray,45
Newton,Gary Johnson / James P. Gray,85
Ouachita,Gary Johnson / James P. Gray,58
Perry,Gary Johnson / James P. Gray,98
Phillips,Gary Johnson / James P. Gray,62
Pike,Gary Johnson / James P. Gray,50
Poinsett,Gary Johnson / James P. Gray,113
Polk,Gary Johnson / James P. Gray,127
Pope,Gary Johnson / James P. Gray,321
Prairie,Gary Johnson / James P. Gray,42
Pulaski,Gary Johnson / James P. Gray,1952
