county,candidate,votes
Apache,OBAMA,17147
Apache,ROMNEY,8250
Apache,JOHNSON,354
Apache,STEIN,88
Apache,Write-in,78
Cochise,OBAMA,18546
Cochise,ROMNEY,29497
Cochise,JOHNSON,728
Cochise,STEIN,215
Cochise,Write-in,215
Coconino,OBAMA,29257
Coconino,ROMNEY,21220
Coconino,JOHNSON,941
Coconino,STEIN,301
Coconino,Write-in,243
Gila,OBAMA,7697
Gila,ROMNEY,13455
Gila,JOHNSON,310
Gila,STEIN,64
Gila,Write-in,69
Graham,OBAMA,3609
Graham,ROMNEY,8076
Graham,JOHNSON,142
Graham,STEIN,28
Graham,Write-in,50
Greenlee,OBAMA,1310
Greenlee,ROMNEY,1592
Greenlee,JOHNSON,61
Greenlee,STEIN,11
Greenlee,Write-in,12
La Paz,OBAMA,1880
La Paz,ROMNEY,3714
La Paz,JOHNSON,99
La Paz,STEIN,24
La Paz,Write-in,18
Maricopa,OBAMA,602288
Maricopa,ROMNEY,749885
Maricopa,JOHNSON,20071
Maricopa,STEIN,4091
Maricopa,Write-in,4624
Mohave,OBAMA,19533
Mohave,ROMNEY,49168
Mohave,JOHNSON,1070
Mohave,STEIN,224
Mohave,Write-in,333
Navajo,OBAMA,16945
Navajo,ROMNEY,19884
Navajo,JOHNSON,399
Navajo,STEIN,99
Navajo,Write-in,138
Pima,OBAMA,201251
Pima,ROMNEY,174779
Pima,JOHNSON,4366
Pima,STEIN,1758
Pima,Write-in,1019
Pinal,OBAMA,44306
Pinal,ROMNEY,62079
Pinal,JOHNSON,1568
Pinal,STEIN,325
Pinal,Write-in,404
Santa Cruz,OBAMA,9486
Santa Cruz,ROMNEY,4235
Santa Cruz,JOHNSON,108
Santa Cruz,STEIN,65
Santa Cruz,Write-in,17
Yavapai,OBAMA,33918
Yavapai,ROMNEY,64468
Yavapai,JOHNSON,1450
Yavapai,STEIN,417
Yavapai,Write-in,414
Yuma,OBAMA,18059
Yuma,ROMNEY,23352
Yuma,JOHNSON,433
Yuma,STEIN,106
Yuma,Write-in,123
