county,candidate,votes
Alameda,Obama,469684
Alameda,Romney,108182
Alameda,Hoefling,1212
Alameda,Stein,7502
Alameda,Johnson,5471
Alameda,Barr,2890
Alameda,Anderson,69
Alameda,Tittle,0
Alpine,Obama,389
Alpine,Romney,236
Alpine,Hoefling,1
Alpine,Stein,8
Alpine,Johnson,8
Alpine,Barr,5
Alpine,Anderson,2
Alpine,Tittle,0
Amador,Obama,6830
Amador,Romney,10281
Amador,Hoefling,79
Amador,Stein,88
Amador,Johnson,242
Amador,Barr,75
Amador,Anderson,0
Amador,Tittle,0
Butte,Obama,42669
Butte,Romney,44479
Butte,Hoefling,454
Butte,Stein,840
Butte,Johnson,1334
Butte,Barr,562
Butte,Anderson,21
Butte,Tittle,0
Calaveras,Obama,8670
Calaveras,Romney,12365
Calaveras,Hoefling,110
Calaveras,Stein,122
Calaveras,Johnson,327
Calaveras,Barr,100
Calaveras,Anderson,6
Calaveras,Tittle,0
Colusa,Obama,2314
Colusa,Romney,3601
Colusa,Hoefling,17
Colusa,Stein,17
Colusa,Johnson,47
Colusa,Barr,18
Colusa,Anderson,2
Colusa,Tittle,0
Contra Costa,Obama,290824
Contra Costa,Romney,136517
Contra Costa,Hoefling,1391
Contra Costa,Stein,2879
Contra Costa,Johnson,4372
Contra Costa,Barr,1543
Contra Costa,Anderson,43
Contra Costa,Tittle,0
Del Norte,Obama,3791
Del Norte,Romney,4614
Del Norte,Hoefling,70
Del Norte,Stein,90
Del Norte,Johnson,109
Del Norte,Barr,62
Del Norte,Anderson,3
Del Norte,Tittle,0
El Dorado,Obama,35166
El Dorado,Romney,50973
El Dorado,Hoefling,336
El Dorado,Stein,410
El Dorado,Johnson,1278
El Dorado,Barr,312
El Dorado,Anderson,8
El Dorado,Tittle,0
Fresno,Obama,129129
Fresno,Romney,124490
Fresno,Hoefling,434
Fresno,Stein,1101
Fresno,Johnson,2262
Fresno,Barr,898
Fresno,Anderson,8
Fresno,Tittle,3
Glenn,Obama,3301
Glenn,Romney,5632
Glenn,Hoefling,57
Glenn,Stein,30
Glenn,Johnson,106
Glenn,Barr,65
Glenn,Anderson,1
Glenn,Tittle,0
Humboldt,Obama,34457
Humboldt,Romney,18825
Humboldt,Hoefling,105
Humboldt,Stein,2505
Humboldt,Johnson,910
Humboldt,Barr,370
Humboldt,Anderson,26
Humboldt,Tittle,0
Imperial,Obama,25136
Imperial,Romney,12777
Imperial,Hoefling,135
Imperial,Stein,112
Imperial,Johnson,227
Imperial,Barr,146
Imperial,Anderson,1
Imperial,Tittle,0
Inyo,Obama,3422
Inyo,Romney,4340
Inyo,Hoefling,43
Inyo,Stein,70
Inyo,Johnson,94
Inyo,Barr,35
Inyo,Anderson,0
Inyo,Tittle,0
Kern,Obama,89495
Kern,Romney,126618
Kern,Hoefling,963
Kern,Stein,672
Kern,Johnson,2195
Kern,Barr,1070
Kern,Anderson,10
Kern,Tittle,0
Kings,Obama,12979
Kings,Romney,17671
Kings,Hoefling,160
Kings,Stein,120
Kings,Johnson,251
Kings,Barr,170
Kings,Anderson,3
Kings,Tittle,0
Lake,Obama,13163
Lake,Romney,9200
Lake,Hoefling,139
Lake,Stein,264
Lake,Johnson,323
Lake,Barr,229
Lake,Anderson,7
Lake,Tittle,0
Lassen,Obama,3053
Lassen,Romney,7296
Lassen,Hoefling,49
Lassen,Stein,42
Lassen,Johnson,138
Lassen,Barr,69
Lassen,Anderson,0
Lassen,Tittle,0
Los Angeles,Obama,2216903
Los Angeles,Romney,885333
Los Angeles,Hoefling,10408
Los Angeles,Stein,20404
Los Angeles,Johnson,31917
Los Angeles,Barr,14649
Los Angeles,Anderson,93
Los Angeles,Tittle,1
