fips,county,candidate,votes
08001,Adams,Barack Obama / Joe Biden,100649
08003,Alamosa,Barack Obama / Joe Biden,3811
08005,Arapahoe,Barack Obama / Joe Biden,153905
08007,Archuleta,Barack Obama / Joe Biden,2679
08009,Baca,Barack Obama / Joe Biden,467
08011,Bent,Barack Obama / Joe Biden,815
08013,Boulder,Barack Obama / Joe Biden,125091
08014,Broomfield,Barack Obama / Joe Biden,16966
08015,Chaffee,Barack Obama / Joe Biden,5086
08017,Cheyenne,Barack Obama / Joe Biden,172
08019,Clear Creek,Barack Obama / Joe Biden,3119
08021,Conejos,Barack Obama / Joe Biden,2213
08023,Costilla,Barack Obama / Joe Biden,1340
08025,Crowley,Barack Obama / Joe Biden,535
08027,Custer,Barack Obama / Joe Biden,868
08029,Delta,Barack Obama / Joe Biden,4622
08031,Denver,Barack Obama / Joe Biden,222018
08033,Dolores,Barack Obama / Joe Biden,334
08035,Douglas,Barack Obama / Joe Biden,61094
08037,Eagle,Barack Obama / Joe Biden,12792
08041,El Paso,Barack Obama / Joe Biden,111819
08039,Elbert,Barack Obama / Joe Biden,3603
08043,Fremont,Barack Obama / Joe Biden,6704
08045,Garfield,Barack Obama / Joe Biden,11305
08047,Gilpin,Barack Obama / Joe Biden,1892
08049,Grand,Barack Obama / Joe Biden,3684
08051,Gunnison,Barack Obama / Joe Biden,5044
08053,Hinsdale,Barack Obama / Joe Biden,229
08055,Huerfano,Barack Obama / Joe Biden,1953
08057,Jackson,Barack Obama / Joe Biden,216
08059,Jefferson,Barack Obama / Joe Biden,159296
08061,Kiowa,Barack Obama / Joe Biden,118
08063,Kit Carson,Barack Obama / Joe Biden,838
08067,La Plata,Barack Obama / Joe Biden,15489
08065,Lake,Barack Obama / Joe Biden,1839
08069,Larimer,Barack Obama / Joe Biden,92747
08071,Las Animas,Barack Obama / Joe Biden,3445
08073,Lincoln,Barack Obama / Joe Biden,552
08075,Logan,Barack Obama / Joe Biden,2712
08077,Mesa,Barack Obama / Joe Biden,23846
08079,Mineral,Barack Obama / Joe Biden,291
08081,Moffat,Barack Obama / Joe Biden,1330
08083,Montezuma,Barack Obama / Joe Biden,4542
08085,Montrose,Barack Obama / Joe Biden,6138
08087,Morgan,Barack Obama / Joe Biden,3912
08089,Otero,Barack Obama / Joe Biden,3647
08091,Ouray,Barack Obama / Joe Biden,1646
08093,Park,Barack Obama / Joe Biden,3862
08095,Phillips,Barack Obama / Joe Biden,588
08097,Pitkin,Barack Obama / Joe Biden,6849
08099,Prowers,Barack Obama / Joe Biden,1519
08101,Pueblo,Barack Obama / Joe Biden,42551
08103,Rio Blanco,Barack Obama / Joe Biden,568
08105,Rio Grande,Barack Obama / Joe Biden,2478
08107,Routt,Barack Obama / Joe Biden,7547
08109,Saguache,Barack Obama / Joe Biden,1864
08111,San Juan,Barack Obama / Joe Biden,266
08113,San Miguel,Barack Obama / Joe Biden,2992
08115,Sedgwick,Barack Obama / Joe Biden,419
08117,Summit,Barack Obama / Joe Biden,9347
08119,Teller,Barack Obama / Joe Biden,4333
08121,Washington,Barack Obama / Joe Biden,468
08123,Weld,Barack Obama / Joe Biden,49050
08125,Yuma,Barack Obama / Joe Biden,987
08001,Adams,Mitt Romney / Paul Ryan,70972
08003,Alamosa,Mitt Romney / Paul Ryan,2705
08005,Arapahoe,Mitt Romney / Paul Ryan,125588
08007,Archuleta,Mitt Romney / Paul Ryan,3872
08009,Baca,Mitt Romney / Paul Ryan,1559
08011,Bent,Mitt Romney / Paul Ryan,1075
08013,Boulder,Mitt Romney / Paul Ryan,49981
08014,Broomfield,Mitt Romney / Paul Ryan,15008
08015,Chaffee,Mitt Romney / Paul Ryan,5070
08017,Cheyenne,Mitt Romney / Paul Ryan,889
08019,Clear Creek,Mitt Romney / Paul Ryan,2430
08021,Conejos,Mitt Romney / Paul Ryan,1835
08023,Costilla,Mitt Romney / Paul Ryan,446
08025,Crowley,Mitt Romney / Paul Ryan,924
08027,Custer,Mitt Romney / Paul Ryan,1788
08029,Delta,Mitt Romney / Paul Ryan,10915
08031,Denver,Mitt Romney / Paul Ryan,73111
08033,Dolores,Mitt Romney / Paul Ryan,859
08035,Douglas,Mitt Romney / Paul Ryan,104397
08037,Eagle,Mitt Romney / Paul Ryan,9411
08041,El Paso,Mitt Romney / Paul Ryan,170952
08039,Elbert,Mitt Romney / Paul Ryan,10266
08043,Fremont,Mitt Romney / Paul Ryan,13174
08045,Garfield,Mitt Romney / Paul Ryan,12535
08047,Gilpin,Mitt Romney / Paul Ryan,1346
08049,Grand,Mitt Romney / Paul Ryan,4253
08051,Gunnison,Mitt Romney / Paul Ryan,3341
08053,Hinsdale,Mitt Romney / Paul Ryan,353
08055,Huerfano,Mitt Romney / Paul Ryan,1646
08057,Jackson,Mitt Romney / Paul Ryan,600
08059,Jefferson,Mitt Romney / Paul Ryan,144197
08061,Kiowa,Mitt Romney / Paul Ryan,677
08063,Kit Carson,Mitt Romney / Paul Ryan,2785
08067,La Plata,Mitt Romney / Paul Ryan,12794
08065,Lake,Mitt Romney / Paul Ryan,1098
08069,Larimer,Mitt Romney / Paul Ryan,82376
08071,Las Animas,Mitt Romney / Paul Ryan,3263
08073,Lincoln,Mitt Romney / Paul Ryan,1687
08075,Logan,Mitt Romney / Paul Ryan,6179
08077,Mesa,Mitt Romney / Paul Ryan,47472
08079,Mineral,Mitt Romney / Paul Ryan,344
08081,Moffat,Mitt Romney / Paul Ryan,4695
08083,Montezuma,Mitt Romney / Paul Ryan,7401
08085,Montrose,Mitt Romney / Paul Ryan,13552
08087,Morgan,Mitt Romney / Paul Ryan,6602
08089,Otero,Mitt Romney / Paul Ryan,4382
08091,Ouray,Mitt Romney / Paul Ryan,1481
