county,candidate,votes
 Fairfield,Romney and Ryan,175168
 Fairfield,Obama and Biden,217294
 Fairfield,Anderson and Rodriguez,1010
 Fairfield,Johnson and Gray,2644
 Hartford,Romney and Ryan,143238
 Hartford,Obama and Biden,244639
 Hartford,Anderson and Rodriguez,1183
 Hartford,Johnson and Gray,2959
 Litchfield,Romney and Ryan,47201
 Litchfield,Obama and Biden,43856
 Litchfield,Anderson and Rodriguez,364
 Litchfield,Johnson and Gray,891
 Middlesex,Romney and Ryan,34591
 Middlesex,Obama and Biden,47855
 Middlesex,Anderson and Rodriguez,293
 Middlesex,Johnson and Gray,753
 New Haven,Romney and Ryan,138357
 New Haven,Obama and Biden,218972
 New Haven,Anderson and Rodriguez,1013
 New Haven,Johnson and Gray,2490
 New london,Romney and Ryan,46119
 New london,Obama and Biden,67144
 New london,Anderson and Rodriguez,586
 New london,Johnson and Gray,1244
 Tolland,Romney and Ryan,30450
 Tolland,Obama and Biden,39366
 Tolland,Anderson and Rodriguez,282
 Tolland,Johnson and Gray,830
 Windham,Romney and Ryan,19768
 Windham,Obama and Biden,25957
 Windham,Anderson and Rodriguez,240
 Windham,Johnson and Gray,529
