county,candidate,votes
Alachua,Romney / Ryan (REP),48797
Alachua,Obama / Biden (DEM),69699
Alachua,Stevens / Link (OBJ),46
Alachua,Johnson / Gray (LBT),1306
Alachua,"Goode, / Clymer (CPF)",43
Alachua,Stein / Honkala (GRE),344
Alachua,Barnett / Cross (REF),11
Alachua,Alexander / Mendoza (SOC),22
Alachua,Lindsay / Osorio (PSL),4
Alachua,Barr / Sheehan (PFP),102
Alachua,Hoefling / Ellis (AIP),16
Alachua,Anderson / Rodriguez (JPF),27
Alachua,Byrne / Harris (WRI),0
Alachua,Coniglio / Walsh (WRI),0
Alachua,Duncan / Johnson (WRI),0
Alachua,Durham / Lopez (WRI),0
Alachua,Magee / Harney (WRI),0
Alachua,Reed / Cary (WRI),1
Baker,Romney / Ryan (REP),8975
Baker,Obama / Biden (DEM),2311
Baker,Stevens / Link (OBJ),8
Baker,Johnson / Gray (LBT),41
Baker,"Goode, / Clymer (CPF)",3
Baker,Stein / Honkala (GRE),6
Baker,Barnett / Cross (REF),0
Baker,Alexander / Mendoza (SOC),1
Baker,Lindsay / Osorio (PSL),1
Baker,Barr / Sheehan (PFP),14
Baker,Hoefling / Ellis (AIP),5
Baker,Anderson / Rodriguez (JPF),3
Baker,Byrne / Harris (WRI),0
Baker,Coniglio / Walsh (WRI),0
Baker,Duncan / Johnson (WRI),0
Baker,Durham / Lopez (WRI),0
Baker,Magee / Harney (WRI),0
Baker,Reed / Cary (WRI),0
Bay,Romney / Ryan (REP),56876
Bay,Obama / Biden (DEM),22051
Bay,Stevens / Link (OBJ),48
Bay,Johnson / Gray (LBT),573
Bay,"Goode, / Clymer (CPF)",25
Bay,Stein / Honkala (GRE),123
Bay,Barnett / Cross (REF),12
Bay,Alexander / Mendoza (SOC),3
Bay,Lindsay / Osorio (PSL),4
Bay,Barr / Sheehan (PFP),114
Bay,Hoefling / Ellis (AIP),11
Bay,Anderson / Rodriguez (JPF),21
Bay,Byrne / Harris (WRI),0
Bay,Coniglio / Walsh (WRI),0
Bay,Duncan / Johnson (WRI),0
Bay,Durham / Lopez (WRI),0
Bay,Magee / Harney (WRI),0
Bay,Reed / Cary (WRI),0
Bradford,Romney / Ryan (REP),8219
Bradford,Obama / Biden (DEM),3325
Bradford,Stevens / Link (OBJ),7
Bradford,Johnson / Gray (LBT),39
Bradford,"Goode, / Clymer (CPF)",4
Bradford,Stein / Honkala (GRE),14
Bradford,Barnett / Cross (REF),2
Bradford,Alexander / Mendoza (SOC),1
Bradford,Lindsay / Osorio (PSL),0
Bradford,Barr / Sheehan (PFP),15
Bradford,Hoefling / Ellis (AIP),2
Bradford,Anderson / Rodriguez (JPF),7
Bradford,Byrne / Harris (WRI),0
Bradford,Coniglio / Walsh (WRI),0
Bradford,Duncan / Johnson (WRI),0
Bradford,Durham / Lopez (WRI),0
Bradford,Magee / Harney (WRI),0
Bradford,Reed / Cary (WRI),0
Brevard,Romney / Ryan (REP),159300
Brevard,Obama / Biden (DEM),122993
Brevard,Stevens / Link (OBJ),164
Brevard,Johnson / Gray (LBT),1974
Brevard,"Goode, / Clymer (CPF)",129
Brevard,Stein / Honkala (GRE),388
Brevard,Barnett / Cross (REF),34
Brevard,Alexander / Mendoza (SOC),26
Brevard,Lindsay / Osorio (PSL),14
Brevard,Barr / Sheehan (PFP),412
Brevard,Hoefling / Ellis (AIP),50
Brevard,Anderson / Rodriguez (JPF),75
Brevard,Byrne / Harris (WRI),0
Brevard,Coniglio / Walsh (WRI),0
Brevard,Duncan / Johnson (WRI),0
Brevard,Durham / Lopez (WRI),0
Brevard,Magee / Harney (WRI),0
Brevard,Reed / Cary (WRI),0
Broward,Romney / Ryan (REP),244101
Broward,Obama / Biden (DEM),508312
Broward,Stevens / Link (OBJ),235
Broward,Johnson / Gray (LBT),2372
Broward,"Goode, / Clymer (CPF)",132
Broward,Stein / Honkala (GRE),574
Broward,Barnett / Cross (REF),58
Broward,Alexander / Mendoza (SOC),77
Broward,Lindsay / Osorio (PSL),26
Broward,Barr / Sheehan (PFP),385
Broward,Hoefling / Ellis (AIP),46
Broward,Anderson / Rodriguez (JPF),104
Broward,Byrne / Harris (WRI),0
Broward,Coniglio / Walsh (WRI),0
Broward,Duncan / Johnson (WRI),0
Broward,Durham / Lopez (WRI),0
Broward,Magee / Harney (WRI),0
Broward,Reed / Cary (WRI),0
Calhoun,Romney / Ryan (REP),4366
Calhoun,Obama / Biden (DEM),1664
Calhoun,Stevens / Link (OBJ),13
Calhoun,Johnson / Gray (LBT),48
Calhoun,"Goode, / Clymer (CPF)",5
Calhoun,Stein / Honkala (GRE),8
Calhoun,Barnett / Cross (REF),4
Calhoun,Alexander / Mendoza (SOC),1
Calhoun,Lindsay / Osorio (PSL),1
Calhoun,Barr / Sheehan (PFP),33
Calhoun,Hoefling / Ellis (AIP),3
Calhoun,Anderson / Rodriguez (JPF),6
Calhoun,Byrne / Harris (WRI),0
Calhoun,Coniglio / Walsh (WRI),0
Calhoun,Duncan / Johnson (WRI),0
Calhoun,Durham / Lopez (WRI),0
Calhoun,Magee / Harney (WRI),0
Calhoun,Reed / Cary (WRI),0
Charlotte,Romney / Ryan (REP),47996
Charlotte,Obama / Biden (DEM),35906
Charlotte,Stevens / Link (OBJ),63
Charlotte,Johnson / Gray (LBT),411
Charlotte,"Goode, / Clymer (CPF)",28
Charlotte,Stein / Honkala (GRE),108
Charlotte,Barnett / Cross (REF),4
Charlotte,Alexander / Mendoza (SOC),9
Charlotte,Lindsay / Osorio (PSL),2
Charlotte,Barr / Sheehan (PFP),128
Charlotte,Hoefling / Ellis (AIP),11
Charlotte,Anderson / Rodriguez (JPF),16
Charlotte,Byrne / Harris (WRI),0
Charlotte,Coniglio / Walsh (WRI),0
Charlotte,Duncan / Johnson (WRI),0
Charlotte,Durham / Lopez (WRI),0
Charlotte,Magee / Harney (WRI),0
Charlotte,Reed / Cary (WRI),0
Citrus,Romney / Ryan (REP),44662
Citrus,Obama / Biden (DEM),28460
Citrus,Stevens / Link (OBJ),72
Citrus,Johnson / Gray (LBT),424
Citrus,"Goode, / Clymer (CPF)",32
Citrus,Stein / Honkala (GRE),85
Citrus,Barnett / Cross (REF),9
Citrus,Alexander / Mendoza (SOC),8
Citrus,Lindsay / Osorio (PSL),0
Citrus,Barr / Sheehan (PFP),152
Citrus,Hoefling / Ellis (AIP),11
Citrus,Anderson / Rodriguez (JPF),20
Citrus,Byrne / Harris (WRI),0
Citrus,Coniglio / Walsh (WRI),0
Citrus,Duncan / Johnson (WRI),0
Citrus,Durham / Lopez (WRI),0
Citrus,Magee / Harney (WRI),0
Citrus,Reed / Cary (WRI),0
Clay,Romney / Ryan (REP),70022
Clay,Obama / Biden (DEM),25759
Clay,Stevens / Link (OBJ),54
Clay,Johnson / Gray (LBT),506
Clay,"Goode, / Clymer (CPF)",25
Clay,Stein / Honkala (GRE),79
Clay,Barnett / Cross (REF),11
Clay,Alexander / Mendoza (SOC),6
Clay,Lindsay / Osorio (PSL),3
Clay,Barr / Sheehan (PFP),96
Clay,Hoefling / Ellis (AIP),14
Clay,Anderson / Rodriguez (JPF),14
Clay,Byrne / Harris (WRI),0
Clay,Coniglio / Walsh (WRI),0
Clay,Duncan / Johnson (WRI),0
Clay,Durham / Lopez (WRI),0
Clay,Magee / Harney (WRI),0
Clay,Reed / Cary (WRI),0
Collier,Romney / Ryan (REP),96520
Collier,Obama / Biden (DEM),51698
Collier,Stevens / Link (OBJ),34
Collier,Johnson / Gray (LBT),604
Collier,"Goode, / Clymer (CPF)",32
Collier,Stein / Honkala (GRE),111
Collier,Barnett / Cross (REF),10
Collier,Alexander / Mendoza (SOC),5
Collier,Lindsay / Osorio (PSL),7
Collier,Barr / Sheehan (PFP),68
Collier,Hoefling / Ellis (AIP),5
Collier,Anderson / Rodriguez (JPF),18
Collier,Byrne / Harris (WRI),0
Collier,Coniglio / Walsh (WRI),0
Collier,Duncan / Johnson (WRI),0
Collier,Durham / Lopez (WRI),0
Collier,Magee / Harney (WRI),0
Collier,Reed / Cary (WRI),0
Columbia,Romney / Ryan (REP),18429
Columbia,Obama / Biden (DEM),8462
Columbia,Stevens / Link (OBJ),22
Columbia,Johnson / Gray (LBT),143
Columbia,"Goode, / Clymer (CPF)",12
Columbia,Stein / Honkala (GRE),35
Columbia,Barnett / Cross (REF),3
Columbia,Alexander / Mendoza (SOC),1
Columbia,Lindsay / Osorio (PSL),2
Columbia,Barr / Sheehan (PFP),43
Columbia,Hoefling / Ellis (AIP),6
Columbia,Anderson / Rodriguez (JPF),5
Columbia,Byrne / Harris (WRI),0
Columbia,Coniglio / Walsh (WRI),0
Columbia,Duncan / Johnson (WRI),0
Columbia,Durham / Lopez (WRI),0
Columbia,Magee / Harney (WRI),0
Columbia,Reed / Cary (WRI),0
Desoto,Romney / Ryan (REP),5587
Desoto,Obama / Biden (DEM),4174
Desoto,Stevens / Link (OBJ),9
Desoto,Johnson / Gray (LBT),48
Desoto,"Goode, / Clymer (CPF)",4
