county,candidate,votes
Appling,MITT ROMNEY (R),5233
Atkinson,MITT ROMNEY (R),1938
Bacon,MITT ROMNEY (R),3093
Baker,MITT ROMNEY (R),785
Baldwin,MITT ROMNEY (R),7589
Banks,MITT ROMNEY (R),5354
Barrow,MITT ROMNEY (R),18725
Bartow,MITT ROMNEY (R),26876
Ben Hill,MITT ROMNEY (R),3396
Berrien,MITT ROMNEY (R),4843
Bibb,MITT ROMNEY (R),25623
Bleckley,MITT ROMNEY (R),3587
Brantley,MITT ROMNEY (R),4964
Brooks,MITT ROMNEY (R),3554
Bryan,MITT ROMNEY (R),9560
Bulloch,MITT ROMNEY (R),14174
Burke,MITT ROMNEY (R),4301
Butts,MITT ROMNEY (R),6306
Calhoun,MITT ROMNEY (R),883
Camden,MITT ROMNEY (R),11343
Candler,MITT ROMNEY (R),2344
Carroll,MITT ROMNEY (R),28280
Catoosa,MITT ROMNEY (R),17858
Charlton,MITT ROMNEY (R),2527
Chatham,MITT ROMNEY (R),47204
Chattahoochee,MITT ROMNEY (R),735
Chattooga,MITT ROMNEY (R),5452
Cherokee,MITT ROMNEY (R),76514
Clarke,MITT ROMNEY (R),13815
Clay,MITT ROMNEY (R),537
Clayton,MITT ROMNEY (R),14164
Clinch,MITT ROMNEY (R),1598
Cobb,MITT ROMNEY (R),171722
Coffee,MITT ROMNEY (R),9248
Colquitt,MITT ROMNEY (R),9243
Columbia,MITT ROMNEY (R),41765
Cook,MITT ROMNEY (R),3935
Coweta,MITT ROMNEY (R),39653
Crawford,MITT ROMNEY (R),3368
Crisp,MITT ROMNEY (R),4182
Dade,MITT ROMNEY (R),4471
Dawson,MITT ROMNEY (R),8847
DeKalb,MITT ROMNEY (R),64392
Decatur,MITT ROMNEY (R),5824
Dodge,MITT ROMNEY (R),5214
Dooly,MITT ROMNEY (R),1985
Dougherty,MITT ROMNEY (R),11449
Douglas,MITT ROMNEY (R),26241
Early,MITT ROMNEY (R),2557
Echols,MITT ROMNEY (R),917
Effingham,MITT ROMNEY (R),15596
Elbert,MITT ROMNEY (R),4859
Emanuel,MITT ROMNEY (R),5100
Evans,MITT ROMNEY (R),2268
Fannin,MITT ROMNEY (R),7857
Fayette,MITT ROMNEY (R),38075
Floyd,MITT ROMNEY (R),22733
Forsyth,MITT ROMNEY (R),65908
Franklin,MITT ROMNEY (R),6114
Fulton,MITT ROMNEY (R),137124
Gilmer,MITT ROMNEY (R),8926
Glascock,MITT ROMNEY (R),1135
Glynn,MITT ROMNEY (R),20893
Gordon,MITT ROMNEY (R),13197
Grady,MITT ROMNEY (R),5924
Greene,MITT ROMNEY (R),5071
Gwinnett,MITT ROMNEY (R),159855
Habersham,MITT ROMNEY (R),12166
Hall,MITT ROMNEY (R),47481
Hancock,MITT ROMNEY (R),769
Haralson,MITT ROMNEY (R),8446
Harris,MITT ROMNEY (R),11197
Hart,MITT ROMNEY (R),6517
Heard,MITT ROMNEY (R),3160
Henry,MITT ROMNEY (R),46774
Houston,MITT ROMNEY (R),34662
Irwin,MITT ROMNEY (R),2538
Jackson,MITT ROMNEY (R),19135
Jasper,MITT ROMNEY (R),4136
Jeff Davis,MITT ROMNEY (R),3996
Jefferson,MITT ROMNEY (R),2999
Jenkins,MITT ROMNEY (R),1887
Johnson,MITT ROMNEY (R),2440
Jones,MITT ROMNEY (R),7744
Lamar,MITT ROMNEY (R),4899
Lanier,MITT ROMNEY (R),1820
Laurens,MITT ROMNEY (R),11950
Lee,MITT ROMNEY (R),10314
Liberty,MITT ROMNEY (R),5565
Lincoln,MITT ROMNEY (R),2807
Long,MITT ROMNEY (R),2306
Lowndes,MITT ROMNEY (R),21327
Lumpkin,MITT ROMNEY (R),8647
Macon,MITT ROMNEY (R),1545
Madison,MITT ROMNEY (R),8443
Marion,MITT ROMNEY (R),1733
McDuffie,MITT ROMNEY (R),5475
McIntosh,MITT ROMNEY (R),3409
Meriwether,MITT ROMNEY (R),4856
Miller,MITT ROMNEY (R),1905
Mitchell,MITT ROMNEY (R),4155
Monroe,MITT ROMNEY (R),8361
Montgomery,MITT ROMNEY (R),2662
Morgan,MITT ROMNEY (R),6186
Murray,MITT ROMNEY (R),8443
Muscogee,MITT ROMNEY (R),27510
Newton,MITT ROMNEY (R),20982
Oconee,MITT ROMNEY (R),13098
Oglethorpe,MITT ROMNEY (R),4251
Paulding,MITT ROMNEY (R),40846
Peach,MITT ROMNEY (R),5287
Pickens,MITT ROMNEY (R),10547
Pierce,MITT ROMNEY (R),5667
Pike,MITT ROMNEY (R),6668
Polk,MITT ROMNEY (R),9811
Pulaski,MITT ROMNEY (R),2444
Putnam,MITT ROMNEY (R),6215
Quitman,MITT ROMNEY (R),510
Rabun,MITT ROMNEY (R),5754
Randolph,MITT ROMNEY (R),1271
Richmond,MITT ROMNEY (R),25845
Rockdale,MITT ROMNEY (R),15716
Schley,MITT ROMNEY (R),1286
Screven,MITT ROMNEY (R),3287
Seminole,MITT ROMNEY (R),2245
Spalding,MITT ROMNEY (R),14911
Stephens,MITT ROMNEY (R),7221
Stewart,MITT ROMNEY (R),745
Sumter,MITT ROMNEY (R),5378
Talbot,MITT ROMNEY (R),1202
Taliaferro,MITT ROMNEY (R),323
Tattnall,MITT ROMNEY (R),4706
Taylor,MITT ROMNEY (R),1948
Telfair,MITT ROMNEY (R),2480
Terrell,MITT ROMNEY (R),1834
Thomas,MITT ROMNEY (R),11156
Tift,MITT ROMNEY (R),9185
Toombs,MITT ROMNEY (R),6524
Towns,MITT ROMNEY (R),4876
Treutlen,MITT ROMNEY (R),1652
Troup,MITT ROMNEY (R),15179
Turner,MITT ROMNEY (R),2028
Twiggs,MITT ROMNEY (R),1907
Union,MITT ROMNEY (R),8773
Upson,MITT ROMNEY (R),7230
Walker,MITT ROMNEY (R),16247
Walton,MITT ROMNEY (R),29036
Ware,MITT ROMNEY (R),7941
Warren,MITT ROMNEY (R),990
Washington,MITT ROMNEY (R),4035
Wayne,MITT ROMNEY (R),7557
Webster,MITT ROMNEY (R),601
Wheeler,MITT ROMNEY (R),1366
White,MITT ROMNEY (R),8651
Whitfield,MITT ROMNEY (R),19305
Wilcox,MITT ROMNEY (R),2053
Wilkes,MITT ROMNEY (R),2635
Wilkinson,MITT ROMNEY (R),2246
Worth,MITT ROMNEY (R),5869
Appling,BARACK OBAMA (I)D,1758
Atkinson,BARACK OBAMA (I)D,930
Bacon,BARACK OBAMA (I)D,791
Baker,BARACK OBAMA (I)D,794
Baldwin,BARACK OBAMA (I)D,8483
Banks,BARACK OBAMA (I)D,780
Barrow,BARACK OBAMA (I)D,6028
Bartow,BARACK OBAMA (I)D,8396
Ben Hill,BARACK OBAMA (I)D,2512
Berrien,BARACK OBAMA (I)D,1273
Bibb,BARACK OBAMA (I)D,38585
Bleckley,BARACK OBAMA (I)D,1269
Brantley,BARACK OBAMA (I)D,939
Brooks,BARACK OBAMA (I)D,3138
Bryan,BARACK OBAMA (I)D,3707
Bulloch,BARACK OBAMA (I)D,9593
Burke,BARACK OBAMA (I)D,5405
Butts,BARACK OBAMA (I)D,2968
Calhoun,BARACK OBAMA (I)D,1298
Camden,BARACK OBAMA (I)D,6377
Candler,BARACK OBAMA (I)D,1157
Carroll,BARACK OBAMA (I)D,12688
Catoosa,BARACK OBAMA (I)D,5365
Charlton,BARACK OBAMA (I)D,1197
Chatham,BARACK OBAMA (I)D,60246
Chattahoochee,BARACK OBAMA (I)D,729
Chattooga,BARACK OBAMA (I)D,2232
Cherokee,BARACK OBAMA (I)D,19841
Clarke,BARACK OBAMA (I)D,25431
Clay,BARACK OBAMA (I)D,862
Clayton,BARACK OBAMA (I)D,81479
Clinch,BARACK OBAMA (I)D,852
Cobb,BARACK OBAMA (I)D,133124
Coffee,BARACK OBAMA (I)D,5057
Colquitt,BARACK OBAMA (I)D,3973
Columbia,BARACK OBAMA (I)D,16451
Cook,BARACK OBAMA (I)D,2042
Coweta,BARACK OBAMA (I)D,15168
Crawford,BARACK OBAMA (I)D,1706
Crisp,BARACK OBAMA (I)D,3167
Dade,BARACK OBAMA (I)D,1411
Dawson,BARACK OBAMA (I)D,1241
DeKalb,BARACK OBAMA (I)D,238224
Decatur,BARACK OBAMA (I)D,4591
Dodge,BARACK OBAMA (I)D,2442
Dooly,BARACK OBAMA (I)D,2285
Dougherty,BARACK OBAMA (I)D,26295
Douglas,BARACK OBAMA (I)D,28441
Early,BARACK OBAMA (I)D,2765
Echols,BARACK OBAMA (I)D,173
Effingham,BARACK OBAMA (I)D,4947
Elbert,BARACK OBAMA (I)D,3181
Emanuel,BARACK OBAMA (I)D,2927
Evans,BARACK OBAMA (I)D,1268
Fannin,BARACK OBAMA (I)D,2028
Fayette,BARACK OBAMA (I)D,19736
Floyd,BARACK OBAMA (I)D,9640
Forsyth,BARACK OBAMA (I)D,14571
Franklin,BARACK OBAMA (I)D,1499
Fulton,BARACK OBAMA (I)D,255470
Gilmer,BARACK OBAMA (I)D,1958
Glascock,BARACK OBAMA (I)D,176
Glynn,BARACK OBAMA (I)D,11950
Gordon,BARACK OBAMA (I)D,3440
Grady,BARACK OBAMA (I)D,3419
Greene,BARACK OBAMA (I)D,3201
Gwinnett,BARACK OBAMA (I)D,132509
Habersham,BARACK OBAMA (I)D,2301
Hall,BARACK OBAMA (I)D,12999
Hancock,BARACK OBAMA (I)D,3308
Haralson,BARACK OBAMA (I)D,1789
Harris,BARACK OBAMA (I)D,4145
Hart,BARACK OBAMA (I)D,2870
Heard,BARACK OBAMA (I)D,948
Henry,BARACK OBAMA (I)D,43761
Houston,BARACK OBAMA (I)D,22702
Irwin,BARACK OBAMA (I)D,1141
Jackson,BARACK OBAMA (I)D,4238
Jasper,BARACK OBAMA (I)D,1845
Jeff Davis,BARACK OBAMA (I)D,1275
Jefferson,BARACK OBAMA (I)D,4261
Jenkins,BARACK OBAMA (I)D,1488
Johnson,BARACK OBAMA (I)D,1305
Jones,BARACK OBAMA (I)D,4274
Lamar,BARACK OBAMA (I)D,2602
Lanier,BARACK OBAMA (I)D,1114
Laurens,BARACK OBAMA (I)D,7513
Lee,BARACK OBAMA (I)D,3196
Liberty,BARACK OBAMA (I)D,10457
Lincoln,BARACK OBAMA (I)D,1586
Long,BARACK OBAMA (I)D,1442
Lowndes,BARACK OBAMA (I)D,17470
Lumpkin,BARACK OBAMA (I)D,2055
Macon,BARACK OBAMA (I)D,3211
Madison,BARACK OBAMA (I)D,2494
Marion,BARACK OBAMA (I)D,1412
McDuffie,BARACK OBAMA (I)D,4044
McIntosh,BARACK OBAMA (I)D,2864
Meriwether,BARACK OBAMA (I)D,4331
Miller,BARACK OBAMA (I)D,852
Mitchell,BARACK OBAMA (I)D,4081
Monroe,BARACK OBAMA (I)D,3785
Montgomery,BARACK OBAMA (I)D,1135
Morgan,BARACK OBAMA (I)D,2753
Murray,BARACK OBAMA (I)D,2542
Muscogee,BARACK OBAMA (I)D,42573
Newton,BARACK OBAMA (I)D,21851
Oconee,BARACK OBAMA (I)D,4421
Oglethorpe,BARACK OBAMA (I)D,1914
Paulding,BARACK OBAMA (I)D,15825
Peach,BARACK OBAMA (I)D,6148
Pickens,BARACK OBAMA (I)D,1975
Pierce,BARACK OBAMA (I)D,1124
Pike,BARACK OBAMA (I)D,1356
Polk,BARACK OBAMA (I)D,3615
Pulaski,BARACK OBAMA (I)D,1219
