county,candidate,votes
Adair,Mitt Romney/Paul Ryan,2114
Adair,Barack Obama/Joe Biden,1790
Adair,Virgil Goode/James Clymer,8
Adair,Jill Stein/Cheri Honkala,9
Adair,Gary Johnson/James P. Gray,30
Adair,Gloria LaRiva/Stefanie Beacham,3
Adair,James Harris/Alyson Kennedy,5
Adair,Jerry Litzel/Jim Litzel,6
Adair,Write-In,31
Adams,Mitt Romney/Paul Ryan,1108
Adams,Barack Obama/Joe Biden,1028
Adams,Virgil Goode/James Clymer,6
Adams,Jill Stein/Cheri Honkala,3
Adams,Gary Johnson/James P. Gray,16
Adams,Gloria LaRiva/Stefanie Beacham,0
Adams,James Harris/Alyson Kennedy,4
Adams,Jerry Litzel/Jim Litzel,8
Adams,Write-In,12
Allamakee,Mitt Romney/Paul Ryan,3264
Allamakee,Barack Obama/Joe Biden,3553
Allamakee,Virgil Goode/James Clymer,9
Allamakee,Jill Stein/Cheri Honkala,27
Allamakee,Gary Johnson/James P. Gray,27
Allamakee,Gloria LaRiva/Stefanie Beacham,1
Allamakee,James Harris/Alyson Kennedy,17
Allamakee,Jerry Litzel/Jim Litzel,2
Allamakee,Write-In,34
Appanoose,Mitt Romney/Paul Ryan,3161
Appanoose,Barack Obama/Joe Biden,2951
Appanoose,Virgil Goode/James Clymer,15
Appanoose,Jill Stein/Cheri Honkala,18
Appanoose,Gary Johnson/James P. Gray,44
Appanoose,Gloria LaRiva/Stefanie Beacham,2
Appanoose,James Harris/Alyson Kennedy,2
Appanoose,Jerry Litzel/Jim Litzel,8
Appanoose,Write-In,44
Audubon,Mitt Romney/Paul Ryan,1802
Audubon,Barack Obama/Joe Biden,1611
Audubon,Virgil Goode/James Clymer,8
Audubon,Jill Stein/Cheri Honkala,8
Audubon,Gary Johnson/James P. Gray,12
Audubon,Gloria LaRiva/Stefanie Beacham,1
Audubon,James Harris/Alyson Kennedy,1
Audubon,Jerry Litzel/Jim Litzel,2
Audubon,Write-In,12
Benton,Mitt Romney/Paul Ryan,6940
Benton,Barack Obama/Joe Biden,6862
Benton,Virgil Goode/James Clymer,31
Benton,Jill Stein/Cheri Honkala,25
Benton,Gary Johnson/James P. Gray,100
Benton,Gloria LaRiva/Stefanie Beacham,6
Benton,James Harris/Alyson Kennedy,2
Benton,Jerry Litzel/Jim Litzel,10
Benton,Write-In,47
Black Hawk,Mitt Romney/Paul Ryan,26235
Black Hawk,Barack Obama/Joe Biden,39821
Black Hawk,Virgil Goode/James Clymer,96
Black Hawk,Jill Stein/Cheri Honkala,118
Black Hawk,Gary Johnson/James P. Gray,540
Black Hawk,Gloria LaRiva/Stefanie Beacham,13
Black Hawk,James Harris/Alyson Kennedy,15
Black Hawk,Jerry Litzel/Jim Litzel,14
Black Hawk,Write-In,289
Boone,Mitt Romney/Paul Ryan,6556
Boone,Barack Obama/Joe Biden,7512
Boone,Virgil Goode/James Clymer,55
Boone,Jill Stein/Cheri Honkala,43
Boone,Gary Johnson/James P. Gray,122
Boone,Gloria LaRiva/Stefanie Beacham,1
Boone,James Harris/Alyson Kennedy,2
Boone,Jerry Litzel/Jim Litzel,21
Boone,Write-In,76
Bremer,Mitt Romney/Paul Ryan,6405
Bremer,Barack Obama/Joe Biden,6763
Bremer,Virgil Goode/James Clymer,13
Bremer,Jill Stein/Cheri Honkala,16
Bremer,Gary Johnson/James P. Gray,82
Bremer,Gloria LaRiva/Stefanie Beacham,3
Bremer,James Harris/Alyson Kennedy,4
Bremer,Jerry Litzel/Jim Litzel,7
Bremer,Write-In,53
Buchanan,Mitt Romney/Paul Ryan,4450
Buchanan,Barack Obama/Joe Biden,5911
Buchanan,Virgil Goode/James Clymer,19
Buchanan,Jill Stein/Cheri Honkala,34
Buchanan,Gary Johnson/James P. Gray,65
Buchanan,Gloria LaRiva/Stefanie Beacham,4
Buchanan,James Harris/Alyson Kennedy,5
Buchanan,Jerry Litzel/Jim Litzel,5
Buchanan,Write-In,42
Buena Vista,Mitt Romney/Paul Ryan,4554
Buena Vista,Barack Obama/Joe Biden,3700
Buena Vista,Virgil Goode/James Clymer,16
Buena Vista,Jill Stein/Cheri Honkala,12
Buena Vista,Gary Johnson/James P. Gray,57
Buena Vista,Gloria LaRiva/Stefanie Beacham,2
Buena Vista,James Harris/Alyson Kennedy,2
Buena Vista,Jerry Litzel/Jim Litzel,4
Buena Vista,Write-In,36
Butler,Mitt Romney/Paul Ryan,4106
Butler,Barack Obama/Joe Biden,3329
Butler,Virgil Goode/James Clymer,25
Butler,Jill Stein/Cheri Honkala,18
Butler,Gary Johnson/James P. Gray,33
Butler,Gloria LaRiva/Stefanie Beacham,1
Butler,James Harris/Alyson Kennedy,1
Butler,Jerry Litzel/Jim Litzel,8
Butler,Write-In,24
Calhoun,Mitt Romney/Paul Ryan,2891
Calhoun,Barack Obama/Joe Biden,2238
Calhoun,Virgil Goode/James Clymer,16
Calhoun,Jill Stein/Cheri Honkala,12
Calhoun,Gary Johnson/James P. Gray,39
Calhoun,Gloria LaRiva/Stefanie Beacham,0
Calhoun,James Harris/Alyson Kennedy,1
Calhoun,Jerry Litzel/Jim Litzel,1
Calhoun,Write-In,32
Carroll,Mitt Romney/Paul Ryan,5601
Carroll,Barack Obama/Joe Biden,4947
Carroll,Virgil Goode/James Clymer,23
Carroll,Jill Stein/Cheri Honkala,13
Carroll,Gary Johnson/James P. Gray,42
Carroll,Gloria LaRiva/Stefanie Beacham,5
Carroll,James Harris/Alyson Kennedy,1
Carroll,Jerry Litzel/Jim Litzel,8
Carroll,Write-In,34
Cass,Mitt Romney/Paul Ryan,4217
Cass,Barack Obama/Joe Biden,2858
Cass,Virgil Goode/James Clymer,21
Cass,Jill Stein/Cheri Honkala,15
Cass,Gary Johnson/James P. Gray,46
Cass,Gloria LaRiva/Stefanie Beacham,4
Cass,James Harris/Alyson Kennedy,9
Cass,Jerry Litzel/Jim Litzel,5
Cass,Write-In,30
Cedar,Mitt Romney/Paul Ryan,4529
Cedar,Barack Obama/Joe Biden,4972
Cedar,Virgil Goode/James Clymer,14
Cedar,Jill Stein/Cheri Honkala,15
Cedar,Gary Johnson/James P. Gray,72
Cedar,Gloria LaRiva/Stefanie Beacham,0
Cedar,James Harris/Alyson Kennedy,1
Cedar,Jerry Litzel/Jim Litzel,5
Cedar,Write-In,41
Cerro Gordo,Mitt Romney/Paul Ryan,10128
Cerro Gordo,Barack Obama/Joe Biden,13316
Cerro Gordo,Virgil Goode/James Clymer,44
Cerro Gordo,Jill Stein/Cheri Honkala,48
Cerro Gordo,Gary Johnson/James P. Gray,147
Cerro Gordo,Gloria LaRiva/Stefanie Beacham,6
Cerro Gordo,James Harris/Alyson Kennedy,7
Cerro Gordo,Jerry Litzel/Jim Litzel,12
Cerro Gordo,Write-In,116
Cherokee,Mitt Romney/Paul Ryan,3662
Cherokee,Barack Obama/Joe Biden,2634
Cherokee,Virgil Goode/James Clymer,12
Cherokee,Jill Stein/Cheri Honkala,19
Cherokee,Gary Johnson/James P. Gray,45
Cherokee,Gloria LaRiva/Stefanie Beacham,3
Cherokee,James Harris/Alyson Kennedy,5
Cherokee,Jerry Litzel/Jim Litzel,4
Cherokee,Write-In,31
Chickasaw,Mitt Romney/Paul Ryan,2836
Chickasaw,Barack Obama/Joe Biden,3554
Chickasaw,Virgil Goode/James Clymer,15
Chickasaw,Jill Stein/Cheri Honkala,15
Chickasaw,Gary Johnson/James P. Gray,35
Chickasaw,Gloria LaRiva/Stefanie Beacham,3
Chickasaw,James Harris/Alyson Kennedy,2
Chickasaw,Jerry Litzel/Jim Litzel,4
Chickasaw,Write-In,20
Clarke,Mitt Romney/Paul Ryan,2124
Clarke,Barack Obama/Joe Biden,2189
Clarke,Virgil Goode/James Clymer,18
Clarke,Jill Stein/Cheri Honkala,17
Clarke,Gary Johnson/James P. Gray,38
Clarke,Gloria LaRiva/Stefanie Beacham,2
Clarke,James Harris/Alyson Kennedy,2
Clarke,Jerry Litzel/Jim Litzel,10
Clarke,Write-In,30
Clay,Mitt Romney/Paul Ryan,4951
Clay,Barack Obama/Joe Biden,3385
Clay,Virgil Goode/James Clymer,13
Clay,Jill Stein/Cheri Honkala,24
Clay,Gary Johnson/James P. Gray,58
Clay,Gloria LaRiva/Stefanie Beacham,0
Clay,James Harris/Alyson Kennedy,5
Clay,Jerry Litzel/Jim Litzel,5
Clay,Write-In,61
Clayton,Mitt Romney/Paul Ryan,4164
Clayton,Barack Obama/Joe Biden,4806
Clayton,Virgil Goode/James Clymer,19
Clayton,Jill Stein/Cheri Honkala,33
