county,candidate,votes
Ada,"Ross C. ""Rocky"" Anderson",636
Ada,Virgil H. Goode,477
Ada,Gary Johnson,3422
Ada,Barack Obama,77137
Ada,Mitt Romney,97554
Ada,Jill Stein,1320
Adams,"Ross C. ""Rocky"" Anderson",11
Adams,Virgil H. Goode,8
Adams,Gary Johnson,28
Adams,Barack Obama,577
Adams,Mitt Romney,1413
Adams,Jill Stein,23
Bannock,"Ross C. ""Rocky"" Anderson",218
Bannock,Virgil H. Goode,102
Bannock,Gary Johnson,442
Bannock,Barack Obama,13214
Bannock,Mitt Romney,21010
Bannock,Jill Stein,274
Bear Lake,"Ross C. ""Rocky"" Anderson",6
Bear Lake,Virgil H. Goode,11
Bear Lake,Gary Johnson,9
Bear Lake,Barack Obama,302
Bear Lake,Mitt Romney,2489
Bear Lake,Jill Stein,5
Benewah,"Ross C. ""Rocky"" Anderson",16
Benewah,Virgil H. Goode,28
Benewah,Gary Johnson,46
Benewah,Barack Obama,1164
Benewah,Mitt Romney,2596
Benewah,Jill Stein,34
Bingham,"Ross C. ""Rocky"" Anderson",50
Bingham,Virgil H. Goode,50
Bingham,Gary Johnson,155
Bingham,Barack Obama,3822
Bingham,Mitt Romney,13440
Bingham,Jill Stein,86
Blaine,"Ross C. ""Rocky"" Anderson",40
Blaine,Virgil H. Goode,8
Blaine,Gary Johnson,167
Blaine,Barack Obama,5992
Blaine,Mitt Romney,3939
Blaine,Jill Stein,48
Boise,"Ross C. ""Rocky"" Anderson",11
Boise,Virgil H. Goode,11
Boise,Gary Johnson,63
Boise,Barack Obama,1053
Boise,Mitt Romney,2284
Boise,Jill Stein,23
Bonner,"Ross C. ""Rocky"" Anderson",70
Bonner,Virgil H. Goode,100
Bonner,Gary Johnson,322
Bonner,Barack Obama,6500
Bonner,Mitt Romney,11367
Bonner,Jill Stein,177
Bonneville,"Ross C. ""Rocky"" Anderson",157
Bonneville,Virgil H. Goode,106
Bonneville,Gary Johnson,536
Bonneville,Barack Obama,9903
Bonneville,Mitt Romney,32276
Bonneville,Jill Stein,235
Boundary,"Ross C. ""Rocky"" Anderson",22
Boundary,Virgil H. Goode,34
Boundary,Gary Johnson,77
Boundary,Barack Obama,1225
Boundary,Mitt Romney,3138
Boundary,Jill Stein,48
Butte,"Ross C. ""Rocky"" Anderson",7
Butte,Virgil H. Goode,4
Butte,Gary Johnson,8
Butte,Barack Obama,258
Butte,Mitt Romney,1001
Butte,Jill Stein,8
Camas,"Ross C. ""Rocky"" Anderson",4
Camas,Virgil H. Goode,1
Camas,Gary Johnson,7
Camas,Barack Obama,159
Camas,Mitt Romney,402
Camas,Jill Stein,5
Canyon,"Ross C. ""Rocky"" Anderson",242
Canyon,Virgil H. Goode,228
Canyon,Gary Johnson,945
Canyon,Barack Obama,19866
Canyon,Mitt Romney,44369
Canyon,Jill Stein,440
Caribou,"Ross C. ""Rocky"" Anderson",18
Caribou,Virgil H. Goode,11
Caribou,Gary Johnson,21
Caribou,Barack Obama,386
Caribou,Mitt Romney,2608
Caribou,Jill Stein,8
Cassia,"Ross C. ""Rocky"" Anderson",25
Cassia,Virgil H. Goode,22
Cassia,Gary Johnson,70
Cassia,Barack Obama,1098
Cassia,Mitt Romney,7154
Cassia,Jill Stein,27
Clark,"Ross C. ""Rocky"" Anderson",3
Clark,Virgil H. Goode,3
Clark,Gary Johnson,16
Clark,Barack Obama,66
Clark,Mitt Romney,235
Clark,Jill Stein,5
Clearwater,"Ross C. ""Rocky"" Anderson",28
Clearwater,Virgil H. Goode,18
Clearwater,Gary Johnson,44
Clearwater,Barack Obama,1032
Clearwater,Mitt Romney,2541
Clearwater,Jill Stein,33
Custer,"Ross C. ""Rocky"" Anderson",16
Custer,Virgil H. Goode,9
Custer,Gary Johnson,25
Custer,Barack Obama,530
Custer,Mitt Romney,1744
Custer,Jill Stein,28
Elmore,"Ross C. ""Rocky"" Anderson",40
Elmore,Virgil H. Goode,33
Elmore,Gary Johnson,124
Elmore,Barack Obama,2513
Elmore,Mitt Romney,5227
Elmore,Jill Stein,64
Franklin,"Ross C. ""Rocky"" Anderson",15
Franklin,Virgil H. Goode,17
Franklin,Gary Johnson,41
Franklin,Barack Obama,325
Franklin,Mitt Romney,5195
Franklin,Jill Stein,7
Fremont,"Ross C. ""Rocky"" Anderson",19
Fremont,Virgil H. Goode,12
Fremont,Gary Johnson,34
Fremont,Barack Obama,810
Fremont,Mitt Romney,4907
Fremont,Jill Stein,20
Gem,"Ross C. ""Rocky"" Anderson",44
Gem,Virgil H. Goode,38
Gem,Gary Johnson,93
Gem,Barack Obama,1957
Gem,Mitt Romney,5311
Gem,Jill Stein,47
Gooding,"Ross C. ""Rocky"" Anderson",25
Gooding,Virgil H. Goode,21
Gooding,Gary Johnson,51
Gooding,Barack Obama,1287
Gooding,Mitt Romney,3696
Gooding,Jill Stein,38
Idaho,"Ross C. ""Rocky"" Anderson",24
Idaho,Virgil H. Goode,59
Idaho,Gary Johnson,76
Idaho,Barack Obama,1708
Idaho,Mitt Romney,5921
Idaho,Jill Stein,49
Jefferson,"Ross C. ""Rocky"" Anderson",23
Jefferson,Virgil H. Goode,23
Jefferson,Gary Johnson,97
Jefferson,Barack Obama,1303
Jefferson,Mitt Romney,9895
Jefferson,Jill Stein,40
Jerome,"Ross C. ""Rocky"" Anderson",27
Jerome,Virgil H. Goode,25
Jerome,Gary Johnson,77
Jerome,Barack Obama,1699
Jerome,Mitt Romney,4804
Jerome,Jill Stein,49
Kootenai,"Ross C. ""Rocky"" Anderson",162
Kootenai,Virgil H. Goode,288
Kootenai,Gary Johnson,839
Kootenai,Barack Obama,18851
Kootenai,Mitt Romney,39381
Kootenai,Jill Stein,307
Latah,"Ross C. ""Rocky"" Anderson",82
Latah,Virgil H. Goode,140
Latah,Gary Johnson,453
Latah,Barack Obama,8306
Latah,Mitt Romney,7589
Latah,Jill Stein,189
Lemhi,"Ross C. ""Rocky"" Anderson",22
Lemhi,Virgil H. Goode,18
Lemhi,Gary Johnson,41
Lemhi,Barack Obama,960
Lemhi,Mitt Romney,3029
Lemhi,Jill Stein,40
Lewis,"Ross C. ""Rocky"" Anderson",6
Lewis,Virgil H. Goode,13
Lewis,Gary Johnson,15
Lewis,Barack Obama,396
Lewis,Mitt Romney,1173
Lewis,Jill Stein,11
Lincoln,"Ross C. ""Rocky"" Anderson",7
Lincoln,Virgil H. Goode,9
Lincoln,Gary Johnson,17
Lincoln,Barack Obama,469
Lincoln,Mitt Romney,1141
Lincoln,Jill Stein,19
Madison,"Ross C. ""Rocky"" Anderson",12
Madison,Virgil H. Goode,13
Madison,Gary Johnson,84
Madison,Barack Obama,832
Madison,Mitt Romney,13445
Madison,Jill Stein,26
Minidoka,"Ross C. ""Rocky"" Anderson",34
Minidoka,Virgil H. Goode,16
Minidoka,Gary Johnson,55
Minidoka,Barack Obama,1390
Minidoka,Mitt Romney,5442
Minidoka,Jill Stein,36
Nez Perce,"Ross C. ""Rocky"" Anderson",82
Nez Perce,Virgil H. Goode,47
