county,candidate,votes
ADAMS,STEIN,165
ALEXANDER,STEIN,20
BOND,STEIN,60
BOONE,STEIN,98
BROWN,STEIN,24
BUREAU,STEIN,106
CALHOUN,STEIN,27
CARROLL,STEIN,45
CASS,STEIN,46
CHAMPAIGN,STEIN,897
CHRISTIAN,STEIN,117
CLARK,STEIN,32
CLAY,STEIN,38
CLINTON,STEIN,100
COLES,STEIN,159
COOK,STEIN,11332
CRAWFORD,STEIN,54
CUMBERLAND,STEIN,48
DeKALB,STEIN,310
DE WITT,STEIN,65
DOUGLAS,STEIN,40
DuPAGE,STEIN,2011
EDGAR,STEIN,46
EDWARDS,STEIN,22
EFFINGHAM,STEIN,93
FAYETTE,STEIN,48
FORD,STEIN,32
FRANKLIN,STEIN,152
FULTON,STEIN,130
GALLATIN,STEIN,23
GREENE,STEIN,38
GRUNDY,STEIN,128
HAMILTON,STEIN,40
HANCOCK,STEIN,59
HARDIN,STEIN,22
HENDERSON,STEIN,11
HENRY,STEIN,117
IROQUOIS,STEIN,75
JACKSON,STEIN,406
JASPER,STEIN,30
JEFFERSON,STEIN,147
JERSEY,STEIN,80
JO DAVIESS,STEIN,57
JOHNSON,STEIN,49
KANE,STEIN,875
KANKAKEE,STEIN,236
KENDALL,STEIN,195
KNOX,STEIN,134
LAKE,STEIN,1133
LaSALLE,STEIN,273
LAWRENCE,STEIN,33
LEE,STEIN,101
LIVINGSTON,STEIN,85
LOGAN,STEIN,107
MACON,STEIN,255
MACOUPIN,STEIN,174
MADISON,STEIN,950
MARION,STEIN,77
MARSHALL,STEIN,38
MASON,STEIN,57
MASSAC,STEIN,31
McDONOUGH,STEIN,139
McHENRY,STEIN,735
McLEAN,STEIN,483
MENARD,STEIN,36
MERCER,STEIN,41
MONROE,STEIN,92
MONTGOMERY,STEIN,106
MORGAN,STEIN,112
MOULTRIE,STEIN,48
OGLE,STEIN,117
PEORIA,STEIN,478
PERRY,STEIN,105
PIATT,STEIN,63
PIKE,STEIN,56
POPE,STEIN,25
PULASKI,STEIN,19
PUTNAM,STEIN,34
RANDOLPH,STEIN,116
RICHLAND,STEIN,34
ROCK ISLAND,STEIN,265
SALINE,STEIN,87
SANGAMON,STEIN,666
SCHUYLER,STEIN,32
SCOTT,STEIN,26
SHELBY,STEIN,67
ST. CLAIR,STEIN,658
STARK,STEIN,13
STEPHENSON,STEIN,95
TAZEWELL,STEIN,368
UNION,STEIN,89
VERMILION,STEIN,176
WABASH,STEIN,19
WARREN,STEIN,44
WASHINGTON,STEIN,64
WAYNE,STEIN,35
WHITE,STEIN,33
WHITESIDE,STEIN,129
