county,candidate,votes
Adams,Obama,3806
Adams,Johnson,262
Adams,Romney,8937
Adams,Goode,2
Adams,Knill,0
Adams,Durham,0
Allen,Obama,60036
Allen,Johnson,2197
Allen,Romney,84613
Allen,Goode,16
Allen,Knill,0
Allen,Durham,0
Bartholomew,Obama,10625
Bartholomew,Johnson,608
Bartholomew,Romney,18083
Bartholomew,Goode,4
Bartholomew,Knill,0
Bartholomew,Durham,0
Benton,Obama,1159
Benton,Johnson,89
Benton,Romney,2329
Benton,Goode,0
Benton,Knill,0
Benton,Durham,0
Blackford,Obama,1927
Blackford,Johnson,103
Blackford,Romney,2711
Blackford,Goode,0
Blackford,Knill,0
Blackford,Durham,0
Boone,Obama,8328
Boone,Johnson,593
Boone,Romney,18808
Boone,Goode,3
Boone,Knill,0
Boone,Durham,0
Brown,Obama,3060
Brown,Johnson,204
Brown,Romney,4332
Brown,Goode,1
Brown,Knill,0
Brown,Durham,0
Carroll,Obama,2635
Carroll,Johnson,169
Carroll,Romney,4999
Carroll,Goode,1
Carroll,Knill,0
Carroll,Durham,0
Cass,Obama,5371
Cass,Johnson,341
Cass,Romney,8443
Cass,Goode,0
Cass,Knill,0
Cass,Durham,0
Clark,Obama,20807
Clark,Johnson,866
Clark,Romney,25450
Clark,Goode,7
Clark,Knill,6
Clark,Durham,0
Clay,Obama,3460
Clay,Johnson,227
Clay,Romney,7096
Clay,Goode,0
Clay,Knill,0
Clay,Durham,0
Clinton,Obama,3308
Clinton,Johnson,234
Clinton,Romney,6338
Clinton,Goode,2
Clinton,Knill,0
Clinton,Durham,0
Crawford,Obama,2041
Crawford,Johnson,128
Crawford,Romney,2421
Crawford,Goode,0
Crawford,Knill,0
Crawford,Durham,0
Daviess,Obama,2437
Daviess,Johnson,171
Daviess,Romney,7638
Daviess,Goode,1
Daviess,Knill,0
Daviess,Durham,0
Dearborn,Obama,6528
Dearborn,Johnson,434
Dearborn,Romney,15394
Dearborn,Goode,0
Dearborn,Knill,0
Dearborn,Durham,0
Decatur,Obama,2941
Decatur,Johnson,243
Decatur,Romney,7119
Decatur,Goode,0
Decatur,Knill,0
Decatur,Durham,0
DeKalb,Obama,5419
DeKalb,Johnson,309
DeKalb,Romney,10587
DeKalb,Goode,4
DeKalb,Knill,0
DeKalb,Durham,0
Delaware,Obama,22654
Delaware,Johnson,1063
Delaware,Romney,21251
Delaware,Goode,0
Delaware,Knill,0
Delaware,Durham,0
Dubois,Obama,6522
Dubois,Johnson,366
Dubois,Romney,11654
Dubois,Goode,0
Dubois,Knill,0
Dubois,Durham,0
Elkhart,Obama,24399
Elkhart,Johnson,1044
Elkhart,Romney,42378
Elkhart,Goode,9
Elkhart,Knill,0
Elkhart,Durham,0
Fayette,Obama,3555
Fayette,Johnson,219
Fayette,Romney,5045
Fayette,Goode,18
Fayette,Knill,0
Fayette,Durham,0
Floyd,Obama,14812
Floyd,Johnson,611
Floyd,Romney,19878
Floyd,Goode,2
Floyd,Knill,0
Floyd,Durham,0
Fountain,Obama,2237
Fountain,Johnson,210
Fountain,Romney,4664
Fountain,Goode,0
Fountain,Knill,0
Fountain,Durham,0
Franklin,Obama,2909
Franklin,Johnson,221
