county,candidate,votes
ALLEN,OBAMA (DEMOCRATIC),1869
ALLEN,JOHNSON (LIBERTARIAN),75
ALLEN,BALDWIN (REFORM),43
ALLEN,ROMNEY (REPUBLICAN),3316
ALLEN,ANDERSON (WRITE-IN),1
ALLEN,BARR (WRITE-IN),1
ALLEN,GOODE (WRITE-IN),4
ALLEN,STEIN (WRITE-IN),1
ANDERSON,OBAMA (DEMOCRATIC),944
ANDERSON,JOHNSON (LIBERTARIAN),74
ANDERSON,BALDWIN (REFORM),18
ANDERSON,ROMNEY (REPUBLICAN),2276
ANDERSON,GOODE (WRITE-IN),2
ANDERSON,STEIN (WRITE-IN),1
ATCHISON,OBAMA (DEMOCRATIC),2567
ATCHISON,JOHNSON (LIBERTARIAN),148
ATCHISON,BALDWIN (REFORM),35
ATCHISON,ROMNEY (REPUBLICAN),3917
ATCHISON,ANDERSON (WRITE-IN),3
ATCHISON,GOODE (WRITE-IN),1
ATCHISON,HOEFLING (WRITE-IN),1
ATCHISON,STEIN (WRITE-IN),2
BARBER,OBAMA (DEMOCRATIC),482
BARBER,JOHNSON (LIBERTARIAN),42
BARBER,BALDWIN (REFORM),16
BARBER,ROMNEY (REPUBLICAN),1772
BARBER,STEIN (WRITE-IN),2
BARTON,OBAMA (DEMOCRATIC),2297
BARTON,JOHNSON (LIBERTARIAN),123
BARTON,BALDWIN (REFORM),46
BARTON,ROMNEY (REPUBLICAN),7874
BARTON,STEIN (WRITE-IN),1
BOURBON,OBAMA (DEMOCRATIC),1996
BOURBON,JOHNSON (LIBERTARIAN),110
BOURBON,BALDWIN (REFORM),40
BOURBON,ROMNEY (REPUBLICAN),4102
BOURBON,GOODE (WRITE-IN),6
BROWN,OBAMA (DEMOCRATIC),1076
BROWN,JOHNSON (LIBERTARIAN),64
BROWN,BALDWIN (REFORM),24
BROWN,ROMNEY (REPUBLICAN),2829
BUTLER,OBAMA (DEMOCRATIC),7282
BUTLER,JOHNSON (LIBERTARIAN),459
BUTLER,BALDWIN (REFORM),119
BUTLER,ROMNEY (REPUBLICAN),18157
BUTLER,ANDERSON (WRITE-IN),3
BUTLER,BARNETT (WRITE-IN),2
BUTLER,BARR (WRITE-IN),2
BUTLER,BUSH (WRITE-IN),44
BUTLER,GOODE (WRITE-IN),11
BUTLER,HOEFLING (WRITE-IN),1
BUTLER,STEIN (WRITE-IN),5
CHASE,OBAMA (DEMOCRATIC),358
CHASE,JOHNSON (LIBERTARIAN),27
CHASE,BALDWIN (REFORM),8
CHASE,ROMNEY (REPUBLICAN),875
CHASE,ANDERSON (WRITE-IN),1
CHASE,GOODE (WRITE-IN),1
CHASE,STEIN (WRITE-IN),1
CHAUTAUQUA,OBAMA (DEMOCRATIC),280
CHAUTAUQUA,JOHNSON (LIBERTARIAN),34
CHAUTAUQUA,BALDWIN (REFORM),12
CHAUTAUQUA,ROMNEY (REPUBLICAN),1304
CHEROKEE,OBAMA (DEMOCRATIC),2930
CHEROKEE,JOHNSON (LIBERTARIAN),145
CHEROKEE,BALDWIN (REFORM),40
CHEROKEE,ROMNEY (REPUBLICAN),5456
CHEYENNE,OBAMA (DEMOCRATIC),233
CHEYENNE,JOHNSON (LIBERTARIAN),25
CHEYENNE,BALDWIN (REFORM),9
CHEYENNE,ROMNEY (REPUBLICAN),1159
CLARK,OBAMA (DEMOCRATIC),174
CLARK,JOHNSON (LIBERTARIAN),24
CLARK,BALDWIN (REFORM),14
CLARK,ROMNEY (REPUBLICAN),805
CLAY,OBAMA (DEMOCRATIC),834
CLAY,JOHNSON (LIBERTARIAN),45
CLAY,BALDWIN (REFORM),19
CLAY,ROMNEY (REPUBLICAN),2788
CLOUD,OBAMA (DEMOCRATIC),974
CLOUD,JOHNSON (LIBERTARIAN),106
CLOUD,BALDWIN (REFORM),20
CLOUD,ROMNEY (REPUBLICAN),2954
CLOUD,BARR (WRITE-IN),1
CLOUD,STEIN (WRITE-IN),3
COFFEY,OBAMA (DEMOCRATIC),898
COFFEY,JOHNSON (LIBERTARIAN),81
COFFEY,BALDWIN (REFORM),20
COFFEY,ROMNEY (REPUBLICAN),2903
COFFEY,GOODE (WRITE-IN),3
COFFEY,STEIN (WRITE-IN),1
COMANCHE,OBAMA (DEMOCRATIC),143
COMANCHE,JOHNSON (LIBERTARIAN),16
COMANCHE,BALDWIN (REFORM),2
COMANCHE,ROMNEY (REPUBLICAN),767
COWLEY,OBAMA (DEMOCRATIC),4319
COWLEY,JOHNSON (LIBERTARIAN),225
COWLEY,BALDWIN (REFORM),80
COWLEY,ROMNEY (REPUBLICAN),8081
COWLEY,GOODE (WRITE-IN),2
COWLEY,STEIN (WRITE-IN),3
CRAWFORD,OBAMA (DEMOCRATIC),6826
CRAWFORD,JOHNSON (LIBERTARIAN),320
CRAWFORD,BALDWIN (REFORM),71
CRAWFORD,ROMNEY (REPUBLICAN),7708
CRAWFORD,ANDERSON (WRITE-IN),2
CRAWFORD,BARR (WRITE-IN),1
CRAWFORD,GOODE (WRITE-IN),7
CRAWFORD,STEIN (WRITE-IN),10
DECATUR,OBAMA (DEMOCRATIC),266
DECATUR,JOHNSON (LIBERTARIAN),42
DECATUR,BALDWIN (REFORM),6
DECATUR,ROMNEY (REPUBLICAN),1218
DICKINSON,OBAMA (DEMOCRATIC),2020
DICKINSON,JOHNSON (LIBERTARIAN),149
DICKINSON,BALDWIN (REFORM),38
DICKINSON,ROMNEY (REPUBLICAN),5832
DICKINSON,STEIN (WRITE-IN),3
