county,candidate,votes
Adair,ROMNEY,5841
Adair,OBAMA,1660
Adair,JOHNSON,43
Adair,TERRY,33
Adair,STEIN,23
Adair,GOODE,0
Adair,ANDERSON,0
Adair,DUNCAN,0
Adair,HOEFLING,0
Adair,WHITE,0
Adair,DURHAM,0
Adair,HOUSE,0
Adair,KNILL,0
Adair,PROKOPICH,0
Adair,MAGEE,0
Adair,JUDD,0
Allen,ROMNEY,5184
Allen,OBAMA,1808
Allen,JOHNSON,59
Allen,TERRY,28
Allen,STEIN,20
Allen,GOODE,1
Allen,ANDERSON,0
Allen,DUNCAN,0
Allen,HOEFLING,0
Allen,WHITE,0
Allen,DURHAM,0
Allen,HOUSE,0
Allen,KNILL,0
Allen,PROKOPICH,0
Allen,MAGEE,0
Allen,JUDD,0
Anderson,ROMNEY,6822
Anderson,OBAMA,3315
Anderson,JOHNSON,97
Anderson,TERRY,49
Anderson,STEIN,35
Anderson,GOODE,2
Anderson,ANDERSON,0
Anderson,DUNCAN,0
Anderson,HOEFLING,0
Anderson,WHITE,0
Anderson,DURHAM,0
Anderson,HOUSE,0
Anderson,KNILL,0
Anderson,PROKOPICH,0
Anderson,MAGEE,0
Anderson,JUDD,0
Ballard,ROMNEY,2647
Ballard,OBAMA,1189
Ballard,JOHNSON,23
Ballard,TERRY,29
Ballard,STEIN,7
Ballard,GOODE,0
Ballard,ANDERSON,0
Ballard,DUNCAN,0
Ballard,HOEFLING,0
Ballard,WHITE,0
Ballard,DURHAM,0
Ballard,HOUSE,0
Ballard,KNILL,0
Ballard,PROKOPICH,0
Ballard,MAGEE,0
Ballard,JUDD,0
Barren,ROMNEY,10922
Barren,OBAMA,5400
Barren,JOHNSON,123
Barren,TERRY,70
Barren,STEIN,50
Barren,GOODE,2
Barren,ANDERSON,1
Barren,DUNCAN,0
Barren,HOEFLING,0
Barren,WHITE,0
Barren,DURHAM,0
Barren,HOUSE,0
Barren,KNILL,0
Barren,PROKOPICH,0
Barren,MAGEE,0
Barren,JUDD,0
Bath,ROMNEY,2275
Bath,OBAMA,1770
Bath,JOHNSON,32
Bath,TERRY,26
Bath,STEIN,19
Bath,GOODE,0
Bath,ANDERSON,0
Bath,DUNCAN,0
Bath,HOEFLING,0
Bath,WHITE,0
Bath,DURHAM,0
Bath,HOUSE,0
Bath,KNILL,0
Bath,PROKOPICH,0
Bath,MAGEE,0
Bath,JUDD,0
Bell,ROMNEY,7127
Bell,OBAMA,2224
Bell,JOHNSON,61
Bell,TERRY,47
Bell,STEIN,23
Bell,GOODE,0
Bell,ANDERSON,0
Bell,DUNCAN,0
Bell,HOEFLING,0
Bell,WHITE,0
Bell,DURHAM,0
Bell,HOUSE,0
Bell,KNILL,0
Bell,PROKOPICH,0
Bell,MAGEE,0
Bell,JUDD,0
Boone,ROMNEY,35922
Boone,OBAMA,15629
Boone,JOHNSON,669
Boone,TERRY,143
Boone,STEIN,135
Boone,GOODE,10
Boone,ANDERSON,2
Boone,DUNCAN,0
Boone,HOEFLING,1
Boone,WHITE,0
Boone,DURHAM,0
Boone,HOUSE,0
Boone,KNILL,0
Boone,PROKOPICH,0
Boone,MAGEE,0
Boone,JUDD,0
Bourbon,ROMNEY,4692
Bourbon,OBAMA,3075
Bourbon,JOHNSON,62
Bourbon,TERRY,41
Bourbon,STEIN,39
Bourbon,GOODE,0
Bourbon,ANDERSON,1
Bourbon,DUNCAN,13
Bourbon,HOEFLING,0
Bourbon,WHITE,0
Bourbon,DURHAM,0
Bourbon,HOUSE,0
Bourbon,KNILL,0
Bourbon,PROKOPICH,0
Bourbon,MAGEE,0
Bourbon,JUDD,0
Boyd,ROMNEY,10884
Boyd,OBAMA,7776
Boyd,JOHNSON,183
Boyd,TERRY,133
Boyd,STEIN,65
Boyd,GOODE,7
Boyd,ANDERSON,0
Boyd,DUNCAN,0
Boyd,HOEFLING,1
Boyd,WHITE,0
Boyd,DURHAM,0
Boyd,HOUSE,0
Boyd,KNILL,0
Boyd,PROKOPICH,0
Boyd,MAGEE,0
Boyd,JUDD,0
Boyle,ROMNEY,7703
Boyle,OBAMA,4471
Boyle,JOHNSON,113
Boyle,TERRY,41
Boyle,STEIN,40
Boyle,GOODE,0
Boyle,ANDERSON,0
Boyle,DUNCAN,0
Boyle,HOEFLING,5
Boyle,WHITE,0
Boyle,DURHAM,0
Boyle,HOUSE,0
Boyle,KNILL,0
Boyle,PROKOPICH,0
Boyle,MAGEE,0
Boyle,JUDD,0
Bracken,ROMNEY,2029
Bracken,OBAMA,1147
Bracken,JOHNSON,24
Bracken,TERRY,21
Bracken,STEIN,9
Bracken,GOODE,2
Bracken,ANDERSON,0
Bracken,DUNCAN,0
Bracken,HOEFLING,0
Bracken,WHITE,0
Bracken,DURHAM,0
Bracken,HOUSE,0
Bracken,KNILL,0
Bracken,PROKOPICH,0
Bracken,MAGEE,0
Bracken,JUDD,0
Breathitt,ROMNEY,3318
Breathitt,OBAMA,1562
Breathitt,JOHNSON,59
Breathitt,TERRY,47
Breathitt,STEIN,22
Breathitt,GOODE,0
Breathitt,ANDERSON,0
Breathitt,DUNCAN,0
Breathitt,HOEFLING,0
Breathitt,WHITE,0
Breathitt,DURHAM,0
Breathitt,HOUSE,0
Breathitt,KNILL,0
Breathitt,PROKOPICH,0
Breathitt,MAGEE,0
Breathitt,JUDD,0
Breckinridge,ROMNEY,5025
Breckinridge,OBAMA,2825
Breckinridge,JOHNSON,50
Breckinridge,TERRY,42
Breckinridge,STEIN,25
Breckinridge,GOODE,2
Breckinridge,ANDERSON,0
Breckinridge,DUNCAN,0
Breckinridge,HOEFLING,0
Breckinridge,WHITE,0
Breckinridge,DURHAM,0
Breckinridge,HOUSE,0
Breckinridge,KNILL,0
Breckinridge,PROKOPICH,0
Breckinridge,MAGEE,0
Breckinridge,JUDD,0
Bullitt,ROMNEY,21306
Bullitt,OBAMA,9971
Bullitt,JOHNSON,307
Bullitt,TERRY,114
Bullitt,STEIN,77
Bullitt,GOODE,3
Bullitt,ANDERSON,1
Bullitt,DUNCAN,0
Bullitt,HOEFLING,0
Bullitt,WHITE,0
Bullitt,DURHAM,0
Bullitt,HOUSE,0
Bullitt,KNILL,0
Bullitt,PROKOPICH,0
Bullitt,MAGEE,0
Bullitt,JUDD,0
Butler,ROMNEY,3716
Butler,OBAMA,1293
Butler,JOHNSON,30
Butler,TERRY,13
Butler,STEIN,6
Butler,GOODE,2
Butler,ANDERSON,0
Butler,DUNCAN,0
Butler,HOEFLING,0
Butler,WHITE,0
Butler,DURHAM,0
Butler,HOUSE,0
Butler,KNILL,0
Butler,PROKOPICH,0
Butler,MAGEE,0
Butler,JUDD,0
Caldwell,ROMNEY,3904
Caldwell,OBAMA,1852
Caldwell,JOHNSON,46
Caldwell,TERRY,38
Caldwell,STEIN,20
Caldwell,GOODE,0
Caldwell,ANDERSON,0
Caldwell,DUNCAN,0
Caldwell,HOEFLING,0
Caldwell,WHITE,0
Caldwell,DURHAM,0
Caldwell,HOUSE,0
Caldwell,KNILL,0
Caldwell,PROKOPICH,0
Caldwell,MAGEE,0
Caldwell,JUDD,0
Calloway,ROMNEY,9440
Calloway,OBAMA,5317
Calloway,JOHNSON,186
Calloway,TERRY,55
Calloway,STEIN,71
Calloway,GOODE,0
Calloway,ANDERSON,0
