county,candidate,votes
Acadia,"Barack Obama, Joe Biden Democratic",6560
Acadia,"Jill Stein, Cheri Honkala Green",101
Acadia,"Gary Johnson, James P. Gray Libertarian",144
Acadia,"Mitt Romney, Paul Ryan Republican",19931
Acadia,"Virgil Goode, James Clymer Constitution",26
Acadia,"Ross Anderson, Luis Rodriguez Justice",23
Acadia,"Jack Fellure, Toby Davis Prohibition",8
Acadia,"Peta Lindsay, Yari Osorio Socialism and Liberation",9
Acadia,"Jerry White, Phyllis Scherrer Socialist Equality",7
Acadia,"James Harris, Alyson Kennedy Socialist Workers",2
Acadia,"Sheila Tittle, Matthew Turner We The People",24
Allen,"Barack Obama, Joe Biden Democratic",2617
Allen,"Jill Stein, Cheri Honkala Green",52
Allen,"Gary Johnson, James P. Gray Libertarian",73
Allen,"Mitt Romney, Paul Ryan Republican",6495
Allen,"Virgil Goode, James Clymer Constitution",17
Allen,"Ross Anderson, Luis Rodriguez Justice",15
Allen,"Jack Fellure, Toby Davis Prohibition",3
Allen,"Peta Lindsay, Yari Osorio Socialism and Liberation",1
Allen,"Jerry White, Phyllis Scherrer Socialist Equality",5
Allen,"James Harris, Alyson Kennedy Socialist Workers",2
Allen,"Sheila Tittle, Matthew Turner We The People",27
Ascension,"Barack Obama, Joe Biden Democratic",16349
Ascension,"Jill Stein, Cheri Honkala Green",123
Ascension,"Gary Johnson, James P. Gray Libertarian",538
Ascension,"Mitt Romney, Paul Ryan Republican",33856
Ascension,"Virgil Goode, James Clymer Constitution",53
Ascension,"Ross Anderson, Luis Rodriguez Justice",44
Ascension,"Jack Fellure, Toby Davis Prohibition",20
Ascension,"Peta Lindsay, Yari Osorio Socialism and Liberation",11
Ascension,"Jerry White, Phyllis Scherrer Socialist Equality",9
Ascension,"James Harris, Alyson Kennedy Socialist Workers",10
Ascension,"Sheila Tittle, Matthew Turner We The People",60
Assumption,"Barack Obama, Joe Biden Democratic",4754
Assumption,"Jill Stein, Cheri Honkala Green",34
Assumption,"Gary Johnson, James P. Gray Libertarian",70
Assumption,"Mitt Romney, Paul Ryan Republican",6083
Assumption,"Virgil Goode, James Clymer Constitution",16
Assumption,"Ross Anderson, Luis Rodriguez Justice",5
Assumption,"Jack Fellure, Toby Davis Prohibition",1
Assumption,"Peta Lindsay, Yari Osorio Socialism and Liberation",5
Assumption,"Jerry White, Phyllis Scherrer Socialist Equality",6
Assumption,"James Harris, Alyson Kennedy Socialist Workers",2
Assumption,"Sheila Tittle, Matthew Turner We The People",16
Avoyelles,"Barack Obama, Joe Biden Democratic",6077
Avoyelles,"Jill Stein, Cheri Honkala Green",80
Avoyelles,"Gary Johnson, James P. Gray Libertarian",98
Avoyelles,"Mitt Romney, Paul Ryan Republican",10670
Avoyelles,"Virgil Goode, James Clymer Constitution",22
Avoyelles,"Ross Anderson, Luis Rodriguez Justice",18
Avoyelles,"Jack Fellure, Toby Davis Prohibition",10
Avoyelles,"Peta Lindsay, Yari Osorio Socialism and Liberation",4
