county,candidate,party,write-in,votes
Allegany,Obama/ Biden,Democratic,,9805
Allegany,Romney/ Ryan,Republican,,19230
Allegany,Johnson/ Gray,Libertarian,,448
Allegany,Stein/ Honkala,Green,,256
Allegany,Briscoe/ Ogle,Democratic, (Write In),0
Allegany,Dennis  Knill,Democratic, (Write In),0
Anne Arundel,Obama/ Biden,Democratic,,126635
Anne Arundel,Romney/ Ryan,Republican,,126832
Anne Arundel,Johnson/ Gray,Libertarian,,3765
Anne Arundel,Stein/ Honkala,Green,,1727
Anne Arundel,Briscoe/ Ogle,Democratic, (Write In),1
Anne Arundel,Dennis  Knill,Democratic, (Write In),0
Baltimore City,Obama/ Biden,Democratic,,221478
Baltimore City,Romney/ Ryan,Republican,,28171
Baltimore City,Johnson/ Gray,Libertarian,,1924
Baltimore City,Stein/ Honkala,Green,,1737
Baltimore City,Briscoe/ Ogle,Democratic, (Write In),3
Baltimore City,Dennis  Knill,Democratic, (Write In),0
Baltimore,Obama/ Biden,Democratic,,220322
Baltimore,Romney/ Ryan,Republican,,154908
Baltimore,Johnson/ Gray,Libertarian,,5051
Baltimore,Stein/ Honkala,Green,,2750
Baltimore,Briscoe/ Ogle,Democratic, (Write In),2
Baltimore,Dennis  Knill,Democratic, (Write In),0
Calvert,Obama/ Biden,Democratic,,20529
Calvert,Romney/ Ryan,Republican,,23952
Calvert,Johnson/ Gray,Libertarian,,581
Calvert,Stein/ Honkala,Green,,279
Calvert,Briscoe/ Ogle,Democratic, (Write In),0
Calvert,Dennis  Knill,Democratic, (Write In),0
Caroline,Obama/ Biden,Democratic,,4970
Caroline,Romney/ Ryan,Republican,,8098
Caroline,Johnson/ Gray,Libertarian,,182
Caroline,Stein/ Honkala,Green,,64
Caroline,Briscoe/ Ogle,Democratic, (Write In),0
Caroline,Dennis  Knill,Democratic, (Write In),0
Carroll,Obama/ Biden,Democratic,,27939
Carroll,Romney/ Ryan,Republican,,56761
Carroll,Johnson/ Gray,Libertarian,,1614
Carroll,Stein/ Honkala,Green,,674
Carroll,Briscoe/ Ogle,Democratic, (Write In),1
Carroll,Dennis  Knill,Democratic, (Write In),2
Cecil,Obama/ Biden,Democratic,,16557
Cecil,Romney/ Ryan,Republican,,24806
Cecil,Johnson/ Gray,Libertarian,,643
Cecil,Stein/ Honkala,Green,,290
Cecil,Briscoe/ Ogle,Democratic, (Write In),1
Cecil,Dennis  Knill,Democratic, (Write In),0
Charles,Obama/ Biden,Democratic,,48774
Charles,Romney/ Ryan,Republican,,25178
Charles,Johnson/ Gray,Libertarian,,657
Charles,Stein/ Honkala,Green,,332
Charles,Briscoe/ Ogle,Democratic, (Write In),0
Charles,Dennis  Knill,Democratic, (Write In),0
Dorchester,Obama/ Biden,Democratic,,7257
Dorchester,Romney/ Ryan,Republican,,7976
Dorchester,Johnson/ Gray,Libertarian,,116
Dorchester,Stein/ Honkala,Green,,68
Dorchester,Briscoe/ Ogle,Democratic, (Write In),0
Dorchester,Dennis  Knill,Democratic, (Write In),0
Frederick,Obama/ Biden,Democratic,,55146
Frederick,Romney/ Ryan,Republican,,58798
Frederick,Johnson/ Gray,Libertarian,,1819
Frederick,Stein/ Honkala,Green,,831
Frederick,Briscoe/ Ogle,Democratic, (Write In),1
Frederick,Dennis  Knill,Democratic, (Write In),0
Garrett,Obama/ Biden,Democratic,,3124
Garrett,Romney/ Ryan,Republican,,9743
Garrett,Johnson/ Gray,Libertarian,,146
Garrett,Stein/ Honkala,Green,,94
Garrett,Briscoe/ Ogle,Democratic, (Write In),0
Garrett,Dennis  Knill,Democratic, (Write In),0
Harford,Obama/ Biden,Democratic,,49729
Harford,Romney/ Ryan,Republican,,72911
Harford,Johnson/ Gray,Libertarian,,1856
Harford,Stein/ Honkala,Green,,850
Harford,Briscoe/ Ogle,Democratic, (Write In),0
Harford,Dennis  Knill,Democratic, (Write In),0
Howard,Obama/ Biden,Democratic,,91393
Howard,Romney/ Ryan,Republican,,57758
Howard,Johnson/ Gray,Libertarian,,2242
Howard,Stein/ Honkala,Green,,1092
Howard,Briscoe/ Ogle,Democratic, (Write In),0
Howard,Dennis  Knill,Democratic, (Write In),0
Kent,Obama/ Biden,Democratic,,4842
Kent,Romney/ Ryan,Republican,,4870
Kent,Johnson/ Gray,Libertarian,,105
Kent,Stein/ Honkala,Green,,60
Kent,Briscoe/ Ogle,Democratic, (Write In),0
Kent,Dennis  Knill,Democratic, (Write In),0
Montgomery,Obama/ Biden,Democratic,,323400
Montgomery,Romney/ Ryan,Republican,,123353
Montgomery,Johnson/ Gray,Libertarian,,4382
Montgomery,Stein/ Honkala,Green,,3282
Montgomery,Briscoe/ Ogle,Democratic, (Write In),1
Montgomery,Dennis  Knill,Democratic, (Write In),0
Prince George's,Obama/ Biden,Democratic,,347938
Prince George's,Romney/ Ryan,Republican,,35734
Prince George's,Johnson/ Gray,Libertarian,,1732
Prince George's,Stein/ Honkala,Green,,1332
Prince George's,Briscoe/ Ogle,Democratic, (Write In),4
Prince George's,Dennis  Knill,Democratic, (Write In),0
Queen Anne's,Obama/ Biden,Democratic,,8556
Queen Anne's,Romney/ Ryan,Republican,,15823
Queen Anne's,Johnson/ Gray,Libertarian,,282
Queen Anne's,Stein/ Honkala,Green,,126
Queen Anne's,Briscoe/ Ogle,Democratic, (Write In),1
Queen Anne's,Dennis  Knill,Democratic, (Write In),0
St. Mary's,Obama/ Biden,Democratic,,19711
St. Mary's,Romney/ Ryan,Republican,,26797
St. Mary's,Johnson/ Gray,Libertarian,,769
St. Mary's,Stein/ Honkala,Green,,328
St. Mary's,Briscoe/ Ogle,Democratic, (Write In),1
St. Mary's,Dennis  Knill,Democratic, (Write In),0
Somerset,Obama/ Biden,Democratic,,5240
Somerset,Romney/ Ryan,Republican,,5042
Somerset,Johnson/ Gray,Libertarian,,71
Somerset,Stein/ Honkala,Green,,33
Somerset,Briscoe/ Ogle,Democratic, (Write In),1
Somerset,Dennis  Knill,Democratic, (Write In),0
Talbot,Obama/ Biden,Democratic,,8808
Talbot,Romney/ Ryan,Republican,,11339
Talbot,Johnson/ Gray,Libertarian,,187
Talbot,Stein/ Honkala,Green,,76
Talbot,Briscoe/ Ogle,Democratic, (Write In),1
Talbot,Dennis  Knill,Democratic, (Write In),0
Washington,Obama/ Biden,Democratic,,25042
Washington,Romney/ Ryan,Republican,,36074
Washington,Johnson/ Gray,Libertarian,,870
Washington,Stein/ Honkala,Green,,480
Washington,Briscoe/ Ogle,Democratic, (Write In),0
Washington,Dennis  Knill,Democratic, (Write In),0
Wicomico,Obama/ Biden,Democratic,,19635
Wicomico,Romney/ Ryan,Republican,,21764
Wicomico,Johnson/ Gray,Libertarian,,487
Wicomico,Stein/ Honkala,Green,,221
Wicomico,Briscoe/ Ogle,Democratic, (Write In),0
Wicomico,Dennis  Knill,Democratic, (Write In),0
Worcester,Obama/ Biden,Democratic,,11014
Worcester,Romney/ Ryan,Republican,,15951
Worcester,Johnson/ Gray,Libertarian,,266
Worcester,Stein/ Honkala,Green,,128
Worcester,Briscoe/ Ogle,Democratic, (Write In),0
Worcester,Dennis  Knill,Democratic, (Write In),0
Allegany,Matthew  Lydick,Republican, (Write In),0
Allegany,Barbara A. Prokopich,Republican, (Write In),0
Allegany,Santa  Claus,Independent, (Write In),10
Allegany,Richard  Duncan,Independent, (Write In),0
Allegany,Bruce  Mlynski,Independent, (Write In),0
Allegany,Kevin M. Thorne,Independent, (Write In),0
Anne Arundel,Matthew  Lydick,Republican, (Write In),2
Anne Arundel,Barbara A. Prokopich,Republican, (Write In),2
Anne Arundel,Santa  Claus,Independent, (Write In),96
Anne Arundel,Richard  Duncan,Independent, (Write In),2
Anne Arundel,Bruce  Mlynski,Independent, (Write In),0
Anne Arundel,Kevin M. Thorne,Independent, (Write In),0
Baltimore City,Matthew  Lydick,Republican, (Write In),2
Baltimore City,Barbara A. Prokopich,Republican, (Write In),0
Baltimore City,Santa  Claus,Independent, (Write In),38
Baltimore City,Richard  Duncan,Independent, (Write In),2
Baltimore City,Bruce  Mlynski,Independent, (Write In),0
Baltimore City,Kevin M. Thorne,Independent, (Write In),0
Baltimore,Matthew  Lydick,Republican, (Write In),3
Baltimore,Barbara A. Prokopich,Republican, (Write In),0
Baltimore,Santa  Claus,Independent, (Write In),151
Baltimore,Richard  Duncan,Independent, (Write In),5
Baltimore,Bruce  Mlynski,Independent, (Write In),0
Baltimore,Kevin M. Thorne,Independent, (Write In),0
Calvert,Matthew  Lydick,Republican, (Write In),0
Calvert,Barbara A. Prokopich,Republican, (Write In),0
Calvert,Santa  Claus,Independent, (Write In),20
Calvert,Richard  Duncan,Independent, (Write In),1
Calvert,Bruce  Mlynski,Independent, (Write In),0
Calvert,Kevin M. Thorne,Independent, (Write In),0
Caroline,Matthew  Lydick,Republican, (Write In),0
Caroline,Barbara A. Prokopich,Republican, (Write In),0
Caroline,Santa  Claus,Independent, (Write In),3
Caroline,Richard  Duncan,Independent, (Write In),0
Caroline,Bruce  Mlynski,Independent, (Write In),0
Caroline,Kevin M. Thorne,Independent, (Write In),0
Carroll,Matthew  Lydick,Republican, (Write In),0
Carroll,Barbara A. Prokopich,Republican, (Write In),0
Carroll,Santa  Claus,Independent, (Write In),30
Carroll,Richard  Duncan,Independent, (Write In),0
Carroll,Bruce  Mlynski,Independent, (Write In),0
Carroll,Kevin M. Thorne,Independent, (Write In),0
Cecil,Matthew  Lydick,Republican, (Write In),0
Cecil,Barbara A. Prokopich,Republican, (Write In),0
Cecil,Santa  Claus,Independent, (Write In),12
Cecil,Richard  Duncan,Independent, (Write In),0
Cecil,Bruce  Mlynski,Independent, (Write In),0
Cecil,Kevin M. Thorne,Independent, (Write In),0
Charles,Matthew  Lydick,Republican, (Write In),0
Charles,Barbara A. Prokopich,Republican, (Write In),0
Charles,Santa  Claus,Independent, (Write In),10
Charles,Richard  Duncan,Independent, (Write In),0
Charles,Bruce  Mlynski,Independent, (Write In),0
Charles,Kevin M. Thorne,Independent, (Write In),0
Dorchester,Matthew  Lydick,Republican, (Write In),0
Dorchester,Barbara A. Prokopich,Republican, (Write In),0
Dorchester,Santa  Claus,Independent, (Write In),1
Dorchester,Richard  Duncan,Independent, (Write In),0
Dorchester,Bruce  Mlynski,Independent, (Write In),0
Dorchester,Kevin M. Thorne,Independent, (Write In),0
Frederick,Matthew  Lydick,Republican, (Write In),1
Frederick,Barbara A. Prokopich,Republican, (Write In),0
Frederick,Santa  Claus,Independent, (Write In),40
Frederick,Richard  Duncan,Independent, (Write In),0
Frederick,Bruce  Mlynski,Independent, (Write In),0
Frederick,Kevin M. Thorne,Independent, (Write In),0
Garrett,Matthew  Lydick,Republican, (Write In),0
Garrett,Barbara A. Prokopich,Republican, (Write In),0
Garrett,Santa  Claus,Independent, (Write In),5
Garrett,Richard  Duncan,Independent, (Write In),0
Garrett,Bruce  Mlynski,Independent, (Write In),0
Garrett,Kevin M. Thorne,Independent, (Write In),0
Harford,Matthew  Lydick,Republican, (Write In),0
Harford,Barbara A. Prokopich,Republican, (Write In),0
Harford,Santa  Claus,Independent, (Write In),65
Harford,Richard  Duncan,Independent, (Write In),2
Harford,Bruce  Mlynski,Independent, (Write In),0
Harford,Kevin M. Thorne,Independent, (Write In),0
Howard,Matthew  Lydick,Republican, (Write In),7
Howard,Barbara A. Prokopich,Republican, (Write In),0
Howard,Santa  Claus,Independent, (Write In),38
Howard,Richard  Duncan,Independent, (Write In),1
Howard,Bruce  Mlynski,Independent, (Write In),0
Howard,Kevin M. Thorne,Independent, (Write In),0
Kent,Matthew  Lydick,Republican, (Write In),0
Kent,Barbara A. Prokopich,Republican, (Write In),0
Kent,Santa  Claus,Independent, (Write In),1
Kent,Richard  Duncan,Independent, (Write In),0
Kent,Bruce  Mlynski,Independent, (Write In),0
Kent,Kevin M. Thorne,Independent, (Write In),0
Montgomery,Matthew  Lydick,Republican, (Write In),2
Montgomery,Barbara A. Prokopich,Republican, (Write In),0
Montgomery,Santa  Claus,Independent, (Write In),43
Montgomery,Richard  Duncan,Independent, (Write In),1
Montgomery,Bruce  Mlynski,Independent, (Write In),0
Montgomery,Kevin M. Thorne,Independent, (Write In),0
Prince George's,Matthew  Lydick,Republican, (Write In),0
Prince George's,Barbara A. Prokopich,Republican, (Write In),0
Prince George's,Santa  Claus,Independent, (Write In),19
Prince George's,Richard  Duncan,Independent, (Write In),1
Prince George's,Bruce  Mlynski,Independent, (Write In),0
Prince George's,Kevin M. Thorne,Independent, (Write In),0
Queen Anne's,Matthew  Lydick,Republican, (Write In),1
Queen Anne's,Barbara A. Prokopich,Republican, (Write In),0
Queen Anne's,Santa  Claus,Independent, (Write In),8
Queen Anne's,Richard  Duncan,Independent, (Write In),0
Queen Anne's,Bruce  Mlynski,Independent, (Write In),0
Queen Anne's,Kevin M. Thorne,Independent, (Write In),0
St. Mary's,Matthew  Lydick,Republican, (Write In),0
St. Mary's,Barbara A. Prokopich,Republican, (Write In),0
St. Mary's,Santa  Claus,Independent, (Write In),9
St. Mary's,Richard  Duncan,Independent, (Write In),0
St. Mary's,Bruce  Mlynski,Independent, (Write In),0
St. Mary's,Kevin M. Thorne,Independent, (Write In),0
Somerset,Matthew  Lydick,Republican, (Write In),0
Somerset,Barbara A. Prokopich,Republican, (Write In),0
Somerset,Santa  Claus,Independent, (Write In),2
Somerset,Richard  Duncan,Independent, (Write In),0
