county,candidate,votes
Androscoggin,"Johnson, Gary E.",837
Androscoggin,"Obama, Barack",28989
Androscoggin,"Romney, Mitt",22232
Androscoggin,"Stein, Jill",607
Androscoggin,"Anderson, Ross C.",1
Androscoggin,"Paul, Ronald E.",194
Androscoggin,"Reed, Jill Ann",2
Androscoggin,BLANK,1201
Aroostook,"Johnson, Gary E.",430
Aroostook,"Obama, Barack",17777
Aroostook,"Romney, Mitt",15196
Aroostook,"Stein, Jill",358
Aroostook,"Anderson, Ross C.",1
Aroostook,"Paul, Ronald E.",97
Aroostook,"Reed, Jill Ann",1
Aroostook,BLANK,656
Cumberland,"Johnson, Gary E.",1901
Cumberland,"Obama, Barack",101950
Cumberland,"Romney, Mitt",57821
Cumberland,"Stein, Jill",1723
Cumberland,"Anderson, Ross C.",11
Cumberland,"Paul, Ronald E.",380
Cumberland,"Reed, Jill Ann",0
Cumberland,BLANK,1743
Franklin,"Johnson, Gary E.",280
Franklin,"Obama, Barack",9367
Franklin,"Romney, Mitt",6369
Franklin,"Stein, Jill",232
Franklin,"Anderson, Ross C.",0
Franklin,"Paul, Ronald E.",34
Franklin,"Reed, Jill Ann",0
Franklin,BLANK,533
Hancock,"Johnson, Gary E.",423
Hancock,"Obama, Barack",17569
Hancock,"Romney, Mitt",12324
Hancock,"Stein, Jill",393
Hancock,"Anderson, Ross C.",7
Hancock,"Paul, Ronald E.",80
Hancock,"Reed, Jill Ann",3
Hancock,BLANK,464
Kennebec,"Johnson, Gary E.",908
Kennebec,"Obama, Barack",35068
Kennebec,"Romney, Mitt",26519
Kennebec,"Stein, Jill",810
Kennebec,"Anderson, Ross C.",2
Kennebec,"Paul, Ronald E.",190
Kennebec,"Reed, Jill Ann",0
Kennebec,BLANK,1099
Knox,"Johnson, Gary E.",275
Knox,"Obama, Barack",13223
Knox,"Romney, Mitt",8248
Knox,"Stein, Jill",257
Knox,"Anderson, Ross C.",6
Knox,"Paul, Ronald E.",57
Knox,"Reed, Jill Ann",1
Knox,BLANK,454
Lincoln,"Johnson, Gary E.",254
Lincoln,"Obama, Barack",11315
Lincoln,"Romney, Mitt",8899
Lincoln,"Stein, Jill",232
Lincoln,"Anderson, Ross C.",9
Lincoln,"Paul, Ronald E.",48
Lincoln,"Reed, Jill Ann",0
Lincoln,BLANK,244
Oxford,"Johnson, Gary E.",505
Oxford,"Obama, Barack",16330
Oxford,"Romney, Mitt",11996
Oxford,"Stein, Jill",449
Oxford,"Anderson, Ross C.",1
Oxford,"Paul, Ronald E.",132
Oxford,"Reed, Jill Ann",7
Oxford,BLANK,654
Penobscot,"Johnson, Gary E.",968
Penobscot,"Obama, Barack",38811
Penobscot,"Romney, Mitt",36547
Penobscot,"Stein, Jill",773
Penobscot,"Anderson, Ross C.",9
Penobscot,"Paul, Ronald E.",193
Penobscot,"Reed, Jill Ann",5
Penobscot,BLANK,1474
Piscataquis,"Johnson, Gary E.",135
Piscataquis,"Obama, Barack",4149
Piscataquis,"Romney, Mitt",4530
Piscataquis,"Stein, Jill",111
Piscataquis,"Anderson, Ross C.",1
Piscataquis,"Paul, Ronald E.",29
Piscataquis,"Reed, Jill Ann",0
Piscataquis,BLANK,151
Sagadahoc,"Johnson, Gary E.",247
Sagadahoc,"Obama, Barack",11821
Sagadahoc,"Romney, Mitt",8429
Sagadahoc,"Stein, Jill",237
Sagadahoc,"Anderson, Ross C.",0
Sagadahoc,"Paul, Ronald E.",59
Sagadahoc,"Reed, Jill Ann",1
Sagadahoc,BLANK,474
Somerset,"Johnson, Gary E.",328
Somerset,"Obama, Barack",12216
Somerset,"Romney, Mitt",11800
Somerset,"Stein, Jill",369
Somerset,"Anderson, Ross C.",3
Somerset,"Paul, Ronald E.",71
Somerset,"Reed, Jill Ann",0
Somerset,BLANK,444
Waldo,"Johnson, Gary E.",297
Waldo,"Obama, Barack",11296
Waldo,"Romney, Mitt",9058
Waldo,"Stein, Jill",334
Waldo,"Anderson, Ross C.",3
Waldo,"Paul, Ronald E.",71
Waldo,"Reed, Jill Ann",2
Waldo,BLANK,275
Washington,"Johnson, Gary E.",246
Washington,"Obama, Barack",7803
Washington,"Romney, Mitt",7550
Washington,"Stein, Jill",175
Washington,"Anderson, Ross C.",3
Washington,"Paul, Ronald E.",54
Washington,"Reed, Jill Ann",5
Washington,BLANK,273
York,"Johnson, Gary E.",1260
York,"Obama, Barack",61551
York,"Romney, Mitt",43900
York,"Stein, Jill",1008
York,"Anderson, Ross C.",3
York,"Paul, Ronald E.",332
York,"Reed, Jill Ann",3
York,BLANK,1426
STATE UOCAVA,"Johnson, Gary E.",58
STATE UOCAVA,"Obama, Barack",2071
STATE UOCAVA,"Romney, Mitt",858
STATE UOCAVA,"Stein, Jill",51
STATE UOCAVA,"Anderson, Ross C.",2
STATE UOCAVA,"Paul, Ronald E.",14
STATE UOCAVA,"Reed, Jill Ann",0
STATE UOCAVA,BLANK,13
