county,candidate,party,votes
ALCONA,"Goode, Jr.",UST,27
ALCONA,Alexander,WRITE-IN,0
ALCONA,Anderson,NLP,9
ALCONA,Hoefling,WRITE-IN,0
ALCONA,Johnson,WRITE-IN,8
ALCONA,Obama,DEM,2472
ALCONA,Romney,REP,3571
ALCONA,Stein,GRN,17
ALCONA,White,WRITE-IN,0
ALGER,"Goode, Jr.",UST,23
ALGER,Alexander,WRITE-IN,0
ALGER,Anderson,NLP,5
ALGER,Hoefling,WRITE-IN,0
ALGER,Johnson,WRITE-IN,14
ALGER,Obama,DEM,2212
ALGER,Romney,REP,2330
ALGER,Stein,GRN,34
ALGER,White,WRITE-IN,0
ALLEGAN,"Goode, Jr.",UST,263
ALLEGAN,Alexander,WRITE-IN,0
ALLEGAN,Anderson,NLP,67
ALLEGAN,Hoefling,WRITE-IN,1
ALLEGAN,Johnson,WRITE-IN,79
ALLEGAN,Obama,DEM,20806
ALLEGAN,Romney,REP,31123
ALLEGAN,Stein,GRN,280
ALLEGAN,White,WRITE-IN,0
ALPENA,"Goode, Jr.",UST,60
ALPENA,Alexander,WRITE-IN,0
ALPENA,Anderson,NLP,20
ALPENA,Hoefling,WRITE-IN,0
ALPENA,Johnson,WRITE-IN,0
ALPENA,Obama,DEM,6549
ALPENA,Romney,REP,7298
ALPENA,Stein,GRN,87
ALPENA,White,WRITE-IN,0
ANTRIM,"Goode, Jr.",UST,56
ANTRIM,Alexander,WRITE-IN,0
ANTRIM,Anderson,NLP,16
ANTRIM,Hoefling,WRITE-IN,0
ANTRIM,Johnson,WRITE-IN,11
ANTRIM,Obama,DEM,5107
ANTRIM,Romney,REP,7917
ANTRIM,Stein,GRN,88
ANTRIM,White,WRITE-IN,0
ARENAC,"Goode, Jr.",UST,39
ARENAC,Alexander,WRITE-IN,0
ARENAC,Anderson,NLP,16
ARENAC,Hoefling,WRITE-IN,0
ARENAC,Johnson,WRITE-IN,12
ARENAC,Obama,DEM,3669
ARENAC,Romney,REP,4057
ARENAC,Stein,GRN,48
ARENAC,White,WRITE-IN,0
BARAGA,"Goode, Jr.",UST,22
BARAGA,Alexander,WRITE-IN,0
BARAGA,Anderson,NLP,7
BARAGA,Hoefling,WRITE-IN,0
BARAGA,Johnson,WRITE-IN,0
BARAGA,Obama,DEM,1574
BARAGA,Romney,REP,1866
BARAGA,Stein,GRN,21
BARAGA,White,WRITE-IN,0
BARRY,"Goode, Jr.",UST,153
BARRY,Alexander,WRITE-IN,0
BARRY,Anderson,NLP,31
BARRY,Hoefling,WRITE-IN,0
BARRY,Johnson,WRITE-IN,30
BARRY,Obama,DEM,11491
BARRY,Romney,REP,16655
BARRY,Stein,GRN,152
BARRY,White,WRITE-IN,0
BAY,"Goode, Jr.",UST,236
BAY,Alexander,WRITE-IN,0
BAY,Anderson,NLP,53
BAY,Hoefling,WRITE-IN,0
BAY,Johnson,WRITE-IN,35
BAY,Obama,DEM,27877
BAY,Romney,REP,24911
BAY,Stein,GRN,269
BAY,White,WRITE-IN,0
BENZIE,"Goode, Jr.",UST,39
BENZIE,Alexander,WRITE-IN,39
BENZIE,Anderson,NLP,8
BENZIE,Hoefling,WRITE-IN,0
BENZIE,Johnson,WRITE-IN,9
BENZIE,Obama,DEM,4685
BENZIE,Romney,REP,5075
BENZIE,Stein,GRN,46
BENZIE,White,WRITE-IN,0
BERRIEN,"Goode, Jr.",UST,243
BERRIEN,Alexander,WRITE-IN,1
BERRIEN,Anderson,NLP,82
BERRIEN,Hoefling,WRITE-IN,2
BERRIEN,Johnson,WRITE-IN,172
BERRIEN,Obama,DEM,33465
BERRIEN,Romney,REP,38209
BERRIEN,Stein,GRN,323
BERRIEN,White,WRITE-IN,0
BRANCH,"Goode, Jr.",UST,67
BRANCH,Alexander,WRITE-IN,0
BRANCH,Anderson,NLP,23
BRANCH,Hoefling,WRITE-IN,0
BRANCH,Johnson,WRITE-IN,16
BRANCH,Obama,DEM,6913
BRANCH,Romney,REP,10035
BRANCH,Stein,GRN,92
BRANCH,White,WRITE-IN,1
CALHOUN,"Goode, Jr.",UST,276
CALHOUN,Alexander,WRITE-IN,0
CALHOUN,Anderson,NLP,48
CALHOUN,Hoefling,WRITE-IN,0
CALHOUN,Johnson,WRITE-IN,102
CALHOUN,Obama,DEM,29267
CALHOUN,Romney,REP,28333
CALHOUN,Stein,GRN,300
CALHOUN,White,WRITE-IN,1
CASS,"Goode, Jr.",UST,95
CASS,Alexander,WRITE-IN,0
CASS,Anderson,NLP,25
CASS,Hoefling,WRITE-IN,0
CASS,Johnson,WRITE-IN,27
CASS,Obama,DEM,9591
CASS,Romney,REP,12659
CASS,Stein,GRN,93
CASS,White,WRITE-IN,0
CHARLEVOIX,"Goode, Jr.",UST,29
CHARLEVOIX,Alexander,WRITE-IN,0
CHARLEVOIX,Anderson,NLP,21
CHARLEVOIX,Hoefling,WRITE-IN,0
CHARLEVOIX,Johnson,WRITE-IN,20
CHARLEVOIX,Obama,DEM,5939
CHARLEVOIX,Romney,REP,8000
CHARLEVOIX,Stein,GRN,81
CHARLEVOIX,White,WRITE-IN,0
CHEBOYGAN,"Goode, Jr.",UST,75
CHEBOYGAN,Alexander,WRITE-IN,0
CHEBOYGAN,Anderson,NLP,24
CHEBOYGAN,Hoefling,WRITE-IN,0
CHEBOYGAN,Johnson,WRITE-IN,19
CHEBOYGAN,Obama,DEM,5831
CHEBOYGAN,Romney,REP,7286
CHEBOYGAN,Stein,GRN,76
