county,candidate,votes
Aitkin,MITT ROMNEY AND PAUL RYAN,4533
Aitkin,BARACK OBAMA AND JOE BIDEN,4412
Aitkin,GARY JOHNSON AND JIM GRAY,80
Aitkin,JAMES HARRIS AND MAURA DELUCA,6
Aitkin,VIRGIL GOODE AND JIM CLYMER,9
Aitkin,DEAN MORSTAD AND JOSH FRANKE-HYLAND,5
Aitkin,JILL STEIN AND CHERI HONKALA,33
Aitkin,JIM CARLSON AND GEORGE MCMAHON,22
Aitkin,PETA LINDSAY AND YARI OSORIO,0
Aitkin,"ROSS C. ""ROCKY"" ANDERSON AND LUIS J. RODRIGUEZ",9
Aitkin,WRITE-IN**,33
Anoka,MITT ROMNEY AND PAUL RYAN,93430
Anoka,BARACK OBAMA AND JOE BIDEN,88614
Anoka,GARY JOHNSON AND JIM GRAY,2284
Anoka,JAMES HARRIS AND MAURA DELUCA,48
Anoka,VIRGIL GOODE AND JIM CLYMER,233
Anoka,DEAN MORSTAD AND JOSH FRANKE-HYLAND,76
Anoka,JILL STEIN AND CHERI HONKALA,687
Anoka,JIM CARLSON AND GEORGE MCMAHON,207
Anoka,PETA LINDSAY AND YARI OSORIO,17
Anoka,"ROSS C. ""ROCKY"" ANDERSON AND LUIS J. RODRIGUEZ",122
Anoka,WRITE-IN**,747
Becker,MITT ROMNEY AND PAUL RYAN,9204
Becker,BARACK OBAMA AND JOE BIDEN,6829
Becker,GARY JOHNSON AND JIM GRAY,155
Becker,JAMES HARRIS AND MAURA DELUCA,6
Becker,VIRGIL GOODE AND JIM CLYMER,25
Becker,DEAN MORSTAD AND JOSH FRANKE-HYLAND,9
Becker,JILL STEIN AND CHERI HONKALA,57
Becker,JIM CARLSON AND GEORGE MCMAHON,26
Becker,PETA LINDSAY AND YARI OSORIO,3
Becker,"ROSS C. ""ROCKY"" ANDERSON AND LUIS J. RODRIGUEZ",15
Becker,WRITE-IN**,53
Beltrami,MITT ROMNEY AND PAUL RYAN,9637
Beltrami,BARACK OBAMA AND JOE BIDEN,11818
Beltrami,GARY JOHNSON AND JIM GRAY,268
Beltrami,JAMES HARRIS AND MAURA DELUCA,12
Beltrami,VIRGIL GOODE AND JIM CLYMER,38
Beltrami,DEAN MORSTAD AND JOSH FRANKE-HYLAND,6
Beltrami,JILL STEIN AND CHERI HONKALA,121
Beltrami,JIM CARLSON AND GEORGE MCMAHON,32
Beltrami,PETA LINDSAY AND YARI OSORIO,3
Beltrami,"ROSS C. ""ROCKY"" ANDERSON AND LUIS J. RODRIGUEZ",14
Beltrami,WRITE-IN**,102
Benton,MITT ROMNEY AND PAUL RYAN,10849
Benton,BARACK OBAMA AND JOE BIDEN,8173
Benton,GARY JOHNSON AND JIM GRAY,296
Benton,JAMES HARRIS AND MAURA DELUCA,8
Benton,VIRGIL GOODE AND JIM CLYMER,40
Benton,DEAN MORSTAD AND JOSH FRANKE-HYLAND,15
Benton,JILL STEIN AND CHERI HONKALA,96
Benton,JIM CARLSON AND GEORGE MCMAHON,28
Benton,PETA LINDSAY AND YARI OSORIO,4
Benton,"ROSS C. ""ROCKY"" ANDERSON AND LUIS J. RODRIGUEZ",12
Benton,WRITE-IN**,98
Big Stone,MITT ROMNEY AND PAUL RYAN,1385
Big Stone,BARACK OBAMA AND JOE BIDEN,1345
Big Stone,GARY JOHNSON AND JIM GRAY,29
Big Stone,JAMES HARRIS AND MAURA DELUCA,2
Big Stone,VIRGIL GOODE AND JIM CLYMER,4
Big Stone,DEAN MORSTAD AND JOSH FRANKE-HYLAND,1
Big Stone,JILL STEIN AND CHERI HONKALA,8
Big Stone,JIM CARLSON AND GEORGE MCMAHON,7
Big Stone,PETA LINDSAY AND YARI OSORIO,0
Big Stone,"ROSS C. ""ROCKY"" ANDERSON AND LUIS J. RODRIGUEZ",2
Big Stone,WRITE-IN**,6
Blue Earth,MITT ROMNEY AND PAUL RYAN,14916
Blue Earth,BARACK OBAMA AND JOE BIDEN,18164
Blue Earth,GARY JOHNSON AND JIM GRAY,572
Blue Earth,JAMES HARRIS AND MAURA DELUCA,12
Blue Earth,VIRGIL GOODE AND JIM CLYMER,61
Blue Earth,DEAN MORSTAD AND JOSH FRANKE-HYLAND,18
Blue Earth,JILL STEIN AND CHERI HONKALA,222
Blue Earth,JIM CARLSON AND GEORGE MCMAHON,46
Blue Earth,PETA LINDSAY AND YARI OSORIO,5
Blue Earth,"ROSS C. ""ROCKY"" ANDERSON AND LUIS J. RODRIGUEZ",23
Blue Earth,WRITE-IN**,235
Brown,MITT ROMNEY AND PAUL RYAN,7938
Brown,BARACK OBAMA AND JOE BIDEN,5630
Brown,GARY JOHNSON AND JIM GRAY,198
Brown,JAMES HARRIS AND MAURA DELUCA,7
Brown,VIRGIL GOODE AND JIM CLYMER,24
Brown,DEAN MORSTAD AND JOSH FRANKE-HYLAND,6
Brown,JILL STEIN AND CHERI HONKALA,44
Brown,JIM CARLSON AND GEORGE MCMAHON,24
Brown,PETA LINDSAY AND YARI OSORIO,3
Brown,"ROSS C. ""ROCKY"" ANDERSON AND LUIS J. RODRIGUEZ",8
Brown,WRITE-IN**,47
Carlton,MITT ROMNEY AND PAUL RYAN,6586
Carlton,BARACK OBAMA AND JOE BIDEN,11389
