county,candidate,votes
Adair,Barack Obama,4219 
Andrew,Barack Obama,2649 
Atchison,Barack Obama,756 
Audrain,Barack Obama,3539 
Barry,Barack Obama,3667 
Barton,Barack Obama,1230 
Bates,Barack Obama,2557 
Benton,Barack Obama,2925 
Bollinger,Barack Obama,1213 
Boone,Barack Obama,39847 
Buchanan,Barack Obama,15594 
Butler,Barack Obama,4363 
Caldwell,Barack Obama,1312 
Callaway,Barack Obama,6071 
Camden,Barack Obama,6458 
Cape Girardeau,Barack Obama,9728 
Carroll,Barack Obama,1154 
Carter,Barack Obama,754 
Cass,Barack Obama,17044 
Cedar,Barack Obama,1537 
Chariton,Barack Obama,1339 
Christian,Barack Obama,9813 
Clark,Barack Obama,1398 
Clay,Barack Obama,47310 
Clinton,Barack Obama,3688 
Cole,Barack Obama,12005 
Cooper,Barack Obama,2474 
Crawford,Barack Obama,2951 
Dade,Barack Obama,939 
Dallas,Barack Obama,2122 
Daviess,Barack Obama,1125 
De Kalb,Barack Obama,1194 
Dent,Barack Obama,1585 
Douglas,Barack Obama,1710 
Dunklin,Barack Obama,3636 
Franklin,Barack Obama,16347 
Gasconade,Barack Obama,2099 
Gentry,Barack Obama,937 
Greene,Barack Obama,46219 
Grundy,Barack Obama,1212 
Harrison,Barack Obama,984 
Henry,Barack Obama,3606 
Hickory,Barack Obama,1733 
Holt,Barack Obama,551 
Howard,Barack Obama,1723 
Howell,Barack Obama,4395 
Iron,Barack Obama,1669 
Jackson,Barack Obama,78283 
Jasper,Barack Obama,12809 
Jefferson,Barack Obama,41564 
Johnson,Barack Obama,7667 
Kansas City,Barack Obama,105670 
Knox,Barack Obama,698 
Laclede,Barack Obama,4093 
Lafayette,Barack Obama,5655 
Lawrence,Barack Obama,4017 
Lewis,Barack Obama,1508 
Lincoln,Barack Obama,7734 
Linn,Barack Obama,2041 
Livingston,Barack Obama,1906 
Macon,Barack Obama,2309 
Madison,Barack Obama,1588 
Maries,Barack Obama,1299 
Marion,Barack Obama,4031 
McDonald,Barack Obama,1920 
Mercer,Barack Obama,353 
Miller,Barack Obama,2651 
Mississippi,Barack Obama,1858 
