county,candidate,votes
Adams,"Barack Obama for President and Joe Biden for Vice President, Democrat",9061
Adams,"Mitt Romney for President and Paul Ryan for Vice President, Republican",6293
Adams,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",14
Adams,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",60
Adams,"Jill Stein for President and Cheri Honkala for Vice President, Green",13
Adams,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",6
Alcorn,"Barack Obama for President and Joe Biden for Vice President, Democrat",3511
Alcorn,"Mitt Romney for President and Paul Ryan for Vice President, Republican",11111
Alcorn,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",39
Alcorn,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",129
Alcorn,"Jill Stein for President and Cheri Honkala for Vice President, Green",28
Alcorn,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",12
Amite,"Barack Obama for President and Joe Biden for Vice President, Democrat",3242
Amite,"Mitt Romney for President and Paul Ryan for Vice President, Republican",4414
Amite,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",16
Amite,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",21
Amite,"Jill Stein for President and Cheri Honkala for Vice President, Green",6
Amite,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",7
Attala,"Barack Obama for President and Joe Biden for Vice President, Democrat",3927
Attala,"Mitt Romney for President and Paul Ryan for Vice President, Republican",5126
Attala,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",11
Attala,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",21
Attala,"Jill Stein for President and Cheri Honkala for Vice President, Green",3
Attala,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",4
Benton,"Barack Obama for President and Joe Biden for Vice President, Democrat",2051
Benton,"Mitt Romney for President and Paul Ryan for Vice President, Republican",2041
Benton,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",6
Benton,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",9
Benton,"Jill Stein for President and Cheri Honkala for Vice President, Green",6
Benton,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",3
Bolivar,"Barack Obama for President and Joe Biden for Vice President, Democrat",10582
Bolivar,"Mitt Romney for President and Paul Ryan for Vice President, Republican",4701
Bolivar,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",49
Bolivar,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",54
Bolivar,"Jill Stein for President and Cheri Honkala for Vice President, Green",23
Bolivar,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",19
Calhoun,"Barack Obama for President and Joe Biden for Vice President, Democrat",2586
Calhoun,"Mitt Romney for President and Paul Ryan for Vice President, Republican",4412
Calhoun,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",17
Calhoun,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",34
Calhoun,"Jill Stein for President and Cheri Honkala for Vice President, Green",5
Calhoun,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",14
Carroll,"Barack Obama for President and Joe Biden for Vice President, Democrat",2007
Carroll,"Mitt Romney for President and Paul Ryan for Vice President, Republican",3960
Carroll,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",9
Carroll,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",13
Carroll,"Jill Stein for President and Cheri Honkala for Vice President, Green",1
Carroll,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",2
Chickasaw,"Barack Obama for President and Joe Biden for Vice President, Democrat",4378
Chickasaw,"Mitt Romney for President and Paul Ryan for Vice President, Republican",3994
Chickasaw,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",73
Chickasaw,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",37
Chickasaw,"Jill Stein for President and Cheri Honkala for Vice President, Green",14
Chickasaw,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",7
Choctaw,"Barack Obama for President and Joe Biden for Vice President, Democrat",1428
Choctaw,"Mitt Romney for President and Paul Ryan for Vice President, Republican",2812
Choctaw,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",10
Choctaw,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",15
Choctaw,"Jill Stein for President and Cheri Honkala for Vice President, Green",4
Choctaw,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",4
Claiborne,"Barack Obama for President and Joe Biden for Vice President, Democrat",4838
Claiborne,"Mitt Romney for President and Paul Ryan for Vice President, Republican",625
Claiborne,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",10
Claiborne,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",7
Claiborne,"Jill Stein for President and Cheri Honkala for Vice President, Green",2
Claiborne,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",2
Clarke,"Barack Obama for President and Joe Biden for Vice President, Democrat",3111
Clarke,"Mitt Romney for President and Paul Ryan for Vice President, Republican",5049
Clarke,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",48
Clarke,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",32
Clarke,"Jill Stein for President and Cheri Honkala for Vice President, Green",5
Clarke,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",8
Clay,"Barack Obama for President and Joe Biden for Vice President, Democrat",6712
Clay,"Mitt Romney for President and Paul Ryan for Vice President, Republican",4291
Clay,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",19
Clay,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",27
Clay,"Jill Stein for President and Cheri Honkala for Vice President, Green",17
Clay,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",6
Coahoma,"Barack Obama for President and Joe Biden for Vice President, Democrat",7792
Coahoma,"Mitt Romney for President and Paul Ryan for Vice President, Republican",2712
Coahoma,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",9
Coahoma,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",24
Coahoma,"Jill Stein for President and Cheri Honkala for Vice President, Green",10
Coahoma,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",2
Copiah,"Barack Obama for President and Joe Biden for Vice President, Democrat",7749
Copiah,"Mitt Romney for President and Paul Ryan for Vice President, Republican",6282
Copiah,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",25
Copiah,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",42
Copiah,"Jill Stein for President and Cheri Honkala for Vice President, Green",15
Copiah,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",10
Covington,"Barack Obama for President and Joe Biden for Vice President, Democrat",3878
Covington,"Mitt Romney for President and Paul Ryan for Vice President, Republican",5405
Covington,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",18
Covington,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",32
Covington,"Jill Stein for President and Cheri Honkala for Vice President, Green",7
Covington,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",8
Desoto,"Barack Obama for President and Joe Biden for Vice President, Democrat",21575
Desoto,"Mitt Romney for President and Paul Ryan for Vice President, Republican",43559
Desoto,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",105
Desoto,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",438
Desoto,"Jill Stein for President and Cheri Honkala for Vice President, Green",73
Desoto,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",44
Forrest,"Barack Obama for President and Joe Biden for Vice President, Democrat",13272
Forrest,"Mitt Romney for President and Paul Ryan for Vice President, Republican",16574
Forrest,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",47
Forrest,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",255
Forrest,"Jill Stein for President and Cheri Honkala for Vice President, Green",69
Forrest,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",19
Franklin,"Barack Obama for President and Joe Biden for Vice President, Democrat",1726
Franklin,"Mitt Romney for President and Paul Ryan for Vice President, Republican",2735
Franklin,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",8
Franklin,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",15
Franklin,"Jill Stein for President and Cheri Honkala for Vice President, Green",5
Franklin,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",4
George,"Barack Obama for President and Joe Biden for Vice President, Democrat",1359
George,"Mitt Romney for President and Paul Ryan for Vice President, Republican",8376
George,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",37
