county,candidate,votes
Beaverhead,BARACK OBAMA,1371
Beaverhead,GARY JOHNSON,152
Beaverhead,MITT ROMNEY,3289
Big Horn,BARACK OBAMA,2882
Big Horn,GARY JOHNSON,77
Big Horn,MITT ROMNEY,1667
Blaine,BARACK OBAMA,1616
Blaine,GARY JOHNSON,65
Blaine,MITT ROMNEY,1178
Broadwater,BARACK OBAMA,764
Broadwater,GARY JOHNSON,95
Broadwater,MITT ROMNEY,2152
Carbon,BARACK OBAMA,2146
Carbon,GARY JOHNSON,167
Carbon,MITT ROMNEY,3533
Carter,BARACK OBAMA,96
Carter,GARY JOHNSON,20
Carter,MITT ROMNEY,678
Cascade,BARACK OBAMA,15232
Cascade,GARY JOHNSON,987
Cascade,MITT ROMNEY,18345
Chouteau,BARACK OBAMA,978
Chouteau,GARY JOHNSON,85
Chouteau,MITT ROMNEY,1758
Custer,BARACK OBAMA,1833
Custer,GARY JOHNSON,159
Custer,MITT ROMNEY,3373
Daniels,BARACK OBAMA,237
Daniels,GARY JOHNSON,30
Daniels,MITT ROMNEY,740
Dawson,BARACK OBAMA,1219
Dawson,GARY JOHNSON,175
Dawson,MITT ROMNEY,3029
Deer Lodge,BARACK OBAMA,2860
Deer Lodge,GARY JOHNSON,152
Deer Lodge,MITT ROMNEY,1448
Fallon,BARACK OBAMA,237
Fallon,GARY JOHNSON,40
Fallon,MITT ROMNEY,1128
Fergus,BARACK OBAMA,1640
Fergus,GARY JOHNSON,174
Fergus,MITT ROMNEY,4257
Flathead,BARACK OBAMA,13892
Flathead,GARY JOHNSON,1275
Flathead,MITT ROMNEY,28309
Gallatin,BARACK OBAMA,21961
Gallatin,GARY JOHNSON,1563
Gallatin,MITT ROMNEY,24358
Garfield,BARACK OBAMA,66
Garfield,GARY JOHNSON,12
Garfield,MITT ROMNEY,622
Glacier,BARACK OBAMA,2924
Glacier,GARY JOHNSON,113
Glacier,MITT ROMNEY,1415
Golden Valley,BARACK OBAMA,110
Golden Valley,GARY JOHNSON,18
Golden Valley,MITT ROMNEY,351
Granite,BARACK OBAMA,533
Granite,GARY JOHNSON,65
Granite,MITT ROMNEY,1107
Hill,BARACK OBAMA,3403
Hill,GARY JOHNSON,253
Hill,MITT ROMNEY,3164
Jefferson,BARACK OBAMA,2272
Jefferson,GARY JOHNSON,193
Jefferson,MITT ROMNEY,4055
Judith Basin,BARACK OBAMA,337
Judith Basin,GARY JOHNSON,24
Judith Basin,MITT ROMNEY,854
Lake,BARACK OBAMA,5805
Lake,GARY JOHNSON,364
Lake,MITT ROMNEY,7135
Lewis and Clark,BARACK OBAMA,15620
Lewis and Clark,GARY JOHNSON,895
Lewis and Clark,MITT ROMNEY,16803
Liberty,BARACK OBAMA,257
Liberty,GARY JOHNSON,29
Liberty,MITT ROMNEY,702
Lincoln,BARACK OBAMA,2552
Lincoln,GARY JOHNSON,280
Lincoln,MITT ROMNEY,6057
Madison,BARACK OBAMA,1289
Madison,GARY JOHNSON,111
Madison,MITT ROMNEY,3130
McCone,BARACK OBAMA,223
McCone,GARY JOHNSON,25
McCone,MITT ROMNEY,745
Meagher,BARACK OBAMA,269
Meagher,GARY JOHNSON,33
Meagher,MITT ROMNEY,670
Mineral,BARACK OBAMA,700
Mineral,GARY JOHNSON,101
Mineral,MITT ROMNEY,1216
Missoula,BARACK OBAMA,32824
Missoula,GARY JOHNSON,1716
Missoula,MITT ROMNEY,22652
Musselshell,BARACK OBAMA,492
Musselshell,GARY JOHNSON,82
Musselshell,MITT ROMNEY,1833
Park,BARACK OBAMA,3783
Park,GARY JOHNSON,276
Park,MITT ROMNEY,4709
Petroleum,BARACK OBAMA,49
Petroleum,GARY JOHNSON,9
Petroleum,MITT ROMNEY,240
Phillips,BARACK OBAMA,471
Phillips,GARY JOHNSON,69
Phillips,MITT ROMNEY,1688
Pondera,BARACK OBAMA,975
Pondera,GARY JOHNSON,71
Pondera,MITT ROMNEY,1673
Powder River,BARACK OBAMA,170
Powder River,GARY JOHNSON,24
Powder River,MITT ROMNEY,833
Powell,BARACK OBAMA,888
Powell,GARY JOHNSON,82
Powell,MITT ROMNEY,1806
Prairie,BARACK OBAMA,167
Prairie,GARY JOHNSON,16
Prairie,MITT ROMNEY,520
Ravalli,BARACK OBAMA,7285
Ravalli,GARY JOHNSON,614
Ravalli,MITT ROMNEY,14307
Richland,BARACK OBAMA,1002
Richland,GARY JOHNSON,133
Richland,MITT ROMNEY,3510
Roosevelt,BARACK OBAMA,2086
Roosevelt,GARY JOHNSON,72
Roosevelt,MITT ROMNEY,1514
Rosebud,BARACK OBAMA,1422
Rosebud,GARY JOHNSON,97
Rosebud,MITT ROMNEY,2004
Sanders,BARACK OBAMA,1720
Sanders,GARY JOHNSON,201
Sanders,MITT ROMNEY,3980
Sheridan,BARACK OBAMA,665
Sheridan,GARY JOHNSON,56
Sheridan,MITT ROMNEY,1207
Silver Bow,BARACK OBAMA,10857
Silver Bow,GARY JOHNSON,469
Silver Bow,MITT ROMNEY,5430
Stillwater,BARACK OBAMA,1248
Stillwater,GARY JOHNSON,117
Stillwater,MITT ROMNEY,3337
Sweet Grass,BARACK OBAMA,475
Sweet Grass,GARY JOHNSON,48
Sweet Grass,MITT ROMNEY,1594
Teton,BARACK OBAMA,1082
Teton,GARY JOHNSON,86
Teton,MITT ROMNEY,2113
Toole,BARACK OBAMA,582
Toole,GARY JOHNSON,80
Toole,MITT ROMNEY,1440
Treasure,BARACK OBAMA,114
Treasure,GARY JOHNSON,22
Treasure,MITT ROMNEY,319
Valley,BARACK OBAMA,1385
Valley,GARY JOHNSON,137
Valley,MITT ROMNEY,2337
Wheatland,BARACK OBAMA,272
Wheatland,GARY JOHNSON,27
Wheatland,MITT ROMNEY,693
Wibaux,BARACK OBAMA,98
Wibaux,GARY JOHNSON,25
Wibaux,MITT ROMNEY,421
Yellowstone,BARACK OBAMA,26403
Yellowstone,GARY JOHNSON,1904
Yellowstone,MITT ROMNEY,40500
