county,candidate,votes
Alamance,Obama/Biden,28875
Alamance,Romney/Ryan,38170
Alamance,Johnson/Gray,597
Alamance,Write-in,134
Alexander,Obama/Biden,4611
Alexander,Romney/Ryan,12253
Alexander,Johnson/Gray,263
Alexander,Write-in,69
Alleghany,Obama/Biden,1583
Alleghany,Romney/Ryan,3390
Alleghany,Johnson/Gray,73
Alleghany,Write-in,21
Anson,Obama/Biden,7019
Anson,Romney/Ryan,4166
Anson,Johnson/Gray,53
Anson,Write-in,18
Ashe,Obama/Biden,4116
Ashe,Romney/Ryan,8242
Ashe,Johnson/Gray,180
Ashe,Write-in,72
Avery,Obama/Biden,1882
Avery,Romney/Ryan,5766
Avery,Johnson/Gray,89
Avery,Write-in,22
Beaufort,Obama/Biden,9435
Beaufort,Romney/Ryan,13977
Beaufort,Johnson/Gray,159
Beaufort,Write-in,49
Bertie,Obama/Biden,6695
Bertie,Romney/Ryan,3387
Bertie,Johnson/Gray,37
Bertie,Write-in,4
Bladen,Obama/Biden,8062
Bladen,Romney/Ryan,7748
Bladen,Johnson/Gray,121
Bladen,Write-in,26
Brunswick,Obama/Biden,22038
Brunswick,Romney/Ryan,34743
Brunswick,Johnson/Gray,469
Brunswick,Write-in,112
Buncombe,Obama/Biden,70625
Buncombe,Romney/Ryan,54701
Buncombe,Johnson/Gray,1721
Buncombe,Write-in,649
Burke,Obama/Biden,13701
Burke,Romney/Ryan,22267
Burke,Johnson/Gray,444
Burke,Write-in,132
Cabarrus,Obama/Biden,32849
Cabarrus,Romney/Ryan,49557
Cabarrus,Johnson/Gray,887
Cabarrus,Write-in,273
Caldwell,Obama/Biden,10898
Caldwell,Romney/Ryan,23229
Caldwell,Johnson/Gray,479
Caldwell,Write-in,126
Camden,Obama/Biden,1508
Camden,Romney/Ryan,3109
Camden,Johnson/Gray,72
Camden,Write-in,15
Carteret,Obama/Biden,10301
Carteret,Romney/Ryan,24775
Carteret,Johnson/Gray,332
Carteret,Write-in,109
Caswell,Obama/Biden,5348
Caswell,Romney/Ryan,5594
Caswell,Johnson/Gray,84
Caswell,Write-in,13
Catawba,Obama/Biden,24069
Catawba,Romney/Ryan,44538
Catawba,Johnson/Gray,770
Catawba,Write-in,224
Chatham,Obama/Biden,18361
Chatham,Romney/Ryan,16665
Chatham,Johnson/Gray,330
Chatham,Write-in,78
Cherokee,Obama/Biden,3378
Cherokee,Romney/Ryan,9278
Cherokee,Johnson/Gray,156
Cherokee,Write-in,55
Chowan,Obama/Biden,3556
Chowan,Romney/Ryan,3891
Chowan,Johnson/Gray,45
Chowan,Write-in,13
Clay,Obama/Biden,1579
Clay,Romney/Ryan,3973
Clay,Johnson/Gray,67
Clay,Write-in,23
Cleveland,Obama/Biden,17062
Cleveland,Romney/Ryan,25793
Cleveland,Johnson/Gray,376
Cleveland,Write-in,109
Columbus,Obama/Biden,11050
Columbus,Romney/Ryan,12941
Columbus,Johnson/Gray,184
Columbus,Write-in,68
Craven,Obama/Biden,18763
Craven,Romney/Ryan,26928
Craven,Johnson/Gray,385
Craven,Write-in,94
Cumberland,Obama/Biden,75792
Cumberland,Romney/Ryan,50666
Cumberland,Johnson/Gray,927
Cumberland,Write-in,256
Currituck,Obama/Biden,3562
Currituck,Romney/Ryan,7496
Currituck,Johnson/Gray,204
Currituck,Write-in,42
Dare,Obama/Biden,7393
Dare,Romney/Ryan,10248
Dare,Johnson/Gray,257
Dare,Write-in,76
Davidson,Obama/Biden,20624
Davidson,Romney/Ryan,49383
Davidson,Johnson/Gray,776
Davidson,Write-in,152
Davie,Obama/Biden,5735
Davie,Romney/Ryan,14687
Davie,Johnson/Gray,199
Davie,Write-in,49
Duplin,Obama/Biden,9033
Duplin,Romney/Ryan,11416
Duplin,Johnson/Gray,122
Duplin,Write-in,21
Durham,Obama/Biden,111224
Durham,Romney/Ryan,33769
Durham,Johnson/Gray,1351
Durham,Write-in,391
Edgecombe,Obama/Biden,18310
Edgecombe,Romney/Ryan,8546
Edgecombe,Johnson/Gray,83
Edgecombe,Write-in,33
Forsyth,Obama/Biden,92323
Forsyth,Romney/Ryan,79768
Forsyth,Johnson/Gray,1569
Forsyth,Write-in,409
Franklin,Obama/Biden,13436
Franklin,Romney/Ryan,14603
Franklin,Johnson/Gray,268
Franklin,Write-in,82
Gaston,Obama/Biden,33171
Gaston,Romney/Ryan,56138
Gaston,Johnson/Gray,927
Gaston,Write-in,247
Gates,Obama/Biden,2786
Gates,Romney/Ryan,2564
Gates,Johnson/Gray,33
Gates,Write-in,13
Graham,Obama/Biden,1119
Graham,Romney/Ryan,2750
Graham,Johnson/Gray,53
Graham,Write-in,25
Granville,Obama/Biden,13598
Granville,Romney/Ryan,12405
Granville,Johnson/Gray,208
Granville,Write-in,64
Greene,Obama/Biden,3778
Greene,Romney/Ryan,4411
Greene,Johnson/Gray,40
Greene,Write-in,7
Guilford,Obama/Biden,146365
Guilford,Romney/Ryan,104789
Guilford,Johnson/Gray,2105
Guilford,Write-in,593
Halifax,Obama/Biden,17176
Halifax,Romney/Ryan,8763
Halifax,Johnson/Gray,110
Halifax,Write-in,30
Harnett,Obama/Biden,17331
Harnett,Romney/Ryan,25565
Harnett,Johnson/Gray,429
Harnett,Write-in,90
Haywood,Obama/Biden,11833
Haywood,Romney/Ryan,15633
Haywood,Johnson/Gray,387
Haywood,Write-in,121
Henderson,Obama/Biden,18642
Henderson,Romney/Ryan,32994
Henderson,Johnson/Gray,589
Henderson,Write-in,167
Hertford,Obama/Biden,7843
Hertford,Romney/Ryan,3007
Hertford,Johnson/Gray,56
Hertford,Write-in,12
Hoke,Obama/Biden,10076
Hoke,Romney/Ryan,6819
Hoke,Johnson/Gray,167
Hoke,Write-in,27
Hyde,Obama/Biden,1163
Hyde,Romney/Ryan,1193
Hyde,Johnson/Gray,22
Hyde,Write-in,5
Iredell,Obama/Biden,26076
Iredell,Romney/Ryan,49299
Iredell,Johnson/Gray,747
Iredell,Write-in,243
Jackson,Obama/Biden,8095
Jackson,Romney/Ryan,8254
Jackson,Johnson/Gray,281
Jackson,Write-in,71
Johnston,Obama/Biden,27290
Johnston,Romney/Ryan,48427
Johnston,Johnson/Gray,768
Johnston,Write-in,206
Jones,Obama/Biden,2352
Jones,Romney/Ryan,2837
Jones,Johnson/Gray,32
Jones,Write-in,9
