county,candidate,votes
Adams,OBAMA,328
Adams,ROMNEY,918
Adams,GOODE,9
Adams,JOHNSON,19
Adams,STEIN,9
Adams,write-in,3
Barnes,OBAMA,2394
Barnes,ROMNEY,2964
Barnes,GOODE,27
Barnes,JOHNSON,78
Barnes,STEIN,24
Barnes,write-in,35
Benson,OBAMA,1235
Benson,ROMNEY,868
Benson,GOODE,8
Benson,JOHNSON,32
Benson,STEIN,9
Benson,write-in,5
Billings,OBAMA,89
Billings,ROMNEY,472
Billings,GOODE,2
Billings,JOHNSON,12
Billings,STEIN,2
Billings,write-in,1
Bottineau,OBAMA,1183
Bottineau,ROMNEY,2280
Bottineau,GOODE,10
Bottineau,JOHNSON,56
Bottineau,STEIN,10
Bottineau,write-in,16
Bowman,OBAMA,414
Bowman,ROMNEY,1280
Bowman,GOODE,5
Bowman,JOHNSON,31
Bowman,STEIN,3
Bowman,write-in,4
Burke,OBAMA,230
Burke,ROMNEY,769
Burke,GOODE,4
Burke,JOHNSON,13
Burke,STEIN,3
Burke,write-in,4
Burleigh,OBAMA,14122
Burleigh,ROMNEY,27951
Burleigh,GOODE,134
Burleigh,JOHNSON,704
Burleigh,STEIN,202
Burleigh,write-in,274
Cass,OBAMA,34712
Cass,ROMNEY,36855
Cass,GOODE,196
Cass,JOHNSON,1316
Cass,STEIN,346
Cass,write-in,430
Cavalier,OBAMA,818
Cavalier,ROMNEY,1195
Cavalier,GOODE,12
Cavalier,JOHNSON,24
Cavalier,STEIN,9
Cavalier,write-in,11
Dickey,OBAMA,853
Dickey,ROMNEY,1610
Dickey,GOODE,17
Dickey,JOHNSON,38
Dickey,STEIN,8
Dickey,write-in,9
Divide,OBAMA,385
Divide,ROMNEY,733
Divide,GOODE,10
Divide,JOHNSON,21
Divide,STEIN,7
Divide,write-in,6
Dunn,OBAMA,508
Dunn,ROMNEY,1506
Dunn,GOODE,4
Dunn,JOHNSON,6
Dunn,STEIN,5
Dunn,write-in,5
Eddy,OBAMA,486
Eddy,ROMNEY,634
Eddy,GOODE,2
Eddy,JOHNSON,24
Eddy,STEIN,6
Eddy,write-in,5
Emmons,OBAMA,383
Emmons,ROMNEY,1435
Emmons,GOODE,12
Emmons,JOHNSON,31
Emmons,STEIN,6
Emmons,write-in,17
Foster,OBAMA,607
Foster,ROMNEY,1030
Foster,GOODE,8
Foster,JOHNSON,31
Foster,STEIN,3
Foster,write-in,3
Golden Valley,OBAMA,162
Golden Valley,ROMNEY,742
Golden Valley,GOODE,4
Golden Valley,JOHNSON,18
