county,candidate,votes
Adams,Mitt Romney,8316
Adams,Barack Obama,4062
Adams,Gary Johnson,180
Adams,Randall A. Terry,46
Adams,Scattering,66
Antelope,Mitt Romney,2596
Antelope,Barack Obama,571
Antelope,Gary Johnson,39
Antelope,Randall A. Terry,15
Antelope,Scattering,11
Arthur,Mitt Romney,227
Arthur,Barack Obama,30
Arthur,Gary Johnson,4
Arthur,Scattering,1
Banner,Mitt Romney,346
Banner,Barack Obama,55
Banner,Gary Johnson,6
Banner,Randall A. Terry,2
Banner,Scattering,2
Blaine,Mitt Romney,268
Blaine,Barack Obama,29
Blaine,Gary Johnson,4
Blaine,Scattering,2
Boone,Mitt Romney,2138
Boone,Barack Obama,615
Boone,Gary Johnson,31
Boone,Randall A. Terry,17
Boone,Scattering,5
Box Butte,Mitt Romney,2869
Box Butte,Barack Obama,1692
Box Butte,Gary Johnson,96
Box Butte,Randall A. Terry,24
Box Butte,Scattering,24
Boyd,Mitt Romney,873
Boyd,Barack Obama,188
Boyd,Gary Johnson,5
Boyd,Randall A. Terry,5
Brown,Mitt Romney,1302
Brown,Barack Obama,224
Brown,Gary Johnson,17
Brown,Randall A. Terry,7
Brown,Scattering,5
Buffalo,Mitt Romney,13570
Buffalo,Barack Obama,5365
Buffalo,Gary Johnson,356
Buffalo,Randall A. Terry,64
Buffalo,Scattering,98
Burt,Mitt Romney,2029
Burt,Barack Obama,1291
Burt,Gary Johnson,33
Burt,Randall A. Terry,14
Burt,Scattering,8
Butler,Mitt Romney,2738
Butler,Barack Obama,1045
Butler,Gary Johnson,51
Butler,Randall A. Terry,11
Butler,Scattering,14
Cass,Mitt Romney,7556
Cass,Barack Obama,4367
Cass,Gary Johnson,174
Cass,Randall A. Terry,30
Cass,Scattering,53
Cedar,Mitt Romney,3278
Cedar,Barack Obama,958
Cedar,Gary Johnson,61
Cedar,Randall A. Terry,16
Cedar,Scattering,21
Chase,Mitt Romney,1584
Chase,Barack Obama,254
Chase,Gary Johnson,17
Chase,Randall A. Terry,7
Chase,Scattering,5
