county,candidate,votes
ATLANTIC,BARACK OBAMA,65600
BERGEN,BARACK OBAMA,212381
BURLINGTON,BARACK OBAMA,126376
CAMDEN,BARACK OBAMA,153682
CAPE MAY,BARACK OBAMA,21650
CUMBERLAND,BARACK OBAMA,34055
ESSEX,BARACK OBAMA,235166
GLOUCESTER,BARACK OBAMA,74013
HUDSON,BARACK OBAMA,152896
HUNTERDON,BARACK OBAMA,26876
MERCER,BARACK OBAMA,104366
MIDDLESEX,BARACK OBAMA,190555
MONMOUTH,BARACK OBAMA,133145
MORRIS,BARACK OBAMA,100146
OCEAN,BARACK OBAMA,102118
PASSAIC,BARACK OBAMA,115907
SALEM,BARACK OBAMA,14719
SOMERSET,BARACK OBAMA,74546
SUSSEX,BARACK OBAMA,26091
UNION,BARACK OBAMA,139752
WARREN,BARACK OBAMA,18746
ATLANTIC,MITT ROMNEY,46522
BERGEN,MITT ROMNEY,168924
BURLINGTON,MITT ROMNEY,87400
CAMDEN,MITT ROMNEY,69476
CAPE MAY,MITT ROMNEY,25778
CUMBERLAND,MITT ROMNEY,20658
ESSEX,MITT ROMNEY,64950
GLOUCESTER,MITT ROMNEY,59456
HUDSON,MITT ROMNEY,42312
HUNTERDON,MITT ROMNEY,38687
MERCER,MITT ROMNEY,47353
MIDDLESEX,MITT ROMNEY,107310
MONMOUTH,MITT ROMNEY,147513
MORRIS,MITT ROMNEY,124947
OCEAN,MITT ROMNEY,146327
PASSAIC,MITT ROMNEY,64519
SALEM,MITT ROMNEY,14719
SOMERSET,MITT ROMNEY,66559
SUSSEX,MITT ROMNEY,40620
UNION,MITT ROMNEY,68314
WARREN,MITT ROMNEY,25744
ATLANTIC,GARY JOHNSON,579
BERGEN,GARY JOHNSON,1749
BURLINGTON,GARY JOHNSON,1367
CAMDEN,GARY JOHNSON,1250
CAPE MAY,GARY JOHNSON,253
CUMBERLAND,GARY JOHNSON,283
ESSEX,GARY JOHNSON,962
GLOUCESTER,GARY JOHNSON,1040
HUDSON,GARY JOHNSON,1000
HUNTERDON,GARY JOHNSON,549
MERCER,GARY JOHNSON,915
MIDDLESEX,GARY JOHNSON,1851
MONMOUTH,GARY JOHNSON,2228
MORRIS,GARY JOHNSON,1375
OCEAN,GARY JOHNSON,1463
PASSAIC,GARY JOHNSON,716
SALEM,GARY JOHNSON,248
SOMERSET,GARY JOHNSON,1088
SUSSEX,GARY JOHNSON,757
UNION,GARY JOHNSON,952
WARREN,GARY JOHNSON,410
ATLANTIC,JILL STEIN,203
BERGEN,JILL STEIN,1269
BURLINGTON,JILL STEIN,528
CAMDEN,JILL STEIN,697
CAPE MAY,JILL STEIN,112
CUMBERLAND,JILL STEIN,117
ESSEX,JILL STEIN,602
GLOUCESTER,JILL STEIN,539
HUDSON,JILL STEIN,674
HUNTERDON,JILL STEIN,238
MERCER,JILL STEIN,530
MIDDLESEX,JILL STEIN,852
MONMOUTH,JILL STEIN,708
MORRIS,JILL STEIN,485
OCEAN,JILL STEIN,507
PASSAIC,JILL STEIN,514
SALEM,JILL STEIN,121
SOMERSET,JILL STEIN,358
SUSSEX,JILL STEIN,255
UNION,JILL STEIN,410
WARREN,JILL STEIN,167
ATLANTIC,VIRGIL GOODE,60
BERGEN,VIRGIL GOODE,122
BURLINGTON,VIRGIL GOODE,98
CAMDEN,VIRGIL GOODE,136
CAPE MAY,VIRGIL GOODE,90
CUMBERLAND,VIRGIL GOODE,60
ESSEX,VIRGIL GOODE,88
GLOUCESTER,VIRGIL GOODE,67
HUDSON,VIRGIL GOODE,67
HUNTERDON,VIRGIL GOODE,28
MERCER,VIRGIL GOODE,168
MIDDLESEX,VIRGIL GOODE,357
MONMOUTH,VIRGIL GOODE,103
MORRIS,VIRGIL GOODE,86
OCEAN,VIRGIL GOODE,99
PASSAIC,VIRGIL GOODE,94
SALEM,VIRGIL GOODE,18
SOMERSET,VIRGIL GOODE,54
SUSSEX,VIRGIL GOODE,50
UNION,VIRGIL GOODE,178
WARREN,VIRGIL GOODE,40
ATLANTIC,ROSS C. (ROCKY) ANDERSON,94
BERGEN,ROSS C. (ROCKY) ANDERSON,193
BURLINGTON,ROSS C. (ROCKY) ANDERSON,68
CAMDEN,ROSS C. (ROCKY) ANDERSON,101
CAPE MAY,ROSS C. (ROCKY) ANDERSON,14
CUMBERLAND,ROSS C. (ROCKY) ANDERSON,62
ESSEX,ROSS C. (ROCKY) ANDERSON,88
GLOUCESTER,ROSS C. (ROCKY) ANDERSON,26
HUDSON,ROSS C. (ROCKY) ANDERSON,145
HUNTERDON,ROSS C. (ROCKY) ANDERSON,43
MERCER,ROSS C. (ROCKY) ANDERSON,76
MIDDLESEX,ROSS C. (ROCKY) ANDERSON,145
MONMOUTH,ROSS C. (ROCKY) ANDERSON,121
MORRIS,ROSS C. (ROCKY) ANDERSON,76
OCEAN,ROSS C. (ROCKY) ANDERSON,93
PASSAIC,ROSS C. (ROCKY) ANDERSON,68
SALEM,ROSS C. (ROCKY) ANDERSON,25
SOMERSET,ROSS C. (ROCKY) ANDERSON,74
SUSSEX,ROSS C. (ROCKY) ANDERSON,63
UNION,ROSS C. (ROCKY) ANDERSON,79
WARREN,ROSS C. (ROCKY) ANDERSON,69
ATLANTIC,JEFF BOSS,25
BERGEN,JEFF BOSS,82
BURLINGTON,JEFF BOSS,11
CAMDEN,JEFF BOSS,22
CAPE MAY,JEFF BOSS,3
CUMBERLAND,JEFF BOSS,11
ESSEX,JEFF BOSS,118
GLOUCESTER,JEFF BOSS,26
HUDSON,JEFF BOSS,38
HUNTERDON,JEFF BOSS,30
MERCER,JEFF BOSS,24
MIDDLESEX,JEFF BOSS,83
MONMOUTH,JEFF BOSS,44
MORRIS,JEFF BOSS,114
OCEAN,JEFF BOSS,242
PASSAIC,JEFF BOSS,33
SALEM,JEFF BOSS,2
SOMERSET,JEFF BOSS,10
SUSSEX,JEFF BOSS,24
UNION,JEFF BOSS,67
WARREN,JEFF BOSS,15
ATLANTIC,JAMES HARRIS,28
BERGEN,JAMES HARRIS,63
BURLINGTON,JAMES HARRIS,25
CAMDEN,JAMES HARRIS,19
CAPE MAY,JAMES HARRIS,11
CUMBERLAND,JAMES HARRIS,14
ESSEX,JAMES HARRIS,45
GLOUCESTER,JAMES HARRIS,14
HUDSON,JAMES HARRIS,53
HUNTERDON,JAMES HARRIS,21
MERCER,JAMES HARRIS,23
MIDDLESEX,JAMES HARRIS,70
MONMOUTH,JAMES HARRIS,57
MORRIS,JAMES HARRIS,55
OCEAN,JAMES HARRIS,18
PASSAIC,JAMES HARRIS,37
SALEM,JAMES HARRIS,10
SOMERSET,JAMES HARRIS,74
SUSSEX,JAMES HARRIS,18
UNION,JAMES HARRIS,33
WARREN,JAMES HARRIS,21
ATLANTIC,MERLIN MILLER,58
BERGEN,MERLIN MILLER,56
