county,candidate,votes
SANTA FE,BARACK OBAMA AND JOE BIDEN,50872
SANTA FE,MITT ROMNEY AND PAUL RYAN,15500
SANTA FE,VIRGIL GOODE AND JIM CLYMER,42
SANTA FE,GARY JOHNSON AND JAMES P. GRAY,2277
SANTA FE,ROSS C. ROCKY ANDERSON AND LUIS J. RODRIGUEZ,99
SANTA FE,JILL STEIN AND CHERI HONKALA,455
BERNALILLO,BARACK OBAMA AND JOE BIDEN,150739
BERNALILLO,MITT ROMNEY AND PAUL RYAN,106408
BERNALILLO,VIRGIL GOODE AND JIM CLYMER,274
BERNALILLO,GARY JOHNSON AND JAMES P. GRAY,12206
BERNALILLO,ROSS C. ROCKY ANDERSON AND LUIS J. RODRIGUEZ,350
BERNALILLO,JILL STEIN AND CHERI HONKALA,992
EDDY,BARACK OBAMA AND JOE BIDEN,6142
EDDY,MITT ROMNEY AND PAUL RYAN,12583
EDDY,VIRGIL GOODE AND JIM CLYMER,24
EDDY,GARY JOHNSON AND JAMES P. GRAY,462
EDDY,ROSS C. ROCKY ANDERSON AND LUIS J. RODRIGUEZ,27
EDDY,JILL STEIN AND CHERI HONKALA,31
CHAVES,BARACK OBAMA AND JOE BIDEN,6604
CHAVES,MITT ROMNEY AND PAUL RYAN,13088
CHAVES,VIRGIL GOODE AND JIM CLYMER,29
CHAVES,GARY JOHNSON AND JAMES P. GRAY,521
CHAVES,ROSS C. ROCKY ANDERSON AND LUIS J. RODRIGUEZ,20
CHAVES,JILL STEIN AND CHERI HONKALA,30
CURRY,BARACK OBAMA AND JOE BIDEN,4022
CURRY,MITT ROMNEY AND PAUL RYAN,9251
CURRY,VIRGIL GOODE AND JIM CLYMER,16
CURRY,GARY JOHNSON AND JAMES P. GRAY,291
CURRY,ROSS C. ROCKY ANDERSON AND LUIS J. RODRIGUEZ,18
CURRY,JILL STEIN AND CHERI HONKALA,27
LEA,BARACK OBAMA AND JOE BIDEN,4080
LEA,MITT ROMNEY AND PAUL RYAN,12548
LEA,VIRGIL GOODE AND JIM CLYMER,29
LEA,GARY JOHNSON AND JAMES P. GRAY,310
LEA,ROSS C. ROCKY ANDERSON AND LUIS J. RODRIGUEZ,22
LEA,JILL STEIN AND CHERI HONKALA,26
DONA ANA,BARACK OBAMA AND JOE BIDEN,37139
DONA ANA,MITT ROMNEY AND PAUL RYAN,27322
DONA ANA,VIRGIL GOODE AND JIM CLYMER,93
DONA ANA,GARY JOHNSON AND JAMES P. GRAY,1497
