county,candidate,votes
Carson City,"GOODE, VIRGIL",136
Carson City,"JOHNSON, GARY",286
Carson City,"Obama, Barack",10291
Carson City,"Romney, Mitt",12394
Carson City,None of these Candidates,212
Churchill,"GOODE, VIRGIL",76
Churchill,"JOHNSON, GARY",84
Churchill,"Obama, Barack",2961
Churchill,"Romney, Mitt",7061
Churchill,None of these Candidates,83
Clark,"GOODE, VIRGIL",1690
Clark,"JOHNSON, GARY",7064
Clark,"Obama, Barack",389936
Clark,"Romney, Mitt",289053
Clark,None of these Candidates,3447
Douglas,"GOODE, VIRGIL",73
Douglas,"JOHNSON, GARY",275
Douglas,"Obama, Barack",9297
Douglas,"Romney, Mitt",16276
Douglas,None of these Candidates,154
Elko,"GOODE, VIRGIL",147
Elko,"JOHNSON, GARY",174
Elko,"Obama, Barack",3511
Elko,"Romney, Mitt",12014
Elko,None of these Candidates,140
Esmeralda,"GOODE, VIRGIL",9
Esmeralda,"JOHNSON, GARY",14
Esmeralda,"Obama, Barack",92
Esmeralda,"Romney, Mitt",317
Esmeralda,None of these Candidates,3
Eureka,"GOODE, VIRGIL",10
Eureka,"JOHNSON, GARY",9
Eureka,"Obama, Barack",107
Eureka,"Romney, Mitt",663
Eureka,None of these Candidates,19
Humboldt,"GOODE, VIRGIL",56
Humboldt,"JOHNSON, GARY",61
Humboldt,"Obama, Barack",1737
Humboldt,"Romney, Mitt",3810
Humboldt,None of these Candidates,80
Lander,"GOODE, VIRGIL",23
Lander,"JOHNSON, GARY",11
Lander,"Obama, Barack",534
Lander,"Romney, Mitt",1580
Lander,None of these Candidates,17
Lincoln,"GOODE, VIRGIL",25
Lincoln,"JOHNSON, GARY",22
Lincoln,"Obama, Barack",400
Lincoln,"Romney, Mitt",1691
Lincoln,None of these Candidates,14
Lyon,"GOODE, VIRGIL",162
Lyon,"JOHNSON, GARY",235
Lyon,"Obama, Barack",7380
Lyon,"Romney, Mitt",13520
Lyon,None of these Candidates,168
Mineral,"GOODE, VIRGIL",33
Mineral,"JOHNSON, GARY",20
Mineral,"Obama, Barack",863
Mineral,"Romney, Mitt",1080
Mineral,None of these Candidates,39
Nye,"GOODE, VIRGIL",172
Nye,"JOHNSON, GARY",279
Nye,"Obama, Barack",6320
Nye,"Romney, Mitt",10566
Nye,None of these Candidates,185
Pershing,"GOODE, VIRGIL",30
Pershing,"JOHNSON, GARY",25
Pershing,"Obama, Barack",632
Pershing,"Romney, Mitt",1167
Pershing,None of these Candidates,30
Storey,"GOODE, VIRGIL",17
Storey,"JOHNSON, GARY",41
Storey,"Obama, Barack",920
Storey,"Romney, Mitt",1321
Storey,None of these Candidates,15
Washoe,"GOODE, VIRGIL",540
Washoe,"JOHNSON, GARY",2332
Washoe,"Obama, Barack",95409
Washoe,"Romney, Mitt",88453
Washoe,None of these Candidates,1121
White Pine,"GOODE, VIRGIL",41
White Pine,"JOHNSON, GARY",36
White Pine,"Obama, Barack",983
White Pine,"Romney, Mitt",2601
White Pine,None of these Candidates,43
