county,candidate,votes
Albany,Obama/Biden (DEM),83978
Albany,Romney/Ryan (REP),40210
Albany,Romney/Ryan (CON),4854
Albany,Obama/Biden (WOR),3577
Albany,Stein/Honkala (GRN),1238
Albany,Lindsay/Osorio (PSL),52
Albany,Johnson/Gray (LBT),1361
Albany,Good/Clymer (CST),164
Allegany,Obama/Biden (DEM),5866
Allegany,Romney/Ryan (REP),9377
Allegany,Romney/Ryan (CON),1013
Allegany,Obama/Biden (WOR),273
Allegany,Stein/Honkala (GRN),162
Allegany,Lindsay/Osorio (PSL),8
Allegany,Johnson/Gray (LBT),168
Allegany,Good/Clymer (CST),28
Broome,Obama/Biden (DEM),39971
Broome,Romney/Ryan (REP),34708
Broome,Romney/Ryan (CON),2933
Broome,Obama/Biden (WOR),1999
Broome,Stein/Honkala (GRN),723
Broome,Lindsay/Osorio (PSL),21
Broome,Johnson/Gray (LBT),915
Broome,Good/Clymer (CST),106
Cattaraugus,Obama/Biden (DEM),12040
Cattaraugus,Romney/Ryan (REP),14655
Cattaraugus,Romney/Ryan (CON),1914
Cattaraugus,Obama/Biden (WOR),609
Cattaraugus,Stein/Honkala (GRN),201
Cattaraugus,Lindsay/Osorio (PSL),13
Cattaraugus,Johnson/Gray (LBT),274
Cattaraugus,Good/Clymer (CST),59
Cayuga,Obama/Biden (DEM),16105
Cayuga,Romney/Ryan (REP),11646
Cayuga,Romney/Ryan (CON),1808
Cayuga,Obama/Biden (WOR),902
Cayuga,Stein/Honkala (GRN),243
Cayuga,Lindsay/Osorio (PSL),11
Cayuga,Johnson/Gray (LBT),285
Cayuga,Good/Clymer (CST),81
Chautauqua,Obama/Biden (DEM),22463
Chautauqua,Romney/Ryan (REP),24266
Chautauqua,Romney/Ryan (CON),3705
Chautauqua,Obama/Biden (WOR),1349
Chautauqua,Stein/Honkala (GRN),324
Chautauqua,Lindsay/Osorio (PSL),17
Chautauqua,Johnson/Gray (LBT),504
Chautauqua,Good/Clymer (CST),58
Chemung,Obama/Biden (DEM),16205
Chemung,Romney/Ryan (REP),16138
Chemung,Romney/Ryan (CON),1474
Chemung,Obama/Biden (WOR),592
Chemung,Stein/Honkala (GRN),151
Chemung,Lindsay/Osorio (PSL),4
Chemung,Johnson/Gray (LBT),310
Chemung,Good/Clymer (CST),73
Chenango,Obama/Biden (DEM),8642
Chenango,Romney/Ryan (REP),8922
Chenango,Romney/Ryan (CON),791
Chenango,Obama/Biden (WOR),474
Chenango,Stein/Honkala (GRN),157
Chenango,Lindsay/Osorio (PSL),6
Chenango,Johnson/Gray (LBT),218
Chenango,Good/Clymer (CST),46
Clinton,Obama/Biden (DEM),18072
Clinton,Romney/Ryan (REP),9892
Clinton,Romney/Ryan (CON),1223
Clinton,Obama/Biden (WOR),889
Clinton,Stein/Honkala (GRN),193
Clinton,Lindsay/Osorio (PSL),9
Clinton,Johnson/Gray (LBT),260
Clinton,Good/Clymer (CST),39
Columbia,Obama/Biden (DEM),15241
Columbia,Romney/Ryan (REP),10600
Columbia,Romney/Ryan (CON),1625
Columbia,Obama/Biden (WOR),980
Columbia,Stein/Honkala (GRN),259
Columbia,Lindsay/Osorio (PSL),14
Columbia,Johnson/Gray (LBT),299
Columbia,Good/Clymer (CST),41
Cortland,Obama/Biden (DEM),9965
Cortland,Romney/Ryan (REP),7859
Cortland,Romney/Ryan (CON),836
Cortland,Obama/Biden (WOR),517
Cortland,Stein/Honkala (GRN),161
Cortland,Lindsay/Osorio (PSL),7
Cortland,Johnson/Gray (LBT),187
Cortland,Good/Clymer (CST),29
Delaware,Obama/Biden (DEM),7881
Delaware,Romney/Ryan (REP),9086
Delaware,Romney/Ryan (CON),852
Delaware,Obama/Biden (WOR),423
Delaware,Stein/Honkala (GRN),199
Delaware,Lindsay/Osorio (PSL),3
Delaware,Johnson/Gray (LBT),170
Delaware,Good/Clymer (CST),24
Dutchess,Obama/Biden (DEM),62063
Dutchess,Romney/Ryan (REP),48264
Dutchess,Romney/Ryan (CON),7761
Dutchess,Obama/Biden (WOR),3249
Dutchess,Stein/Honkala (GRN),785
Dutchess,Lindsay/Osorio (PSL),51
Dutchess,Johnson/Gray (LBT),1105
Dutchess,Good/Clymer (CST),146
Erie,Obama/Biden (DEM),227325
Erie,Romney/Ryan (REP),149683
Erie,Romney/Ryan (CON),19992
Erie,Obama/Biden (WOR),10031
Erie,Stein/Honkala (GRN),2898
Erie,Lindsay/Osorio (PSL),142
Erie,Johnson/Gray (LBT),3562
Erie,Good/Clymer (CST),541
Essex,Obama/Biden (DEM),9368
Essex,Romney/Ryan (REP),6076
Essex,Romney/Ryan (CON),571
Essex,Obama/Biden (WOR),416
