fips,county,candidate,votes
39001,Adams,"Alexander, Stewart (S)",8
39001,Adams,"Duncan, Richard (I)",55
39001,Adams,"Goode, Virgil (C)",32
39001,Adams,"Johnson, Gary (L)",98
39001,Adams,"Obama, Barack (D)",3976
39001,Adams,"Romney, Mitt (R)",6865
39001,Adams,"Stein, Jill (G)",55
39001,Adams,"Daniels, Susan (WI)",0
39001,Adams,"Keyton, Nelson (WI)",0
39001,Adams,"Reed, Jill (WI)",0
39001,Adams,"Robertson, Platt (WI)",0
39001,Adams,"Randall, Terry (WI)",0
39001,Adams,"Vargo, Mike (WI)",0
39003,Allen,"Alexander, Stewart (S)",22
39003,Allen,"Duncan, Richard (I)",110
39003,Allen,"Goode, Virgil (C)",60
39003,Allen,"Johnson, Gary (L)",464
39003,Allen,"Obama, Barack (D)",17913
39003,Allen,"Romney, Mitt (R)",29502
39003,Allen,"Stein, Jill (G)",164
39003,Allen,"Daniels, Susan (WI)",0
39003,Allen,"Keyton, Nelson (WI)",0
39003,Allen,"Reed, Jill (WI)",0
39003,Allen,"Robertson, Platt (WI)",0
39003,Allen,"Randall, Terry (WI)",0
39003,Allen,"Vargo, Mike (WI)",0
39005,Ashland,"Alexander, Stewart (S)",19
39005,Ashland,"Duncan, Richard (I)",84
39005,Ashland,"Goode, Virgil (C)",91
39005,Ashland,"Johnson, Gary (L)",221
39005,Ashland,"Obama, Barack (D)",8281
39005,Ashland,"Romney, Mitt (R)",15519
39005,Ashland,"Stein, Jill (G)",115
39005,Ashland,"Daniels, Susan (WI)",0
39005,Ashland,"Keyton, Nelson (WI)",0
39005,Ashland,"Reed, Jill (WI)",0
39005,Ashland,"Robertson, Platt (WI)",0
39005,Ashland,"Randall, Terry (WI)",0
39005,Ashland,"Vargo, Mike (WI)",0
39007,Ashtabula,"Alexander, Stewart (S)",34
39007,Ashtabula,"Duncan, Richard (I)",176
39007,Ashtabula,"Goode, Virgil (C)",94
39007,Ashtabula,"Johnson, Gary (L)",433
39007,Ashtabula,"Obama, Barack (D)",23803
39007,Ashtabula,"Romney, Mitt (R)",18298
39007,Ashtabula,"Stein, Jill (G)",224
39007,Ashtabula,"Daniels, Susan (WI)",0
39007,Ashtabula,"Keyton, Nelson (WI)",1
39007,Ashtabula,"Reed, Jill (WI)",1
39007,Ashtabula,"Robertson, Platt (WI)",0
39007,Ashtabula,"Randall, Terry (WI)",0
39007,Ashtabula,"Vargo, Mike (WI)",0
39009,Athens,"Alexander, Stewart (S)",21
39009,Athens,"Duncan, Richard (I)",102
39009,Athens,"Goode, Virgil (C)",43
39009,Athens,"Johnson, Gary (L)",434
39009,Athens,"Obama, Barack (D)",18307
39009,Athens,"Romney, Mitt (R)",8543
39009,Athens,"Stein, Jill (G)",188
39009,Athens,"Daniels, Susan (WI)",0
39009,Athens,"Keyton, Nelson (WI)",0
39009,Athens,"Reed, Jill (WI)",0
39009,Athens,"Robertson, Platt (WI)",0
39009,Athens,"Randall, Terry (WI)",0
39009,Athens,"Vargo, Mike (WI)",0
39011,Auglaize,"Alexander, Stewart (S)",9
39011,Auglaize,"Duncan, Richard (I)",66
39011,Auglaize,"Goode, Virgil (C)",38
39011,Auglaize,"Johnson, Gary (L)",209
39011,Auglaize,"Obama, Barack (D)",5831
39011,Auglaize,"Romney, Mitt (R)",17169
39011,Auglaize,"Stein, Jill (G)",83
39011,Auglaize,"Daniels, Susan (WI)",0
39011,Auglaize,"Keyton, Nelson (WI)",0
39011,Auglaize,"Reed, Jill (WI)",0
39011,Auglaize,"Robertson, Platt (WI)",0
39011,Auglaize,"Randall, Terry (WI)",0
39011,Auglaize,"Vargo, Mike (WI)",0
