county,candidate,votes
ADAIR,BARACK OBAMA,2127
ADAIR,MITT ROMNEY,4381
ALFALFA,BARACK OBAMA,322
ALFALFA,MITT ROMNEY,1761
ATOKA,BARACK OBAMA,1243
ATOKA,MITT ROMNEY,3538
BEAVER,BARACK OBAMA,244
BEAVER,MITT ROMNEY,2062
BECKHAM,BARACK OBAMA,1417
BECKHAM,MITT ROMNEY,5508
BLAINE,BARACK OBAMA,992
BLAINE,MITT ROMNEY,2824
BRYAN,BARACK OBAMA,3681
BRYAN,MITT ROMNEY,9520
CADDO,BARACK OBAMA,3164
CADDO,MITT ROMNEY,5687
CANADIAN,BARACK OBAMA,10537
CANADIAN,MITT ROMNEY,35625
CARTER,BARACK OBAMA,4908
CARTER,MITT ROMNEY,12214
CHEROKEE,BARACK OBAMA,6144
CHEROKEE,MITT ROMNEY,8162
CHOCTAW,BARACK OBAMA,1494
CHOCTAW,MITT ROMNEY,3572
CIMARRON,BARACK OBAMA,115
CIMARRON,MITT ROMNEY,1082
CLEVELAND,BARACK OBAMA,34771
CLEVELAND,MITT ROMNEY,59116
COAL,BARACK OBAMA,649
COAL,MITT ROMNEY,1710
COMANCHE,BARACK OBAMA,12521
COMANCHE,MITT ROMNEY,17664
COTTON,BARACK OBAMA,657
COTTON,MITT ROMNEY,1796
CRAIG,BARACK OBAMA,1747
CRAIG,MITT ROMNEY,3559
CREEK,BARACK OBAMA,7128
CREEK,MITT ROMNEY,18986
CUSTER,BARACK OBAMA,2359
CUSTER,MITT ROMNEY,7446
DELAWARE,BARACK OBAMA,4196
DELAWARE,MITT ROMNEY,10080
DEWEY,BARACK OBAMA,301
DEWEY,MITT ROMNEY,1792
ELLIS,BARACK OBAMA,226
ELLIS,MITT ROMNEY,1575
GARFIELD,BARACK OBAMA,4733
GARFIELD,MITT ROMNEY,15177
GARVIN,BARACK OBAMA,2559
GARVIN,MITT ROMNEY,6925
GRADY,BARACK OBAMA,4786
GRADY,MITT ROMNEY,14833
GRANT,BARACK OBAMA,393
GRANT,MITT ROMNEY,1675
GREER,BARACK OBAMA,488
GREER,MITT ROMNEY,1344
HARMON,BARACK OBAMA,264
HARMON,MITT ROMNEY,659
HARPER,BARACK OBAMA,173
HARPER,MITT ROMNEY,1261
HASKELL,BARACK OBAMA,1175
HASKELL,MITT ROMNEY,3069
HUGHES,BARACK OBAMA,1370
HUGHES,MITT ROMNEY,2838
JACKSON,BARACK OBAMA,1954
JACKSON,MITT ROMNEY,5965
JEFFERSON,BARACK OBAMA,605
