county,candidate,votes
Baker,Obama,2369 
Baker,Stein,91 
Baker,Anderson,22
Baker,Johnson,142
Baker,Romney,5702 
Baker,Christensen,41
Baker,Misc,81
Benton,Obama,27776 
Benton,Stein,775 
Benton,Anderson,104
Benton,Johnson,736
Benton,Romney,14991 
Benton,Christensen,78
Benton,Misc,342
Clackamas,Obama,95493 
Clackamas,Stein,1398 
Clackamas,Anderson,192
Clackamas,Johnson,2129
Clackamas,Romney,88592 
Clackamas,Christensen,370
Clackamas,Misc,1158
Clatsop,Obama,9861 
Clatsop,Stein,203 
Clatsop,Anderson,40
Clatsop,Johnson,215
Clatsop,Romney,7249 
Clatsop,Christensen,53
Clatsop,Misc,197
Columbia,Obama,12004 
Columbia,Stein,241 
Columbia,Anderson,34
Columbia,Johnson,401
Columbia,Romney,10772 
Columbia,Christensen,147
Columbia,Misc,276
Coos,Obama,12845 
Coos,Stein,296 
Coos,Anderson,66
Coos,Johnson,425
Coos,Romney,14673 
Coos,Christensen,129
Coos,Misc,252
Crook,Obama,3104 
Crook,Stein,74 
Crook,Anderson,22
Crook,Johnson,126
Crook,Romney,6790 
Crook,Christensen,39
Crook,Misc,75
Curry,Obama,4625 
Curry,Stein,98 
Curry,Anderson,22
Curry,Johnson,176
Curry,Romney,6598 
Curry,Christensen,48
Curry,Misc,111
Deschutes,Obama,36961 
Deschutes,Stein,600 
Deschutes,Anderson,102
Deschutes,Johnson,1038
Deschutes,Romney,42463 
Deschutes,Christensen,173
Deschutes,Misc,563
Douglas,Obama,17145 
Douglas,Stein,468 
Douglas,Anderson,91
Douglas,Johnson,688
Douglas,Romney,30776 
Douglas,Christensen,211
Douglas,Misc,424
Gilliam,Obama,371 
Gilliam,Stein,6 
Gilliam,Anderson,1
Gilliam,Johnson,20
Gilliam,Romney,639 
Gilliam,Christensen,9
Gilliam,Misc,15
Grant,Obama,853 
Grant,Stein,29 
Grant,Anderson,7
Grant,Johnson,55
Grant,Romney,2926 
Grant,Christensen,10
Grant,Misc,31
Harney,Obama,832 
Harney,Stein,26 
Harney,Anderson,4
Harney,Johnson,55
Harney,Romney,2607 
Harney,Christensen,22
Harney,Misc,37
Hood River,Obama,6058 
Hood River,Stein,126 
Hood River,Anderson,34
Hood River,Johnson,113
Hood River,Romney,3429 
Hood River,Christensen,18
Hood River,Misc,60
Jackson,Obama,44468 
Jackson,Stein,953 
Jackson,Anderson,155
Jackson,Johnson,1433
Jackson,Romney,49020 
Jackson,Christensen,252
Jackson,Misc,846
Jefferson,Obama,3301 
Jefferson,Stein,54 
Jefferson,Anderson,13
Jefferson,Johnson,77
Jefferson,Romney,4642 
Jefferson,Christensen,21
Jefferson,Misc,67
Josephine,Obama,14953 
Josephine,Stein,340 
Josephine,Anderson,64
Josephine,Johnson,532
Josephine,Romney,23673 
Josephine,Christensen,179
Josephine,Misc,497
Klamath,Obama,8302 
Klamath,Stein,230 
Klamath,Anderson,52
Klamath,Johnson,351
Klamath,Romney,18898 
Klamath,Christensen,120
Klamath,Misc,199
Lake,Obama,770 
Lake,Stein,34 
Lake,Anderson,3
Lake,Johnson,48
Lake,Romney,2808 
Lake,Christensen,22
Lake,Misc,25
Lane,Obama,102652 
Lane,Stein,2334 
Lane,Anderson,357
Lane,Johnson,2435
Lane,Romney,62509 
Lane,Christensen,367
Lane,Misc,1196
Lincoln,Obama,13401 
Lincoln,Stein,276 
Lincoln,Anderson,49
Lincoln,Johnson,331
Lincoln,Romney,8686 
Lincoln,Christensen,65
Lincoln,Misc,176
Linn,Obama,20378 
Linn,Stein,573 
Linn,Anderson,88
Linn,Johnson,791
Linn,Romney,28944 
Linn,Christensen,221
Linn,Misc,431
Malheur,Obama,2759 
Malheur,Stein,77 
Malheur,Anderson,18
Malheur,Johnson,136
Malheur,Romney,6851 
Malheur,Christensen,34
Malheur,Misc,81
Marion,Obama,56376 
Marion,Stein,997 
Marion,Anderson,167
Marion,Johnson,1356
Marion,Romney,60190 
Marion,Christensen,359
Marion,Misc,931
Morrow,Obama,1202 
Morrow,Stein,42 
Morrow,Anderson,9
Morrow,Johnson,57
Morrow,Romney,2532 
Morrow,Christensen,17
Morrow,Misc,23
Multnomah,Obama,274887 
Multnomah,Stein,5954 
Multnomah,Anderson,1036
Multnomah,Johnson,4695
Multnomah,Romney,75302 
Multnomah,Christensen,498
Multnomah,Misc,2350
Polk,Obama,16292 
Polk,Stein,336 
Polk,Anderson,52
Polk,Johnson,400
Polk,Romney,17819 
Polk,Christensen,104
Polk,Misc,254
Sherman,Obama,319 
Sherman,Stein,4 
Sherman,Anderson,1
Sherman,Johnson,19
Sherman,Romney,678 
Sherman,Christensen,1
Sherman,Misc,4
Tillamook,Obama,6293 
Tillamook,Stein,171 
Tillamook,Anderson,27
Tillamook,Johnson,171
Tillamook,Romney,5684 
Tillamook,Christensen,61
Tillamook,Misc,112
Umatilla,Obama,8584 
Umatilla,Stein,190 
Umatilla,Anderson,53
Umatilla,Johnson,354
Umatilla,Romney,15499 
Umatilla,Christensen,107
Umatilla,Misc,182
Union,Obama,3973 
Union,Stein,105 
Union,Anderson,20
Union,Johnson,184
Union,Romney,7636 
Union,Christensen,50
Union,Misc,102
Wallowa,Obama,1253 
Wallowa,Stein,32 
Wallowa,Anderson,13
Wallowa,Johnson,45
Wallowa,Romney,2804 
Wallowa,Christensen,15
Wallowa,Misc,43
Wasco,Obama,5211 
Wasco,Stein,127 
Wasco,Anderson,23
Wasco,Johnson,151
Wasco,Romney,5229 
Wasco,Christensen,42
Wasco,Misc,90
Washington,Obama,135291 
Washington,Stein,1817 
Washington,Anderson,379
Washington,Johnson,3543
