county,candidate,votes
Adams,"ROMNEY, MITT",26767
Adams,"OBAMA, BARACK",15091
Adams,"JOHNSON, GARY",437
Adams,"STEIN, JILL",162
Allegheny,"OBAMA, BARACK",352687
Allegheny,"ROMNEY, MITT",262039
Allegheny,"JOHNSON, GARY",5196
Allegheny,"STEIN, JILL",2159
Armstrong,"ROMNEY, MITT",20142
Armstrong,"OBAMA, BARACK",9045
Armstrong,"JOHNSON, GARY",297
Armstrong,"STEIN, JILL",118
Beaver,"ROMNEY, MITT",42344
Beaver,"OBAMA, BARACK",37055
Beaver,"JOHNSON, GARY",794
Beaver,"STEIN, JILL",281
Bedford,"ROMNEY, MITT",16702
Bedford,"OBAMA, BARACK",4788
Bedford,"JOHNSON, GARY",143
Bedford,"STEIN, JILL",64
Berks,"ROMNEY, MITT",84702
Berks,"OBAMA, BARACK",83011
Berks,"JOHNSON, GARY",1832
Berks,"STEIN, JILL",775
Blair,"ROMNEY, MITT",33319
Blair,"OBAMA, BARACK",16276
Blair,"JOHNSON, GARY",464
Blair,"STEIN, JILL",182
Bradford,"ROMNEY, MITT",14410
Bradford,"OBAMA, BARACK",8624
Bradford,"JOHNSON, GARY",243
Bradford,"STEIN, JILL",149
Bucks,"OBAMA, BARACK",160521
Bucks,"ROMNEY, MITT",156579
Bucks,"JOHNSON, GARY",2863
Bucks,"STEIN, JILL",1053
Butler,"ROMNEY, MITT",59761
Butler,"OBAMA, BARACK",28550
Butler,"JOHNSON, GARY",819
Butler,"STEIN, JILL",315
Cambria,"ROMNEY, MITT",35163
Cambria,"OBAMA, BARACK",24249
Cambria,"JOHNSON, GARY",712
Cambria,"STEIN, JILL",402
Cameron,"ROMNEY, MITT",1359
Cameron,"OBAMA, BARACK",724
Cameron,"JOHNSON, GARY",19
Cameron,"STEIN, JILL",9
Carbon,"ROMNEY, MITT",13504
Carbon,"OBAMA, BARACK",11580
Carbon,"JOHNSON, GARY",356
Carbon,"STEIN, JILL",141
Centre,"OBAMA, BARACK",34176
Centre,"ROMNEY, MITT",34001
Centre,"JOHNSON, GARY",1049
Centre,"STEIN, JILL",400
Chester,"ROMNEY, MITT",124840
Chester,"OBAMA, BARACK",124311
Chester,"JOHNSON, GARY",2082
Chester,"STEIN, JILL",740
Clarion,"ROMNEY, MITT",10828
Clarion,"OBAMA, BARACK",5056
Clarion,"JOHNSON, GARY",208
Clarion,"STEIN, JILL",94
Clearfield,"ROMNEY, MITT",20347
Clearfield,"OBAMA, BARACK",11121
Clearfield,"JOHNSON, GARY",339
Clearfield,"STEIN, JILL",160
Clinton,"ROMNEY, MITT",7303
Clinton,"OBAMA, BARACK",5734
Clinton,"JOHNSON, GARY",171
Clinton,"STEIN, JILL",57
Columbia,"ROMNEY, MITT",14236
Columbia,"OBAMA, BARACK",10937
Columbia,"JOHNSON, GARY",324
Columbia,"STEIN, JILL",126
Crawford,"ROMNEY, MITT",20901
Crawford,"OBAMA, BARACK",13883
Crawford,"JOHNSON, GARY",436
Crawford,"STEIN, JILL",168
Cumberland,"ROMNEY, MITT",64809
Cumberland,"OBAMA, BARACK",44367
Cumberland,"JOHNSON, GARY",1191
Cumberland,"STEIN, JILL",447
Dauphin,"OBAMA, BARACK",64965
Dauphin,"ROMNEY, MITT",57450
Dauphin,"JOHNSON, GARY",1128
Dauphin,"STEIN, JILL",465
Delaware,"OBAMA, BARACK",171792
Delaware,"ROMNEY, MITT",110853
Delaware,"JOHNSON, GARY",2002
Delaware,"STEIN, JILL",917
Elk,"ROMNEY, MITT",7579
Elk,"OBAMA, BARACK",5463
Elk,"JOHNSON, GARY",117
Elk,"STEIN, JILL",79
Erie,"OBAMA, BARACK",68036
Erie,"ROMNEY, MITT",49025
Erie,"JOHNSON, GARY",1087
Erie,"STEIN, JILL",471
Fayette,"ROMNEY, MITT",26018
Fayette,"OBAMA, BARACK",21971
Fayette,"JOHNSON, GARY",365
Fayette,"STEIN, JILL",151
Forest,"ROMNEY, MITT",1383
Forest,"OBAMA, BARACK",896
Forest,"JOHNSON, GARY",23
Forest,"STEIN, JILL",10
Franklin,"ROMNEY, MITT",43260
Franklin,"OBAMA, BARACK",18995
Franklin,"JOHNSON, GARY",571
Franklin,"STEIN, JILL",252
Fulton,"ROMNEY, MITT",4814
Fulton,"OBAMA, BARACK",1310
Fulton,"JOHNSON, GARY",50
Fulton,"STEIN, JILL",21
Greene,"ROMNEY, MITT",8428
Greene,"OBAMA, BARACK",5852
Greene,"JOHNSON, GARY",116
Greene,"STEIN, JILL",68
Huntingdon,"ROMNEY, MITT",11979
Huntingdon,"OBAMA, BARACK",5409
Huntingdon,"JOHNSON, GARY",135
Huntingdon,"STEIN, JILL",116
Indiana,"ROMNEY, MITT",21257
Indiana,"OBAMA, BARACK",14473
Indiana,"JOHNSON, GARY",385
Indiana,"STEIN, JILL",206
Jefferson,"ROMNEY, MITT",13048
Jefferson,"OBAMA, BARACK",4787
Jefferson,"JOHNSON, GARY",173
Jefferson,"STEIN, JILL",89
Juniata,"ROMNEY, MITT",6862
Juniata,"OBAMA, BARACK",2547
Juniata,"JOHNSON, GARY",83
Juniata,"STEIN, JILL",43
Lackawanna,"OBAMA, BARACK",61838
Lackawanna,"ROMNEY, MITT",35085
Lackawanna,"JOHNSON, GARY",743
Lackawanna,"STEIN, JILL",349
Lancaster,"ROMNEY, MITT",130669
Lancaster,"OBAMA, BARACK",88481
Lancaster,"JOHNSON, GARY",2527
Lancaster,"STEIN, JILL",759
Lawrence,"ROMNEY, MITT",21047
Lawrence,"OBAMA, BARACK",17513
Lawrence,"JOHNSON, GARY",334
Lawrence,"STEIN, JILL",142
Lebanon,"ROMNEY, MITT",35872
Lebanon,"OBAMA, BARACK",19900
Lebanon,"JOHNSON, GARY",589
Lebanon,"STEIN, JILL",219
Lehigh,"OBAMA, BARACK",78283
Lehigh,"ROMNEY, MITT",66874
Lehigh,"JOHNSON, GARY",1331
Lehigh,"STEIN, JILL",514
Luzerne,"OBAMA, BARACK",64307
Luzerne,"ROMNEY, MITT",58325
Luzerne,"JOHNSON, GARY",1261
Luzerne,"STEIN, JILL",546
Lycoming,"ROMNEY, MITT",30658
Lycoming,"OBAMA, BARACK",15203
Lycoming,"JOHNSON, GARY",409
Lycoming,"STEIN, JILL",223
McKean,"ROMNEY, MITT",9545
McKean,"OBAMA, BARACK",5297
McKean,"JOHNSON, GARY",178
McKean,"STEIN, JILL",88
Mercer,"ROMNEY, MITT",25925
Mercer,"OBAMA, BARACK",24232
Mercer,"JOHNSON, GARY",487
Mercer,"STEIN, JILL",219
Mifflin,"ROMNEY, MITT",11939
Mifflin,"OBAMA, BARACK",4273
Mifflin,"JOHNSON, GARY",107
Mifflin,"STEIN, JILL",52
