county,candidate,votes
Abbeville,Mitt Romney / Paul Ryan,5981
Aiken,Mitt Romney / Paul Ryan,44042
Allendale,Mitt Romney / Paul Ryan,838
Anderson,Mitt Romney / Paul Ryan,48709
Bamberg,Mitt Romney / Paul Ryan,2194
Barnwell,Mitt Romney / Paul Ryan,4659
Beaufort,Mitt Romney / Paul Ryan,42687
Berkeley,Mitt Romney / Paul Ryan,38475
Calhoun,Mitt Romney / Paul Ryan,3707
Charleston,Mitt Romney / Paul Ryan,77629
Cherokee,Mitt Romney / Paul Ryan,13314
Chester,Mitt Romney / Paul Ryan,6367
Chesterfield,Mitt Romney / Paul Ryan,8490
Clarendon,Mitt Romney / Paul Ryan,7071
Colleton,Mitt Romney / Paul Ryan,8443
Darlington,Mitt Romney / Paul Ryan,14434
Dillon,Mitt Romney / Paul Ryan,5427
Dorchester,Mitt Romney / Paul Ryan,32531
Edgefield,Mitt Romney / Paul Ryan,6512
Fairfield,Mitt Romney / Paul Ryan,3999
Florence,Mitt Romney / Paul Ryan,28961
Georgetown,Mitt Romney / Paul Ryan,16526
Greenville,Mitt Romney / Paul Ryan,121685
Greenwood,Mitt Romney / Paul Ryan,16348
Hampton,Mitt Romney / Paul Ryan,3312
Horry,Mitt Romney / Paul Ryan,72127
Jasper,Mitt Romney / Paul Ryan,4169
Kershaw,Mitt Romney / Paul Ryan,16324
Lancaster,Mitt Romney / Paul Ryan,19333
Laurens,Mitt Romney / Paul Ryan,14746
Lee,Mitt Romney / Paul Ryan,2832
Lexington,Mitt Romney / Paul Ryan,76662
Marion,Mitt Romney / Paul Ryan,5164
Marlboro,Mitt Romney / Paul Ryan,3676
McCormick,Mitt Romney / Paul Ryan,2467
Newberry,Mitt Romney / Paul Ryan,9260
Oconee,Mitt Romney / Paul Ryan,21611
Orangeburg,Mitt Romney / Paul Ryan,12022
Pickens,Mitt Romney / Paul Ryan,33474
Richland,Mitt Romney / Paul Ryan,53105
Saluda,Mitt Romney / Paul Ryan,5135
Spartanburg,Mitt Romney / Paul Ryan,66969
Sumter,Mitt Romney / Paul Ryan,19274
Union,Mitt Romney / Paul Ryan,6584
Williamsburg,Mitt Romney / Paul Ryan,4824
York,Mitt Romney / Paul Ryan,59546
