county,candidate,votes
Aurora,Obama,556
Aurora,Romney,804
Aurora,Johnson,27
Aurora,Goode,13
Beadle,Obama,2881
Beadle,Romney,4230
Beadle,Johnson,107
Beadle,Goode,45
Bennett,Obama,548
Bennett,Romney,626
Bennett,Johnson,18
Bennett,Goode,11
Bon Homme,Obama,1167
Bon Homme,Romney,1830
Bon Homme,Johnson,55
Bon Homme,Goode,22
Brookings,Obama,5827
Brookings,Romney,6220
Brookings,Johnson,253
Brookings,Goode,100
Brown,Obama,7250
Brown,Romney,8321
Brown,Johnson,409
Brown,Goode,88
Brule,Obama,824
Brule,Romney,1499
Brule,Johnson,37
Brule,Goode,19
Buffalo,Obama,472
Buffalo,Romney,166
Buffalo,Johnson,3
Buffalo,Goode,0
Butte,Obama,1002
Butte,Romney,3073
Butte,Johnson,94
Butte,Goode,39
Campbell,Obama,153
Campbell,Romney,616
Campbell,Johnson,12
Campbell,Goode,6
Charles Mix,Obama,1483
Charles Mix,Romney,2230
Charles Mix,Johnson,30
Charles Mix,Goode,21
Clark,Obama,713
Clark,Romney,1067
Clark,Johnson,27
Clark,Goode,14
Clay,Obama,2955
Clay,Romney,2147
Clay,Johnson,107
Clay,Goode,25
Codington,Obama,4588
Codington,Romney,6696
Codington,Johnson,169
Codington,Goode,71
Corson,Obama,648
Corson,Romney,515
Corson,Johnson,30
Corson,Goode,7
Custer,Obama,1335
Custer,Romney,3062
Custer,Johnson,83
Custer,Goode,40
Davison,Obama,3042
Davison,Romney,4757
Davison,Johnson,125
Davison,Goode,47
Day,Obama,1497
Day,Romney,1320
Day,Johnson,33
Day,Goode,23
Deuel,Obama,941
Deuel,Romney,1175
Deuel,Johnson,32
Deuel,Goode,23
Dewey,Obama,1207
Dewey,Romney,663
Dewey,Johnson,15
Dewey,Goode,10
Douglas,Obama,332
Douglas,Romney,1334
Douglas,Johnson,16
Douglas,Goode,8
Edmunds,Obama,622
Edmunds,Romney,1264
Edmunds,Johnson,37
Edmunds,Goode,13
Fall River,Obama,1140
Fall River,Romney,2258
Fall River,Johnson,75
Fall River,Goode,43
Faulk,Obama,331
Faulk,Romney,765
Faulk,Johnson,22
Faulk,Goode,9
Grant,Obama,1493
Grant,Romney,2034
Grant,Johnson,48
Grant,Goode,31
Gregory,Obama,599
Gregory,Romney,1507
Gregory,Johnson,31
Gregory,Goode,14
Haakon,Obama,138
Haakon,Romney,940
Haakon,Johnson,8
Haakon,Goode,6
Hamlin,Obama,921
Hamlin,Romney,1803
Hamlin,Johnson,47
Hamlin,Goode,22
Hand,Obama,575
Hand,Romney,1242
Hand,Johnson,21
Hand,Goode,10
Hanson,Obama,760
Hanson,Romney,1627
Hanson,Johnson,16
Hanson,Goode,13
Harding,Obama,82
Harding,Romney,638
Harding,Johnson,16
Harding,Goode,3
Hughes,Obama,2786
Hughes,Romney,5219
Hughes,Johnson,107
Hughes,Goode,43
Hutchinson,Obama,923
Hutchinson,Romney,2451
Hutchinson,Johnson,25
Hutchinson,Goode,26
Hyde,Obama,189
Hyde,Romney,531
Hyde,Johnson,11
Hyde,Goode,2
Jackson,Obama,426
Jackson,Romney,661
Jackson,Johnson,9
Jackson,Goode,10
Jerauld,Obama,452
Jerauld,Romney,538
Jerauld,Johnson,11
Jerauld,Goode,5
Jones,Obama,108
Jones,Romney,490
Jones,Johnson,9
Jones,Goode,2
Kingsbury,Obama,1092
Kingsbury,Romney,1451
Kingsbury,Johnson,45
Kingsbury,Goode,20
Lake,Obama,2724
Lake,Romney,3419
Lake,Johnson,98
Lake,Goode,44
Lawrence,Obama,3973
Lawrence,Romney,7025
Lawrence,Johnson,262
Lawrence,Goode,99
Lincoln,Obama,7982
Lincoln,Romney,13611
Lincoln,Johnson,261
Lincoln,Goode,98
Lyman,Obama,605
Lyman,Romney,933
Lyman,Johnson,24
Lyman,Goode,7
Marshall,Obama,1061
Marshall,Romney,889
Marshall,Johnson,29
Marshall,Goode,8
McCook,Obama,905
McCook,Romney,1655
McCook,Johnson,33
McCook,Goode,20
McPherson,Obama,272
McPherson,Romney,921
McPherson,Johnson,12
McPherson,Goode,10
Meade,Obama,2928
Meade,Romney,7566
Meade,Johnson,214
Meade,Goode,109
Mellette,Obama,375
Mellette,Romney,381
Mellette,Johnson,5
Mellette,Goode,8
Miner,Obama,479
Miner,Romney,636
Miner,Johnson,18
Miner,Goode,7
Minnehaha,Obama,34674
Minnehaha,Romney,40342
Minnehaha,Johnson,1118
Minnehaha,Goode,449
Moody,Obama,1429
Moody,Romney,1535
Moody,Johnson,47
Moody,Goode,22
Pennington,Obama,15125
Pennington,Romney,28232
Pennington,Johnson,816
Pennington,Goode,291
Perkins,Obama,319
Perkins,Romney,1205
Perkins,Johnson,39
Perkins,Goode,27
Potter,Obama,339
Potter,Romney,1029
Potter,Johnson,10
Potter,Goode,3
Roberts,Obama,2302
Roberts,Romney,1883
Roberts,Johnson,42
Roberts,Goode,29
Sanborn,Obama,389
Sanborn,Romney,688
Sanborn,Johnson,22
Sanborn,Goode,16
Shannon,Obama,2937
Shannon,Romney,188
Shannon,Johnson,14
Shannon,Goode,6
Spink,Obama,1300
Spink,Romney,1670
Spink,Johnson,54
Spink,Goode,17
Stanley,Obama,435
Stanley,Romney,1063
Stanley,Johnson,33
Stanley,Goode,9
Sully,Obama,186
Sully,Romney,613
Sully,Johnson,16
Sully,Goode,3
Todd,Obama,1976
Todd,Romney,498
Todd,Johnson,11
Todd,Goode,12
Tripp,Obama,737
Tripp,Romney,1905
Tripp,Johnson,23
Tripp,Goode,26
Turner,Obama,1411
Turner,Romney,2715
Turner,Johnson,47
Turner,Goode,37
Union,Obama,2782
Union,Romney,4698
Union,Johnson,81
Union,Goode,35
Walworth,Obama,671
Walworth,Romney,1731
Walworth,Johnson,41
Walworth,Goode,19
Yankton,Obama,4226
Yankton,Romney,5495
Yankton,Johnson,199
Yankton,Goode,54
Ziebach,Obama,439
Ziebach,Romney,314
Ziebach,Johnson,6
Ziebach,Goode,2
