county,candidate,votes
ANDERSON,Mitt Romney,18968
ANDERSON,Barack Obama,10122
ANDERSON,Virgil Goode,101
ANDERSON,Jill Stein,88
ANDERSON,"Ross C. ""Rocky"" Anderson",54
ANDERSON,Gary Johnson,301
ANDERSON,Merlin Miller,25
BEDFORD,Mitt Romney,10034
BEDFORD,Barack Obama,4211
BEDFORD,Virgil Goode,49
BEDFORD,Jill Stein,39
BEDFORD,"Ross C. ""Rocky"" Anderson",17
BEDFORD,Gary Johnson,90
BEDFORD,Merlin Miller,5
BENTON,Mitt Romney,3850
BENTON,Barack Obama,2258
BENTON,Virgil Goode,20
BENTON,Jill Stein,20
BENTON,"Ross C. ""Rocky"" Anderson",14
BENTON,Gary Johnson,58
BENTON,Merlin Miller,6
BLEDSOE,Mitt Romney,3022
BLEDSOE,Barack Obama,1267
BLEDSOE,Virgil Goode,22
BLEDSOE,Jill Stein,3
BLEDSOE,"Ross C. ""Rocky"" Anderson",6
BLEDSOE,Gary Johnson,32
BLEDSOE,Merlin Miller,7
BLOUNT,Mitt Romney,35441
BLOUNT,Barack Obama,12934
BLOUNT,Virgil Goode,119
BLOUNT,Jill Stein,126
BLOUNT,"Ross C. ""Rocky"" Anderson",56
BLOUNT,Gary Johnson,536
BLOUNT,Merlin Miller,22
BRADLEY,Mitt Romney,27422
BRADLEY,Barack Obama,8037
BRADLEY,Virgil Goode,103
BRADLEY,Jill Stein,69
BRADLEY,"Ross C. ""Rocky"" Anderson",30
BRADLEY,Gary Johnson,274
BRADLEY,Merlin Miller,28
CAMPBELL,Mitt Romney,8604
CAMPBELL,Barack Obama,3328
CAMPBELL,Virgil Goode,53
CAMPBELL,Jill Stein,24
CAMPBELL,"Ross C. ""Rocky"" Anderson",21
CAMPBELL,Gary Johnson,58
CAMPBELL,Merlin Miller,13
CANNON,Mitt Romney,3309
CANNON,Barack Obama,1564
CANNON,Virgil Goode,19
CANNON,Jill Stein,27
CANNON,"Ross C. ""Rocky"" Anderson",11
CANNON,Gary Johnson,41
CANNON,Merlin Miller,2
CARROLL,Mitt Romney,7225
CARROLL,Barack Obama,3475
CARROLL,Virgil Goode,33
CARROLL,Jill Stein,28
CARROLL,"Ross C. ""Rocky"" Anderson",12
CARROLL,Gary Johnson,63
CARROLL,Merlin Miller,15
CARTER,Mitt Romney,15503
CARTER,Barack Obama,4789
CARTER,Virgil Goode,61
CARTER,Jill Stein,62
CARTER,"Ross C. ""Rocky"" Anderson",25
CARTER,Gary Johnson,165
CARTER,Merlin Miller,12
CHEATHAM,Mitt Romney,10268
CHEATHAM,Barack Obama,4659
CHEATHAM,Virgil Goode,38
CHEATHAM,Jill Stein,42
CHEATHAM,"Ross C. ""Rocky"" Anderson",26
CHEATHAM,Gary Johnson,131
CHEATHAM,Merlin Miller,18
CHESTER,Mitt Romney,4684
CHESTER,Barack Obama,1624
CHESTER,Virgil Goode,15
CHESTER,Jill Stein,20
CHESTER,"Ross C. ""Rocky"" Anderson",11
CHESTER,Gary Johnson,52
CHESTER,Merlin Miller,4
CLAIBORNE,Mitt Romney,7617
CLAIBORNE,Barack Obama,2433
CLAIBORNE,Virgil Goode,24
CLAIBORNE,Jill Stein,17
CLAIBORNE,"Ross C. ""Rocky"" Anderson",19
