county,candidate,votes
ANDERSON,Mitt Romney,12262
ANDERSON,Barack Obama,3813
ANDERSON,Gary Johnson,106
ANDERSON,Jill Stein,30
ANDERSON,Avery Ayers,0
ANDERSON,Stewart Alexander,0
ANDERSON,Thaddaus Hill,0
ANDERSON,Virgil Goode,1
ANDERSON,Tom Hoefling,0
ANDERSON,Andre N. Barnett,0
ANDERSON,Rocky Anderson,0
ANDREWS,Mitt Romney,3639
ANDREWS,Barack Obama,795
ANDREWS,Gary Johnson,39
ANDREWS,Jill Stein,7
ANDREWS,Avery Ayers,0
ANDREWS,Stewart Alexander,0
ANDREWS,Thaddaus Hill,0
ANDREWS,Virgil Goode,1
ANDREWS,Tom Hoefling,0
ANDREWS,Andre N. Barnett,0
ANDREWS,Rocky Anderson,1
ANGELINA,Mitt Romney,20303
ANGELINA,Barack Obama,7834
ANGELINA,Gary Johnson,211
ANGELINA,Jill Stein,58
ANGELINA,Avery Ayers,0
ANGELINA,Stewart Alexander,0
ANGELINA,Thaddaus Hill,0
ANGELINA,Virgil Goode,0
ANGELINA,Tom Hoefling,0
ANGELINA,Andre N. Barnett,0
ANGELINA,Rocky Anderson,0
ARANSAS,Mitt Romney,6830
ARANSAS,Barack Obama,2704
ARANSAS,Gary Johnson,87
ARANSAS,Jill Stein,27
ARANSAS,Avery Ayers,0
ARANSAS,Stewart Alexander,0
ARANSAS,Thaddaus Hill,0
ARANSAS,Virgil Goode,0
ARANSAS,Tom Hoefling,0
ARANSAS,Andre N. Barnett,0
ARANSAS,Rocky Anderson,0
ARCHER,Mitt Romney,3600
ARCHER,Barack Obama,525
ARCHER,Gary Johnson,33
ARCHER,Jill Stein,6
ARCHER,Avery Ayers,0
ARCHER,Stewart Alexander,0
ARCHER,Thaddaus Hill,0
ARCHER,Virgil Goode,0
ARCHER,Tom Hoefling,0
ARCHER,Andre N. Barnett,0
ARCHER,Rocky Anderson,0
ARMSTRONG,Mitt Romney,828
ARMSTRONG,Barack Obama,98
ARMSTRONG,Gary Johnson,5
ARMSTRONG,Jill Stein,4
ARMSTRONG,Avery Ayers,0
ARMSTRONG,Stewart Alexander,0
ARMSTRONG,Thaddaus Hill,0
ARMSTRONG,Virgil Goode,0
ARMSTRONG,Tom Hoefling,0
ARMSTRONG,Andre N. Barnett,0
ARMSTRONG,Rocky Anderson,0
ATASCOSA,Mitt Romney,7461
ATASCOSA,Barack Obama,5133
ATASCOSA,Gary Johnson,99
ATASCOSA,Jill Stein,27
ATASCOSA,Avery Ayers,0
ATASCOSA,Stewart Alexander,0
ATASCOSA,Thaddaus Hill,0
