county,candidate,votes
Beaver,"Jill Stein, Cheri Honkala (G)",4
Beaver,"Gloria La Riva, Filberto Ramirez, Jr. (U)",0
Beaver,"Mitt Romney, Paul Ryan (R)",2174
Beaver,"Barack Obama, Joseph R. Biden, Jr. (D)",346
Beaver,"Gary Johnson, James P. Gray (L)",17
Beaver,"Virgil Goode, Jim Clymer (C)",8
Beaver,"Ross C. ""Rocky"" Anderson, Luis J. Rodriguez (J)",11
Box Elder,"Jill Stein, Cheri Honkala (G)",36
Box Elder,"Gloria La Riva, Filberto Ramirez, Jr. (U)",6
Box Elder,"Mitt Romney, Paul Ryan (R)",17101
Box Elder,"Barack Obama, Joseph R. Biden, Jr. (D)",1984
Box Elder,"Gary Johnson, James P. Gray (L)",150
Box Elder,"Virgil Goode, Jim Clymer (C)",72
Box Elder,"Ross C. ""Rocky"" Anderson, Luis J. Rodriguez (J)",56
Box Elder,"Roseanne Barr, Cindy Sheehan",1
Box Elder,"Will Christensen, Kenn Gibbs",2
Cache,"Jill Stein, Cheri Honkala (G)",138
Cache,"Gloria La Riva, Filberto Ramirez, Jr. (U)",15
Cache,"Mitt Romney, Paul Ryan (R)",35039
Cache,"Barack Obama, Joseph R. Biden, Jr. (D)",6244
Cache,"Gary Johnson, James P. Gray (L)",543
Cache,"Virgil Goode, Jim Clymer (C)",142
Cache,"Ross C. ""Rocky"" Anderson, Luis J. Rodriguez (J)",172
Carbon,"Jill Stein, Cheri Honkala (G)",23
Carbon,"Gloria La Riva, Filberto Ramirez, Jr. (U)",7
Carbon,"Mitt Romney, Paul Ryan (R)",5090
Carbon,"Barack Obama, Joseph R. Biden, Jr. (D)",2275
Carbon,"Gary Johnson, James P. Gray (L)",88
Carbon,"Virgil Goode, Jim Clymer (C)",35
Carbon,"Ross C. ""Rocky"" Anderson, Luis J. Rodriguez (J)",49
Daggett,"Jill Stein, Cheri Honkala (G)",1
Daggett,"Gloria La Riva, Filberto Ramirez, Jr. (U)",1
Daggett,"Mitt Romney, Paul Ryan (R)",406
Daggett,"Barack Obama, Joseph R. Biden, Jr. (D)",94
Daggett,"Gary Johnson, James P. Gray (L)",16
Daggett,"Virgil Goode, Jim Clymer (C)",1
Daggett,"Ross C. ""Rocky"" Anderson, Luis J. Rodriguez (J)",1
Davis,"Jill Stein, Cheri Honkala (G)",330
Davis,"Gloria La Riva, Filberto Ramirez, Jr. (U)",32
Davis,"Mitt Romney, Paul Ryan (R)",96861
Davis,"Barack Obama, Joseph R. Biden, Jr. (D)",21889
Davis,"Gary Johnson, James P. Gray (L)",1217
Davis,"Virgil Goode, Jim Clymer (C)",331
Davis,"Ross C. ""Rocky"" Anderson, Luis J. Rodriguez (J)",408
Davis,"Roseanne Barr, Cindy Sheehan",1
Duchesne,"Jill Stein, Cheri Honkala (G)",9
Duchesne,"Gloria La Riva, Filberto Ramirez, Jr. (U)",1
Duchesne,"Mitt Romney, Paul Ryan (R)",5698
Duchesne,"Barack Obama, Joseph R. Biden, Jr. (D)",581
Duchesne,"Gary Johnson, James P. Gray (L)",41
Duchesne,"Virgil Goode, Jim Clymer (C)",31
Duchesne,"Ross C. ""Rocky"" Anderson, Luis J. Rodriguez (J)",18
Emery,"Jill Stein, Cheri Honkala (G)",10
Emery,"Gloria La Riva, Filberto Ramirez, Jr. (U)",4
Emery,"Mitt Romney, Paul Ryan (R)",3777
Emery,"Barack Obama, Joseph R. Biden, Jr. (D)",569
Emery,"Gary Johnson, James P. Gray (L)",48
Emery,"Virgil Goode, Jim Clymer (C)",17
Emery,"Ross C. ""Rocky"" Anderson, Luis J. Rodriguez (J)",24
Garfield,"Jill Stein, Cheri Honkala (G)",10
Garfield,"Gloria La Riva, Filberto Ramirez, Jr. (U)",0
Garfield,"Mitt Romney, Paul Ryan (R)",1832
Garfield,"Barack Obama, Joseph R. Biden, Jr. (D)",308
Garfield,"Gary Johnson, James P. Gray (L)",17
Garfield,"Virgil Goode, Jim Clymer (C)",4
Garfield,"Ross C. ""Rocky"" Anderson, Luis J. Rodriguez (J)",11
Grand,"Jill Stein, Cheri Honkala (G)",66
Grand,"Gloria La Riva, Filberto Ramirez, Jr. (U)",3
Grand,"Mitt Romney, Paul Ryan (R)",1996
Grand,"Barack Obama, Joseph R. Biden, Jr. (D)",1727
Grand,"Gary Johnson, James P. Gray (L)",71
Grand,"Virgil Goode, Jim Clymer (C)",10
Grand,"Ross C. ""Rocky"" Anderson, Luis J. Rodriguez (J)",77
Iron,"Jill Stein, Cheri Honkala (G)",43
Iron,"Gloria La Riva, Filberto Ramirez, Jr. (U)",4
Iron,"Mitt Romney, Paul Ryan (R)",14200
Iron,"Barack Obama, Joseph R. Biden, Jr. (D)",2148
Iron,"Gary Johnson, James P. Gray (L)",202
Iron,"Virgil Goode, Jim Clymer (C)",66
Iron,"Ross C. ""Rocky"" Anderson, Luis J. Rodriguez (J)",38
Juab,"Jill Stein, Cheri Honkala (G)",9
Juab,"Gloria La Riva, Filberto Ramirez, Jr. (U)",0
Juab,"Mitt Romney, Paul Ryan (R)",3448
Juab,"Barack Obama, Joseph R. Biden, Jr. (D)",451
Juab,"Gary Johnson, James P. Gray (L)",27
Juab,"Virgil Goode, Jim Clymer (C)",21
