county,candidate,votes
ACCOMACK COUNTY,Mitt Romney,8213
ACCOMACK COUNTY,Barack Obama,7655
ACCOMACK COUNTY,Virgil Goode,35
ACCOMACK COUNTY,Gary Johnson,83
ACCOMACK COUNTY,Jill Stein,41
ACCOMACK COUNTY,Write In,24
ALBEMARLE COUNTY,Mitt Romney,23297
ALBEMARLE COUNTY,Barack Obama,29757
ALBEMARLE COUNTY,Virgil Goode,141
ALBEMARLE COUNTY,Gary Johnson,483
ALBEMARLE COUNTY,Jill Stein,135
ALBEMARLE COUNTY,Write In,94
ALLEGHANY COUNTY,Mitt Romney,3595
ALLEGHANY COUNTY,Barack Obama,3403
ALLEGHANY COUNTY,Virgil Goode,78
ALLEGHANY COUNTY,Gary Johnson,62
ALLEGHANY COUNTY,Jill Stein,24
ALLEGHANY COUNTY,Write In,11
AMELIA COUNTY,Mitt Romney,4331
AMELIA COUNTY,Barack Obama,2490
AMELIA COUNTY,Virgil Goode,28
AMELIA COUNTY,Gary Johnson,43
AMELIA COUNTY,Jill Stein,12
AMELIA COUNTY,Write In,11
AMHERST COUNTY,Mitt Romney,8876
AMHERST COUNTY,Barack Obama,5900
AMHERST COUNTY,Virgil Goode,71
AMHERST COUNTY,Gary Johnson,85
AMHERST COUNTY,Jill Stein,18
AMHERST COUNTY,Write In,20
APPOMATTOX COUNTY,Mitt Romney,5340
APPOMATTOX COUNTY,Barack Obama,2453
APPOMATTOX COUNTY,Virgil Goode,58
APPOMATTOX COUNTY,Gary Johnson,46
APPOMATTOX COUNTY,Jill Stein,27
APPOMATTOX COUNTY,Write In,11
ARLINGTON COUNTY,Mitt Romney,34474
ARLINGTON COUNTY,Barack Obama,81269
ARLINGTON COUNTY,Virgil Goode,126
ARLINGTON COUNTY,Gary Johnson,1178
ARLINGTON COUNTY,Jill Stein,365
ARLINGTON COUNTY,Write In,196
AUGUSTA COUNTY,Mitt Romney,23624
AUGUSTA COUNTY,Barack Obama,9451
AUGUSTA COUNTY,Virgil Goode,163
AUGUSTA COUNTY,Gary Johnson,313
AUGUSTA COUNTY,Jill Stein,76
AUGUSTA COUNTY,Write In,45
BATH COUNTY,Mitt Romney,1274
BATH COUNTY,Barack Obama,894
BATH COUNTY,Virgil Goode,27
BATH COUNTY,Gary Johnson,14
BATH COUNTY,Jill Stein,9
BATH COUNTY,Write In,5
BEDFORD COUNTY,Mitt Romney,26679
BEDFORD COUNTY,Barack Obama,10209
BEDFORD COUNTY,Virgil Goode,212
BEDFORD COUNTY,Gary Johnson,222
BEDFORD COUNTY,Jill Stein,53
BEDFORD COUNTY,Write In,50
BLAND COUNTY,Mitt Romney,2144
BLAND COUNTY,Barack Obama,735
BLAND COUNTY,Virgil Goode,28
BLAND COUNTY,Gary Johnson,19
BLAND COUNTY,Jill Stein,11
BLAND COUNTY,Write In,11
BOTETOURT COUNTY,Mitt Romney,12479
BOTETOURT COUNTY,Barack Obama,5452
BOTETOURT COUNTY,Virgil Goode,164
BOTETOURT COUNTY,Gary Johnson,98
BOTETOURT COUNTY,Jill Stein,26
BOTETOURT COUNTY,Write In,22
BRUNSWICK COUNTY,Mitt Romney,2968
BRUNSWICK COUNTY,Barack Obama,4994
BRUNSWICK COUNTY,Virgil Goode,36
BRUNSWICK COUNTY,Gary Johnson,23
BRUNSWICK COUNTY,Jill Stein,12
BRUNSWICK COUNTY,Write In,4
BUCHANAN COUNTY,Mitt Romney,6436
BUCHANAN COUNTY,Barack Obama,3094
BUCHANAN COUNTY,Virgil Goode,52
BUCHANAN COUNTY,Gary Johnson,44
BUCHANAN COUNTY,Jill Stein,10
BUCHANAN COUNTY,Write In,10
BUCKINGHAM COUNTY,Mitt Romney,3569
BUCKINGHAM COUNTY,Barack Obama,3750
BUCKINGHAM COUNTY,Virgil Goode,73
BUCKINGHAM COUNTY,Gary Johnson,38
BUCKINGHAM COUNTY,Jill Stein,20
BUCKINGHAM COUNTY,Write In,7
CAMPBELL COUNTY,Mitt Romney,17695
CAMPBELL COUNTY,Barack Obama,7595
CAMPBELL COUNTY,Virgil Goode,149
CAMPBELL COUNTY,Gary Johnson,178
CAMPBELL COUNTY,Jill Stein,35
CAMPBELL COUNTY,Write In,44
CAROLINE COUNTY,Mitt Romney,6151
CAROLINE COUNTY,Barack Obama,7276
CAROLINE COUNTY,Virgil Goode,59
CAROLINE COUNTY,Gary Johnson,98
CAROLINE COUNTY,Jill Stein,30
CAROLINE COUNTY,Write In,38
CARROLL COUNTY,Mitt Romney,8736
CARROLL COUNTY,Barack Obama,3685
CARROLL COUNTY,Virgil Goode,280
CARROLL COUNTY,Gary Johnson,105
CARROLL COUNTY,Jill Stein,92
CARROLL COUNTY,Write In,20
CHARLES CITY COUNTY,Mitt Romney,1396
CHARLES CITY COUNTY,Barack Obama,2772
CHARLES CITY COUNTY,Virgil Goode,10
CHARLES CITY COUNTY,Gary Johnson,29
CHARLES CITY COUNTY,Jill Stein,6
CHARLES CITY COUNTY,Write In,19
CHARLOTTE COUNTY,Mitt Romney,3311
CHARLOTTE COUNTY,Barack Obama,2503
CHARLOTTE COUNTY,Virgil Goode,51
CHARLOTTE COUNTY,Gary Johnson,16
CHARLOTTE COUNTY,Jill Stein,17
CHARLOTTE COUNTY,Write In,0
CHESTERFIELD COUNTY,Mitt Romney,90934
CHESTERFIELD COUNTY,Barack Obama,77694
CHESTERFIELD COUNTY,Virgil Goode,405
CHESTERFIELD COUNTY,Gary Johnson,1385
CHESTERFIELD COUNTY,Jill Stein,274
CHESTERFIELD COUNTY,Write In,296
CLARKE COUNTY,Mitt Romney,4296
CLARKE COUNTY,Barack Obama,3239
CLARKE COUNTY,Virgil Goode,38
CLARKE COUNTY,Gary Johnson,118
CLARKE COUNTY,Jill Stein,43
CLARKE COUNTY,Write In,28
CRAIG COUNTY,Mitt Romney,1757
CRAIG COUNTY,Barack Obama,830
CRAIG COUNTY,Virgil Goode,55
CRAIG COUNTY,Gary Johnson,21
CRAIG COUNTY,Jill Stein,1
CRAIG COUNTY,Write In,3
CULPEPER COUNTY,Mitt Romney,11580
CULPEPER COUNTY,Barack Obama,8285
CULPEPER COUNTY,Virgil Goode,73
CULPEPER COUNTY,Gary Johnson,200
CULPEPER COUNTY,Jill Stein,46
CULPEPER COUNTY,Write In,27
CUMBERLAND COUNTY,Mitt Romney,2538
CUMBERLAND COUNTY,Barack Obama,2422
CUMBERLAND COUNTY,Virgil Goode,40
CUMBERLAND COUNTY,Gary Johnson,26
CUMBERLAND COUNTY,Jill Stein,14
CUMBERLAND COUNTY,Write In,8
DICKENSON COUNTY,Mitt Romney,4274
DICKENSON COUNTY,Barack Obama,2473
DICKENSON COUNTY,Virgil Goode,52
DICKENSON COUNTY,Gary Johnson,57
DICKENSON COUNTY,Jill Stein,24
DICKENSON COUNTY,Write In,24
DINWIDDIE COUNTY,Mitt Romney,6875
DINWIDDIE COUNTY,Barack Obama,6550
DINWIDDIE COUNTY,Virgil Goode,56
DINWIDDIE COUNTY,Gary Johnson,60
DINWIDDIE COUNTY,Jill Stein,31
DINWIDDIE COUNTY,Write In,17
ESSEX COUNTY,Mitt Romney,2602
ESSEX COUNTY,Barack Obama,3016
ESSEX COUNTY,Virgil Goode,20
ESSEX COUNTY,Gary Johnson,27
ESSEX COUNTY,Jill Stein,8
ESSEX COUNTY,Write In,2
FAIRFAX COUNTY,Mitt Romney,206773
FAIRFAX COUNTY,Barack Obama,315273
FAIRFAX COUNTY,Virgil Goode,707
FAIRFAX COUNTY,Gary Johnson,4297
FAIRFAX COUNTY,Jill Stein,1267
FAIRFAX COUNTY,Write In,970
FAUQUIER COUNTY,Mitt Romney,21034
FAUQUIER COUNTY,Barack Obama,13965
FAUQUIER COUNTY,Virgil Goode,77
FAUQUIER COUNTY,Gary Johnson,323
FAUQUIER COUNTY,Jill Stein,93
FAUQUIER COUNTY,Write In,63
FLOYD COUNTY,Mitt Romney,4673
FLOYD COUNTY,Barack Obama,2732
FLOYD COUNTY,Virgil Goode,95
FLOYD COUNTY,Gary Johnson,96
FLOYD COUNTY,Jill Stein,32
FLOYD COUNTY,Write In,16
FLUVANNA COUNTY,Mitt Romney,6678
FLUVANNA COUNTY,Barack Obama,5893
FLUVANNA COUNTY,Virgil Goode,49
FLUVANNA COUNTY,Gary Johnson,87
FLUVANNA COUNTY,Jill Stein,25
FLUVANNA COUNTY,Write In,17
FRANKLIN COUNTY,Mitt Romney,16718
FRANKLIN COUNTY,Barack Obama,9090
FRANKLIN COUNTY,Virgil Goode,688
FRANKLIN COUNTY,Gary Johnson,145
FRANKLIN COUNTY,Jill Stein,32
FRANKLIN COUNTY,Write In,34
FREDERICK COUNTY,Mitt Romney,22858
FREDERICK COUNTY,Barack Obama,12690
FREDERICK COUNTY,Virgil Goode,201
FREDERICK COUNTY,Gary Johnson,393
FREDERICK COUNTY,Jill Stein,139
FREDERICK COUNTY,Write In,113
GILES COUNTY,Mitt Romney,4660
GILES COUNTY,Barack Obama,2730
GILES COUNTY,Virgil Goode,66
GILES COUNTY,Gary Johnson,66
GILES COUNTY,Jill Stein,23
GILES COUNTY,Write In,13
GLOUCESTER COUNTY,Mitt Romney,12137
GLOUCESTER COUNTY,Barack Obama,6764
GLOUCESTER COUNTY,Virgil Goode,81
GLOUCESTER COUNTY,Gary Johnson,207
GLOUCESTER COUNTY,Jill Stein,57
GLOUCESTER COUNTY,Write In,37
GOOCHLAND COUNTY,Mitt Romney,8448
GOOCHLAND COUNTY,Barack Obama,4676
GOOCHLAND COUNTY,Virgil Goode,43
GOOCHLAND COUNTY,Gary Johnson,90
GOOCHLAND COUNTY,Jill Stein,30
GOOCHLAND COUNTY,Write In,28
GRAYSON COUNTY,Mitt Romney,4801
GRAYSON COUNTY,Barack Obama,2068
GRAYSON COUNTY,Virgil Goode,133
GRAYSON COUNTY,Gary Johnson,71
GRAYSON COUNTY,Jill Stein,47
GRAYSON COUNTY,Write In,1
GREENE COUNTY,Mitt Romney,5569
GREENE COUNTY,Barack Obama,3290
GREENE COUNTY,Virgil Goode,48
GREENE COUNTY,Gary Johnson,81
GREENE COUNTY,Jill Stein,22
GREENE COUNTY,Write In,13
GREENSVILLE COUNTY,Mitt Romney,1766
GREENSVILLE COUNTY,Barack Obama,3135
GREENSVILLE COUNTY,Virgil Goode,8
GREENSVILLE COUNTY,Gary Johnson,10
GREENSVILLE COUNTY,Jill Stein,6
GREENSVILLE COUNTY,Write In,1
HALIFAX COUNTY,Mitt Romney,8694
HALIFAX COUNTY,Barack Obama,7766
HALIFAX COUNTY,Virgil Goode,106
HALIFAX COUNTY,Gary Johnson,67
HALIFAX COUNTY,Jill Stein,35
HALIFAX COUNTY,Write In,24
HANOVER COUNTY,Mitt Romney,39940
HANOVER COUNTY,Barack Obama,18294
HANOVER COUNTY,Virgil Goode,141
HANOVER COUNTY,Gary Johnson,469
HANOVER COUNTY,Jill Stein,123
HANOVER COUNTY,Write In,91
HENRICO COUNTY,Mitt Romney,70449
HENRICO COUNTY,Barack Obama,89594
HENRICO COUNTY,Virgil Goode,367
HENRICO COUNTY,Gary Johnson,1192
HENRICO COUNTY,Jill Stein,296
HENRICO COUNTY,Write In,343
HENRY COUNTY,Mitt Romney,13984
HENRY COUNTY,Barack Obama,10317
HENRY COUNTY,Virgil Goode,480
HENRY COUNTY,Gary Johnson,128
HENRY COUNTY,Jill Stein,27
HENRY COUNTY,Write In,27
HIGHLAND COUNTY,Mitt Romney,924
HIGHLAND COUNTY,Barack Obama,459
HIGHLAND COUNTY,Virgil Goode,13
HIGHLAND COUNTY,Gary Johnson,12
HIGHLAND COUNTY,Jill Stein,3
HIGHLAND COUNTY,Write In,2
ISLE OF WIGHT COUNTY,Mitt Romney,11802
ISLE OF WIGHT COUNTY,Barack Obama,8761
ISLE OF WIGHT COUNTY,Virgil Goode,56
ISLE OF WIGHT COUNTY,Gary Johnson,144
ISLE OF WIGHT COUNTY,Jill Stein,32
ISLE OF WIGHT COUNTY,Write In,32
JAMES CITY COUNTY,Mitt Romney,22843
JAMES CITY COUNTY,Barack Obama,17879
JAMES CITY COUNTY,Virgil Goode,51
JAMES CITY COUNTY,Gary Johnson,331
JAMES CITY COUNTY,Jill Stein,69
JAMES CITY COUNTY,Write In,67
KING & QUEEN COUNTY,Mitt Romney,1865
KING & QUEEN COUNTY,Barack Obama,1745
KING & QUEEN COUNTY,Virgil Goode,14
KING & QUEEN COUNTY,Gary Johnson,14
KING & QUEEN COUNTY,Jill Stein,12
KING & QUEEN COUNTY,Write In,5
KING GEORGE COUNTY,Mitt Romney,6604
KING GEORGE COUNTY,Barack Obama,4477
KING GEORGE COUNTY,Virgil Goode,38
KING GEORGE COUNTY,Gary Johnson,137
KING GEORGE COUNTY,Jill Stein,36
KING GEORGE COUNTY,Write In,33
KING WILLIAM COUNTY,Mitt Romney,5466
