county,candidate,votes
Addison,Anderson,78
Addison,Johnson,222
Addison,Lindsay,38
Addison,Obama,12257
Addison,Romney,5203
Addison,write-in,112
Bennington,Anderson,64
Bennington,Johnson,203
Bennington,Lindsay,41
Bennington,Obama,11514
Bennington,Romney,5687
Bennington,write-in,84
Caledonia,Anderson,61
Caledonia,Johnson,168
Caledonia,Lindsay,36
Caledonia,Obama,8192
Caledonia,Romney,5088
Caledonia,write-in,116
Chittenden,Anderson,263
Chittenden,Johnson,926
Chittenden,Lindsay,163
Chittenden,Obama,53626
Chittenden,Romney,21571
Chittenden,write-in,531
Essex,Anderson,15
Essex,Johnson,38
Essex,Lindsay,8
Essex,Obama,1539
Essex,Romney,1164
Essex,write-in,34
Franklin,Anderson,71
Franklin,Johnson,196
Franklin,Lindsay,26
Franklin,Obama,12057
Franklin,Romney,7405
Franklin,write-in,133
Grand Isle,Anderson,18
Grand Isle,Johnson,37
Grand Isle,Lindsay,7
Grand Isle,Obama,2531
Grand Isle,Romney,1471
Grand Isle,write-in,11
Lamoille,Anderson,35
Lamoille,Johnson,140
Lamoille,Lindsay,26
Lamoille,Obama,8371
Lamoille,Romney,3342
Lamoille,write-in,74
Orange,Anderson,67
Orange,Johnson,194
Orange,Lindsay,40
Orange,Obama,9076
Orange,Romney,4588
Orange,write-in,88
Orleans,Anderson,42
Orleans,Johnson,130
Orleans,Lindsay,37
Orleans,Obama,7117
Orleans,Romney,4306
Orleans,write-in,60
Rutland,Anderson,115
Rutland,Johnson,308
Rutland,Lindsay,60
Rutland,Obama,17088
Rutland,Romney,10835
Rutland,write-in,203
Washington,Anderson,141
Washington,Johnson,387
Washington,Lindsay,80
Washington,Obama,20351
Washington,Romney,8093
Washington,write-in,255
Windham,Anderson,78
Windham,Johnson,221
Windham,Lindsay,82
Windham,Obama,16026
Windham,Romney,5347
Windham,write-in,183
Windsor,Anderson,80
Windsor,Johnson,317
Windsor,Lindsay,51
Windsor,Obama,19494
Windsor,Romney,8598
Windsor,write-in,159
