county,candidate,votes
Adams,Barack Obama / Joe Biden,1540
Adams,Mitt Romney / Paul Ryan,3171
Adams,Gary Johnson / James P. Gray,40
Adams,Virgil Goode / James N. Clymer,15
Adams,Jill Stein / Cheri Honkala,20
Adams,Peta Lindsay / Yari Osorio,1
Adams,James Harris / Alyson Kennedy,0
Adams,Ross C. (Rocky) Anderson / Luis J. Rodriguez,6
Asotin,Barack Obama / Joe Biden,4003
Asotin,Mitt Romney / Paul Ryan,5654
Asotin,Gary Johnson / James P. Gray,151
Asotin,Virgil Goode / James N. Clymer,31
Asotin,Jill Stein / Cheri Honkala,34
Asotin,Peta Lindsay / Yari Osorio,3
Asotin,James Harris / Alyson Kennedy,4
Asotin,Ross C. (Rocky) Anderson / Luis J. Rodriguez,21
Benton,Barack Obama / Joe Biden,28145
Benton,Mitt Romney / Paul Ryan,49461
Benton,Gary Johnson / James P. Gray,1148
Benton,Virgil Goode / James N. Clymer,303
Benton,Jill Stein / Cheri Honkala,360
Benton,Peta Lindsay / Yari Osorio,19
Benton,James Harris / Alyson Kennedy,18
Benton,Ross C. (Rocky) Anderson / Luis J. Rodriguez,105
Chelan,Barack Obama / Joe Biden,13112
Chelan,Mitt Romney / Paul Ryan,18402
Chelan,Gary Johnson / James P. Gray,426
Chelan,Virgil Goode / James N. Clymer,91
Chelan,Jill Stein / Cheri Honkala,154
Chelan,Peta Lindsay / Yari Osorio,9
Chelan,James Harris / Alyson Kennedy,20
Chelan,Ross C. (Rocky) Anderson / Luis J. Rodriguez,36
Clallam,Barack Obama / Joe Biden,18580
Clallam,Mitt Romney / Paul Ryan,18437
Clallam,Gary Johnson / James P. Gray,522
Clallam,Virgil Goode / James N. Clymer,135
Clallam,Jill Stein / Cheri Honkala,293
Clallam,Peta Lindsay / Yari Osorio,26
Clallam,James Harris / Alyson Kennedy,21
Clallam,Ross C. (Rocky) Anderson / Luis J. Rodriguez,52
Clark,Barack Obama / Joe Biden,93382
Clark,Mitt Romney / Paul Ryan,92951
Clark,Gary Johnson / James P. Gray,2523
Clark,Virgil Goode / James N. Clymer,591
Clark,Jill Stein / Cheri Honkala,984
Clark,Peta Lindsay / Yari Osorio,58
Clark,James Harris / Alyson Kennedy,61
Clark,Ross C. (Rocky) Anderson / Luis J. Rodriguez,255
Columbia,Barack Obama / Joe Biden,645
Columbia,Mitt Romney / Paul Ryan,1568
Columbia,Gary Johnson / James P. Gray,26
Columbia,Virgil Goode / James N. Clymer,6
Columbia,Jill Stein / Cheri Honkala,7
Columbia,Peta Lindsay / Yari Osorio,0
Columbia,James Harris / Alyson Kennedy,2
Columbia,Ross C. (Rocky) Anderson / Luis J. Rodriguez,5
Cowlitz,Barack Obama / Joe Biden,22726
Cowlitz,Mitt Romney / Paul Ryan,20746
Cowlitz,Gary Johnson / James P. Gray,553
Cowlitz,Virgil Goode / James N. Clymer,221
Cowlitz,Jill Stein / Cheri Honkala,261
Cowlitz,Peta Lindsay / Yari Osorio,15
Cowlitz,James Harris / Alyson Kennedy,26
Cowlitz,Ross C. (Rocky) Anderson / Luis J. Rodriguez,72
Douglas,Barack Obama / Joe Biden,5166
Douglas,Mitt Romney / Paul Ryan,9425
Douglas,Gary Johnson / James P. Gray,204
Douglas,Virgil Goode / James N. Clymer,60
Douglas,Jill Stein / Cheri Honkala,53
Douglas,Peta Lindsay / Yari Osorio,8
Douglas,James Harris / Alyson Kennedy,6
Douglas,Ross C. (Rocky) Anderson / Luis J. Rodriguez,20
Ferry,Barack Obama / Joe Biden,1294
Ferry,Mitt Romney / Paul Ryan,1995
Ferry,Gary Johnson / James P. Gray,73
Ferry,Virgil Goode / James N. Clymer,31
Ferry,Jill Stein / Cheri Honkala,30
Ferry,Peta Lindsay / Yari Osorio,2
Ferry,James Harris / Alyson Kennedy,2
Ferry,Ross C. (Rocky) Anderson / Luis J. Rodriguez,13
Franklin,Barack Obama / Joe Biden,8398
Franklin,Mitt Romney / Paul Ryan,13748
Franklin,Gary Johnson / James P. Gray,293
Franklin,Virgil Goode / James N. Clymer,83
Franklin,Jill Stein / Cheri Honkala,74
Franklin,Peta Lindsay / Yari Osorio,10
Franklin,James Harris / Alyson Kennedy,4
Franklin,Ross C. (Rocky) Anderson / Luis J. Rodriguez,33
Garfield,Barack Obama / Joe Biden,336
Garfield,Mitt Romney / Paul Ryan,913
Garfield,Gary Johnson / James P. Gray,16
Garfield,Virgil Goode / James N. Clymer,2
Garfield,Jill Stein / Cheri Honkala,4
Garfield,Peta Lindsay / Yari Osorio,1
Garfield,James Harris / Alyson Kennedy,3
Garfield,Ross C. (Rocky) Anderson / Luis J. Rodriguez,3
Grant,Barack Obama / Joe Biden,8950
Grant,Mitt Romney / Paul Ryan,17852
Grant,Gary Johnson / James P. Gray,427
Grant,Virgil Goode / James N. Clymer,135
Grant,Jill Stein / Cheri Honkala,125
Grant,Peta Lindsay / Yari Osorio,19
Grant,James Harris / Alyson Kennedy,17
Grant,Ross C. (Rocky) Anderson / Luis J. Rodriguez,33
Grays Harbor,Barack Obama / Joe Biden,15960
Grays Harbor,Mitt Romney / Paul Ryan,11914
Grays Harbor,Gary Johnson / James P. Gray,425
Grays Harbor,Virgil Goode / James N. Clymer,150
Grays Harbor,Jill Stein / Cheri Honkala,159
Grays Harbor,Peta Lindsay / Yari Osorio,12
Grays Harbor,James Harris / Alyson Kennedy,17
Grays Harbor,Ross C. (Rocky) Anderson / Luis J. Rodriguez,47
Island,Barack Obama / Joe Biden,21478
Island,Mitt Romney / Paul Ryan,19605
Island,Gary Johnson / James P. Gray,531
Island,Virgil Goode / James N. Clymer,116
Island,Jill Stein / Cheri Honkala,265
Island,Peta Lindsay / Yari Osorio,22
Island,James Harris / Alyson Kennedy,11
Island,Ross C. (Rocky) Anderson / Luis J. Rodriguez,71
Jefferson,Barack Obama / Joe Biden,12739
Jefferson,Mitt Romney / Paul Ryan,6405
Jefferson,Gary Johnson / James P. Gray,248
Jefferson,Virgil Goode / James N. Clymer,54
Jefferson,Jill Stein / Cheri Honkala,301
Jefferson,Peta Lindsay / Yari Osorio,8
Jefferson,James Harris / Alyson Kennedy,7
Jefferson,Ross C. (Rocky) Anderson / Luis J. Rodriguez,67
King,Barack Obama / Joe Biden,668004
King,Mitt Romney / Paul Ryan,275700
King,Gary Johnson / James P. Gray,12411
King,Virgil Goode / James N. Clymer,1369
King,Jill Stein / Cheri Honkala,7264
King,Peta Lindsay / Yari Osorio,411
King,James Harris / Alyson Kennedy,367
King,Ross C. (Rocky) Anderson / Luis J. Rodriguez,1628
Kitsap,Barack Obama / Joe Biden,67277
Kitsap,Mitt Romney / Paul Ryan,52846
Kitsap,Gary Johnson / James P. Gray,1774
Kitsap,Virgil Goode / James N. Clymer,414
Kitsap,Jill Stein / Cheri Honkala,799
Kitsap,Peta Lindsay / Yari Osorio,37
Kitsap,James Harris / Alyson Kennedy,43
Kitsap,Ross C. (Rocky) Anderson / Luis J. Rodriguez,177
Kittitas,Barack Obama / Joe Biden,7949
Kittitas,Mitt Romney / Paul Ryan,9782
Kittitas,Gary Johnson / James P. Gray,239
Kittitas,Virgil Goode / James N. Clymer,39
Kittitas,Jill Stein / Cheri Honkala,110
Kittitas,Peta Lindsay / Yari Osorio,5
Kittitas,James Harris / Alyson Kennedy,10
Kittitas,Ross C. (Rocky) Anderson / Luis J. Rodriguez,37
