county,candidate,votes
ADAMS,MITT ROMNEY/PAUL RYAN,4644
ADAMS,BARACK OBAMA/JOE BIDEN,5542
ADAMS,VIRGIL GOODE/JIM CLYMER,16
ADAMS,GARY JOHNSON/JAMES P. GRAY,51
ADAMS,"GLORIA LA RIVA/FILBERTO RAMIREZ, JR.",3
ADAMS,JERRY WHITE/PHYLLIS SCHERRER,5
ADAMS,JILL STEIN/BEN MANSKI,10
ADAMS,ROSS C. ROCKY ANDERSON/LUIS J. RODRIGUEZ (WRITE-IN),0
ADAMS,ROSEANNE BARR/CINDY LEE SHEEHAN (WRITE IN),2
ADAMS,SCATTERING,14
ASHLAND,MITT ROMNEY/PAUL RYAN,2820
ASHLAND,BARACK OBAMA/JOE BIDEN,5399
ASHLAND,VIRGIL GOODE/JIM CLYMER,18
ASHLAND,GARY JOHNSON/JAMES P. GRAY,50
ASHLAND,"GLORIA LA RIVA/FILBERTO RAMIREZ, JR.",4
ASHLAND,JERRY WHITE/PHYLLIS SCHERRER,3
ASHLAND,JILL STEIN/BEN MANSKI,59
ASHLAND,ROSS C. ROCKY ANDERSON/LUIS J. RODRIGUEZ (WRITE-IN),2
ASHLAND,ROSEANNE BARR/CINDY LEE SHEEHAN (WRITE IN),0
ASHLAND,SCATTERING,17
BARRON,MITT ROMNEY/PAUL RYAN,11443
BARRON,BARACK OBAMA/JOE BIDEN,10890
BARRON,VIRGIL GOODE/JIM CLYMER,47
BARRON,GARY JOHNSON/JAMES P. GRAY,169
BARRON,"GLORIA LA RIVA/FILBERTO RAMIREZ, JR.",5
BARRON,JERRY WHITE/PHYLLIS SCHERRER,6
BARRON,JILL STEIN/BEN MANSKI,54
BARRON,ROSS C. ROCKY ANDERSON/LUIS J. RODRIGUEZ (WRITE-IN),15
BARRON,ROSEANNE BARR/CINDY LEE SHEEHAN (WRITE IN),23
BARRON,SCATTERING,40
BAYFIELD,MITT ROMNEY/PAUL RYAN,3603
BAYFIELD,BARACK OBAMA/JOE BIDEN,6033
BAYFIELD,VIRGIL GOODE/JIM CLYMER,17
BAYFIELD,GARY JOHNSON/JAMES P. GRAY,55
BAYFIELD,"GLORIA LA RIVA/FILBERTO RAMIREZ, JR.",0
BAYFIELD,JERRY WHITE/PHYLLIS SCHERRER,1
BAYFIELD,JILL STEIN/BEN MANSKI,67
BAYFIELD,ROSS C. ROCKY ANDERSON/LUIS J. RODRIGUEZ (WRITE-IN),0
BAYFIELD,ROSEANNE BARR/CINDY LEE SHEEHAN (WRITE IN),0
BAYFIELD,SCATTERING,12
BROWN,MITT ROMNEY/PAUL RYAN,64836
BROWN,BARACK OBAMA/JOE BIDEN,62526
BROWN,VIRGIL GOODE/JIM CLYMER,204
BROWN,GARY JOHNSON/JAMES P. GRAY,805
BROWN,"GLORIA LA RIVA/FILBERTO RAMIREZ, JR.",21
BROWN,JERRY WHITE/PHYLLIS SCHERRER,16
BROWN,JILL STEIN/BEN MANSKI,308
BROWN,ROSS C. ROCKY ANDERSON/LUIS J. RODRIGUEZ (WRITE-IN),0
BROWN,ROSEANNE BARR/CINDY LEE SHEEHAN (WRITE IN),1
BROWN,SCATTERING,211
BUFFALO,MITT ROMNEY/PAUL RYAN,3364
BUFFALO,BARACK OBAMA/JOE BIDEN,3570
BUFFALO,VIRGIL GOODE/JIM CLYMER,29
BUFFALO,GARY JOHNSON/JAMES P. GRAY,41
BUFFALO,"GLORIA LA RIVA/FILBERTO RAMIREZ, JR.",3
BUFFALO,JERRY WHITE/PHYLLIS SCHERRER,4
BUFFALO,JILL STEIN/BEN MANSKI,14
BUFFALO,ROSS C. ROCKY ANDERSON/LUIS J. RODRIGUEZ (WRITE-IN),0
BUFFALO,ROSEANNE BARR/CINDY LEE SHEEHAN (WRITE IN),2
BUFFALO,SCATTERING,12
BURNETT,MITT ROMNEY/PAUL RYAN,4550
BURNETT,BARACK OBAMA/JOE BIDEN,3986
BURNETT,VIRGIL GOODE/JIM CLYMER,26
BURNETT,GARY JOHNSON/JAMES P. GRAY,64
BURNETT,"GLORIA LA RIVA/FILBERTO RAMIREZ, JR.",5
BURNETT,JERRY WHITE/PHYLLIS SCHERRER,1
BURNETT,JILL STEIN/BEN MANSKI,24
BURNETT,ROSS C. ROCKY ANDERSON/LUIS J. RODRIGUEZ (WRITE-IN),0
BURNETT,ROSEANNE BARR/CINDY LEE SHEEHAN (WRITE IN),0
BURNETT,SCATTERING,21
CALUMET,MITT ROMNEY/PAUL RYAN,14539
CALUMET,BARACK OBAMA/JOE BIDEN,11489
CALUMET,VIRGIL GOODE/JIM CLYMER,54
CALUMET,GARY JOHNSON/JAMES P. GRAY,224
CALUMET,"GLORIA LA RIVA/FILBERTO RAMIREZ, JR.",6
CALUMET,JERRY WHITE/PHYLLIS SCHERRER,6
CALUMET,JILL STEIN/BEN MANSKI,56
CALUMET,ROSS C. ROCKY ANDERSON/LUIS J. RODRIGUEZ (WRITE-IN),0
CALUMET,ROSEANNE BARR/CINDY LEE SHEEHAN (WRITE IN),0
CALUMET,SCATTERING,46
CHIPPEWA,MITT ROMNEY/PAUL RYAN,15322
CHIPPEWA,BARACK OBAMA/JOE BIDEN,15237
CHIPPEWA,VIRGIL GOODE/JIM CLYMER,69
CHIPPEWA,GARY JOHNSON/JAMES P. GRAY,183
CHIPPEWA,"GLORIA LA RIVA/FILBERTO RAMIREZ, JR.",3
CHIPPEWA,JERRY WHITE/PHYLLIS SCHERRER,13
CHIPPEWA,JILL STEIN/BEN MANSKI,67
CHIPPEWA,ROSS C. ROCKY ANDERSON/LUIS J. RODRIGUEZ (WRITE-IN),1
CHIPPEWA,ROSEANNE BARR/CINDY LEE SHEEHAN (WRITE IN),2
CHIPPEWA,SCATTERING,35
CLARK,MITT ROMNEY/PAUL RYAN,7412
CLARK,BARACK OBAMA/JOE BIDEN,6172
CLARK,VIRGIL GOODE/JIM CLYMER,42
CLARK,GARY JOHNSON/JAMES P. GRAY,87
CLARK,"GLORIA LA RIVA/FILBERTO RAMIREZ, JR.",7
CLARK,JERRY WHITE/PHYLLIS SCHERRER,8
CLARK,JILL STEIN/BEN MANSKI,39
CLARK,ROSS C. ROCKY ANDERSON/LUIS J. RODRIGUEZ (WRITE-IN),0
CLARK,ROSEANNE BARR/CINDY LEE SHEEHAN (WRITE IN),0
CLARK,SCATTERING,34
COLUMBIA,MITT ROMNEY/PAUL RYAN,13026
COLUMBIA,BARACK OBAMA/JOE BIDEN,17175
COLUMBIA,VIRGIL GOODE/JIM CLYMER,36
COLUMBIA,GARY JOHNSON/JAMES P. GRAY,180
COLUMBIA,"GLORIA LA RIVA/FILBERTO RAMIREZ, JR.",2
COLUMBIA,JERRY WHITE/PHYLLIS SCHERRER,1
COLUMBIA,JILL STEIN/BEN MANSKI,69
COLUMBIA,ROSS C. ROCKY ANDERSON/LUIS J. RODRIGUEZ (WRITE-IN),0
COLUMBIA,ROSEANNE BARR/CINDY LEE SHEEHAN (WRITE IN),0
COLUMBIA,SCATTERING,57
CRAWFORD,MITT ROMNEY/PAUL RYAN,3067
CRAWFORD,BARACK OBAMA/JOE BIDEN,4629
CRAWFORD,VIRGIL GOODE/JIM CLYMER,16
CRAWFORD,GARY JOHNSON/JAMES P. GRAY,62
CRAWFORD,"GLORIA LA RIVA/FILBERTO RAMIREZ, JR.",4
CRAWFORD,JERRY WHITE/PHYLLIS SCHERRER,4
CRAWFORD,JILL STEIN/BEN MANSKI,19
CRAWFORD,ROSS C. ROCKY ANDERSON/LUIS J. RODRIGUEZ (WRITE-IN),0
CRAWFORD,ROSEANNE BARR/CINDY LEE SHEEHAN (WRITE IN),0
CRAWFORD,SCATTERING,16
DANE,MITT ROMNEY/PAUL RYAN,83644
DANE,BARACK OBAMA/JOE BIDEN,216071
DANE,VIRGIL GOODE/JIM CLYMER,307
DANE,GARY JOHNSON/JAMES P. GRAY,2294
DANE,"GLORIA LA RIVA/FILBERTO RAMIREZ, JR.",38
DANE,JERRY WHITE/PHYLLIS SCHERRER,47
DANE,JILL STEIN/BEN MANSKI,1335
DANE,ROSS C. ROCKY ANDERSON/LUIS J. RODRIGUEZ (WRITE-IN),36
DANE,ROSEANNE BARR/CINDY LEE SHEEHAN (WRITE IN),3
DANE,SCATTERING,406
DODGE,MITT ROMNEY/PAUL RYAN,25211
DODGE,BARACK OBAMA/JOE BIDEN,18762
DODGE,VIRGIL GOODE/JIM CLYMER,76
DODGE,GARY JOHNSON/JAMES P. GRAY,267
DODGE,"GLORIA LA RIVA/FILBERTO RAMIREZ, JR.",5
DODGE,JERRY WHITE/PHYLLIS SCHERRER,14
DODGE,JILL STEIN/BEN MANSKI,83
DODGE,ROSS C. ROCKY ANDERSON/LUIS J. RODRIGUEZ (WRITE-IN),0
DODGE,ROSEANNE BARR/CINDY LEE SHEEHAN (WRITE IN),1
DODGE,SCATTERING,69
DOOR,MITT ROMNEY/PAUL RYAN,8121
DOOR,BARACK OBAMA/JOE BIDEN,9357
DOOR,VIRGIL GOODE/JIM CLYMER,22
DOOR,GARY JOHNSON/JAMES P. GRAY,83
DOOR,"GLORIA LA RIVA/FILBERTO RAMIREZ, JR.",6
DOOR,JERRY WHITE/PHYLLIS SCHERRER,2
DOOR,JILL STEIN/BEN MANSKI,47
DOOR,ROSS C. ROCKY ANDERSON/LUIS J. RODRIGUEZ (WRITE-IN),0
DOOR,ROSEANNE BARR/CINDY LEE SHEEHAN (WRITE IN),0
DOOR,SCATTERING,33
DOUGLAS,MITT ROMNEY/PAUL RYAN,7705
DOUGLAS,BARACK OBAMA/JOE BIDEN,14863
DOUGLAS,VIRGIL GOODE/JIM CLYMER,48
DOUGLAS,GARY JOHNSON/JAMES P. GRAY,151
DOUGLAS,"GLORIA LA RIVA/FILBERTO RAMIREZ, JR.",4
