county,candidate,votes
Barbour,BARACK OBAMA,1768
Barbour,GARY JOHNSON,71
Barbour,JILL STEIN,53
Barbour,MITT ROMNEY,3824
Barbour,RANDALL TERRY,45
Berkeley,BARACK OBAMA,14275
Berkeley,GARY JOHNSON,426
Berkeley,JILL STEIN,207
Berkeley,MITT ROMNEY,22156
Berkeley,RANDALL TERRY,108
Boone,BARACK OBAMA,2790
Boone,GARY JOHNSON,77
Boone,JILL STEIN,66
Boone,MITT ROMNEY,5467
Boone,RANDALL TERRY,100
Braxton,BARACK OBAMA,1998
Braxton,GARY JOHNSON,25
Braxton,JILL STEIN,26
Braxton,MITT ROMNEY,2725
Braxton,RANDALL TERRY,30
Brooke,BARACK OBAMA,4005
Brooke,GARY JOHNSON,111
Brooke,JILL STEIN,57
Brooke,MITT ROMNEY,5060
Brooke,RANDALL TERRY,61
Cabell,BARACK OBAMA,13568
Cabell,GARY JOHNSON,315
Cabell,JILL STEIN,190
Cabell,MITT ROMNEY,17985
Cabell,RANDALL TERRY,86
Calhoun,BARACK OBAMA,818
Calhoun,GARY JOHNSON,30
Calhoun,JILL STEIN,24
Calhoun,MITT ROMNEY,1319
Calhoun,RANDALL TERRY,16
Clay,BARACK OBAMA,931
Clay,GARY JOHNSON,24
Clay,JILL STEIN,38
Clay,MITT ROMNEY,1971
Clay,RANDALL TERRY,48
Doddridge,BARACK OBAMA,575
Doddridge,GARY JOHNSON,22
Doddridge,JILL STEIN,25
Doddridge,MITT ROMNEY,2130
Doddridge,RANDALL TERRY,17
Fayette,BARACK OBAMA,5419
Fayette,GARY JOHNSON,118
Fayette,JILL STEIN,98
Fayette,MITT ROMNEY,8350
Fayette,RANDALL TERRY,85
Gilmer,BARACK OBAMA,840
Gilmer,GARY JOHNSON,27
Gilmer,JILL STEIN,25
Gilmer,MITT ROMNEY,1595
Gilmer,RANDALL TERRY,22
Grant,BARACK OBAMA,718
Grant,GARY JOHNSON,24
Grant,JILL STEIN,25
Grant,MITT ROMNEY,3783
Grant,RANDALL TERRY,36
Greenbrier,BARACK OBAMA,4710
Greenbrier,GARY JOHNSON,141
Greenbrier,JILL STEIN,106
Greenbrier,MITT ROMNEY,7930
Greenbrier,RANDALL TERRY,76
Hampshire,BARACK OBAMA,2299
Hampshire,GARY JOHNSON,53
Hampshire,JILL STEIN,46
Hampshire,MITT ROMNEY,5523
Hampshire,RANDALL TERRY,65
Hancock,BARACK OBAMA,4627
Hancock,GARY JOHNSON,111
Hancock,JILL STEIN,65
Hancock,MITT ROMNEY,7226
Hancock,RANDALL TERRY,89
Hardy,BARACK OBAMA,1482
Hardy,GARY JOHNSON,47
Hardy,JILL STEIN,43
Hardy,MITT ROMNEY,3536
Hardy,RANDALL TERRY,60
Harrison,BARACK OBAMA,9732
Harrison,GARY JOHNSON,209
Harrison,JILL STEIN,153
Harrison,MITT ROMNEY,15876
Harrison,RANDALL TERRY,177
Jackson,BARACK OBAMA,3854
Jackson,GARY JOHNSON,101
