county,candidate,votes
Albany,Romney,7866
Albany,Obama,7458
Albany,Johnson,673
Albany,Goode,85
Albany,Write-Ins,218
Big Horn,Romney,4285
Big Horn,Obama,868
Big Horn,Johnson,85
Big Horn,Goode,40
Big Horn,Write-Ins,46
Campbell,Romney,14953
Campbell,Obama,2163
Campbell,Johnson,292
Campbell,Goode,70
Campbell,Write-Ins,93
Carbon,Romney,4148
Carbon,Obama,2110
Carbon,Johnson,154
Carbon,Goode,46
Carbon,Write-Ins,51
Converse,Romney,5043
Converse,Obama,1089
Converse,Johnson,111
Converse,Goode,44
Converse,Write-Ins,56
Crook,Romney,3109
Crook,Obama,426
Crook,Johnson,102
Crook,Goode,20
Crook,Write-Ins,28
Fremont,Romney,11075
Fremont,Obama,5333
Fremont,Johnson,319
Fremont,Goode,93
Fremont,Write-Ins,119
Goshen,Romney,4178
Goshen,Obama,1458
Goshen,Johnson,80
Goshen,Goode,42
Goshen,Write-Ins,48
Hot Springs,Romney,1895
Hot Springs,Obama,523
Hot Springs,Johnson,63
Hot Springs,Goode,15
Hot Springs,Write-Ins,19
Johnson,Romney,3363
Johnson,Obama,749
Johnson,Johnson,84
Johnson,Goode,22
Johnson,Write-Ins,41
Laramie,Romney,23904
Laramie,Obama,14295
Laramie,Johnson,786
Laramie,Goode,251
Laramie,Write-Ins,269
Lincoln,Romney,7144
Lincoln,Obama,1287
Lincoln,Johnson,111
Lincoln,Goode,31
Lincoln,Write-Ins,45
Natrona,Romney,22132
Natrona,Obama,8961
Natrona,Johnson,727
Natrona,Goode,242
Natrona,Write-Ins,311
Niobrara,Romney,1022
Niobrara,Obama,200
Niobrara,Johnson,30
Niobrara,Goode,16
Niobrara,Write-Ins,8
Park,Romney,11234
Park,Obama,2927
Park,Johnson,252
Park,Goode,79
Park,Write-Ins,116
Platte,Romney,3136
Platte,Obama,1223
Platte,Johnson,95
Platte,Goode,46
Platte,Write-Ins,31
Sheridan,Romney,10267
Sheridan,Obama,3618
Sheridan,Johnson,290
Sheridan,Goode,50
Sheridan,Write-Ins,97
Sublette,Romney,3472
Sublette,Obama,767
Sublette,Johnson,76
Sublette,Goode,22
Sublette,Write-Ins,39
Sweetwater,Romney,11428
Sweetwater,Obama,4774
Sweetwater,Johnson,431
Sweetwater,Goode,119
Sweetwater,Write-Ins,143
Teton,Romney,4858
Teton,Obama,6213
Teton,Johnson,273
Teton,Goode,15
Teton,Write-Ins,105
Uinta,Romney,6615
Uinta,Obama,1628
Uinta,Johnson,166
Uinta,Goode,46
Uinta,Write-Ins,84
Washakie,Romney,3014
Washakie,Obama,794
Washakie,Johnson,74
Washakie,Goode,30
Washakie,Write-Ins,32
Weston,Romney,2821
Weston,Obama,422
Weston,Johnson,52
Weston,Goode,28
Weston,Write-Ins,36
