,,,,,"President",,,,,,,,,,,,,"U.S. Senate",,,"U.S. House of Representatives - District 01",,,,"U.S. House of Representatives - District 02",,"U.S. House of Representatives - District 03",,,,,"U.S. House of Representatives - District 04",,,"U.S. House of Representatives - District 05",,,"U.S. House of Representatives - District 06",,"U.S. House of Representatives - District 07",,"U.S. House of Representatives - District 08",,"U.S. House of Representatives - District 09",,,"U.S. House of Representatives - District 10",,,"U.S. House of Representatives - District 11","U.S. House of Representatives - District 12",,"U.S. House of Representatives - District 13",,"U.S. House of Representatives - District 14",,,,,,,"U.S. House of Representatives - District 15",,"U.S. House of Representatives - District 16",,"Ohio Supreme Court - Term Commencing 01/01/2013",,"Ohio Supreme Court - Term Commencing 01/02/2013",,"Ohio Supreme Court - Unexpired Term Ending 12/31/2014",,"Constitutional Convention",,"Redistricting Proposal",
"County","Region","Media Market","Registered Voters","Number of Voters","Alexander, Stewart (S)","Duncan, Richard (I)","Goode, Virgil (C)","Johnson, Gary (L)","Obama, Barack (D)","Romney, Mitt (R)","Stein, Jill (G)","Daniels, Susan (WI)","Keyton, Nelson (WI)","Reed, Jill (WI)","Robertson, Platt (WI)","Randall, Terry (WI)","Vargo, Mike (WI)","Brown, Sherrod (D)","Mandel, Josh (R)","Rupert, Scott (I)","Berns, Jim (L)","Chabot, Steve (R)","Sinnard, Jeff (D)","Stevenson, Rich (G)","Smith, William (D)","Wenstrup, Brad (R)","Beatty, Joyce (D)","Ehrbar, Richard (L)","Fitrakis, Bob (G)","Long, Chris (R)","Brown, Jeff (WI)","Jordan, Jim (R)","Kalla, Chris (L)","Slone, Jim (D)","Eberly, Eric (L)","Latta, Bob (R)","Zimmann, Angela (D)","Johnson, Bill (R)","Wilson, Charlie (D)","Gibbs, Bob (R)","Healy-Abrams, Joyce (D)","Boehner, John (R)","Condit Jr., James (WI)","Kaptur, Marcy (D)","Stipe, Sean (L)","Wurzelbacher, Samuel (R)","Harlow, David (L)","Neuhardt, Sharen (D)","Turner, Mike (R)","Fudge, Marcia (D)","Reese, Jim (D)","Tiberi, Pat (R)","Agana, Marisha (R)","Ryan, Tim (D)","Blanchard, Dale (D)","Joyce, David (R)","Macko, David (L)","Mastromatteo, Elaine (G)","Robinson, Erick Donald (WI)","Winfield, Steven (WI)","Zurbrugg, Aaron J. (WI)","Lang, Pat (D)","Stivers, Steve (R)","Renacci, Jim (R)","Sutton, Betty (D)","O'Donnell, Terrence (NP)","Skindell, Michael (NP)","Cupp, Robert (NP)","O'Neill, William (NP)","Brown, Yvette (NP)","Kennedy, Sharon (NP)","Issue One - Votes For","Issue One - Votes Against","Issue Two - Votes For","Issue Two - Votes Against"
"Adams","Southwest","Cincinnati",18309,11304,8,55,32,98,3976,6865,55,0,0,0,0,0,0,3924,6410,609,,,,,3900,6598,,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,,,,,,,,,,5526,2459,4435,3766,2273,5791,2205,7719,2541,7582
"Allen","West","Lima",69525,48708,22,110,60,464,17913,29502,164,0,0,0,0,0,0,17456,28817,1535,,,,,,,,,,,,31072,1594,14233,,,,,,,,," ",,,,,,,,,,,,,,,,,,,,,,,26436,11799,32801,9800,12621,25798,11945,31037,12548,31689
"Ashland","Northeast","Cleveland",36586,24578,19,84,91,221,8281,15519,115,0,0,0,0,0,0,8006,14260,1593,,,,,,,,,,,,,,,,,,,,16015,7260,," ",,,,,,,,,,,,,,,,,,,,,,,12841,4936,8527,8905,6236,11115,5268,16682,5694,16225
"Ashtabula","Northeast","Cleveland",64651,43745,34,176,94,433,23803,18298,224,0,1,1,0,0,0,21973,17780,2848,,,,,,,,,,,,,,,,,,,,,,," ",,,,,,,,,,,,19169,17706,1781,1752,0,0,0,,,,,23868,10907,13971,21108,14466,20439,11273,27228,13430,26003
"Athens","Southeast","Charleston",47858,28008,21,102,43,434,18307,8543,188,0,0,0,0,0,0,17662,8066,1200,,,,,,,,,,,,,,,,,,972,739,,,," ",,,,,,,,,,,,,,,,,,,16900,7285,,,10874,8128,6721,12388,10732,9184,7532,15639,12045,11652
"Auglaize","West","Dayton",31397,23619,9,66,38,209,5831,17169,83,0,0,0,0,0,0,5417,16481,942,,,,,,,,,,,,17330,850,4298,,,,,,,,," ",,,,,,,,,,,,,,,,,,,,,,,12754,5420,14860,4919,4211,13409,5117,16340,4462,17195
"Belmont","Southeast","Wheeling",49629,32181,14,165,60,232,14156,16758,178,0,0,0,0,1,0,15021,14370,1385,,,,,,,,,,,,,,,,,,15182,15637,,,," ",,,,,,,,,,,,,,,,,,,,,,,14306,7647,9589,13071,7303,15459,8444,20707,9192,18810
"Brown","Southwest","Cincinnati",28625,19691,14,67,29,191,7107,11916,68,0,0,0,0,0,0,6613,10473,994,,,,,6612,11660,,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,,,,,,,,,,10949,4202,8484,6820,3992,11175,4118,13420,4423,13513
"Butler","Southwest","Cincinnati",239993,171170,72,281,207,1654,62388,105176,413,0,0,0,0,0,0,61933,97228,7540,,,,,,,,,,,,,,,,,,,,,,121373,111,,,,,,,,,,,,,,,,,,,,,,,83151,32613,65329,50380,35150,87099,45271,103269,46300,103361
